runId,condition,test,category,detail,report,reportSha256,responseSha256
i18-nofb-reuse__reuse_sb__single_shot__static__r1,reuse_sb__single_shot__static,oversizedPhysicalLine,observed_heap_exhaustion,OutOfMemoryError: Java heap space,.local/iterations/i18-nofb-reuse/runs/i18-nofb-reuse__reuse_sb__single_shot__static__r1/submission-2/evaluation/report.json,b830fc868b4de3b8acf7c14b8aa5d9e247010f400196f07b51035f2c6069c694,e67dbe7098bfde78c0f04907df4bcfac79d7ea7263c126dcf0e4b560b92fb65c
i18-nofb-reuse__reuse_sb__single_shot__none__r1,reuse_sb__single_shot__none,rejectsNegativeScore,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i18-nofb-reuse/runs/i18-nofb-reuse__reuse_sb__single_shot__none__r1/submission-3/evaluation/report.json,8a98f1cb6ac3482e4eb09078f2604ae7519bd276433e301011c53cfbf1b796cd,c5a0489c78a7667744d3632006b401b792ee90984a5aa09100350c67380f5a69
i18-nofb-reuse__reuse_sb__single_shot__none__r1,reuse_sb__single_shot__none,rejectsNegativeTime,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i18-nofb-reuse/runs/i18-nofb-reuse__reuse_sb__single_shot__none__r1/submission-3/evaluation/report.json,8a98f1cb6ac3482e4eb09078f2604ae7519bd276433e301011c53cfbf1b796cd,c5a0489c78a7667744d3632006b401b792ee90984a5aa09100350c67380f5a69
i18-nofb-reuse__reuse_sb__single_shot__none__r1,reuse_sb__single_shot__none,rejectsNullName,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i18-nofb-reuse/runs/i18-nofb-reuse__reuse_sb__single_shot__none__r1/submission-3/evaluation/report.json,8a98f1cb6ac3482e4eb09078f2604ae7519bd276433e301011c53cfbf1b796cd,c5a0489c78a7667744d3632006b401b792ee90984a5aa09100350c67380f5a69
i18-nofb-reuse__reuse_sb__single_shot__none__r1,reuse_sb__single_shot__none,rejectsBlankName,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i18-nofb-reuse/runs/i18-nofb-reuse__reuse_sb__single_shot__none__r1/submission-3/evaluation/report.json,8a98f1cb6ac3482e4eb09078f2604ae7519bd276433e301011c53cfbf1b796cd,c5a0489c78a7667744d3632006b401b792ee90984a5aa09100350c67380f5a69
i18-nofb-reuse__reuse_sb__single_shot__none__r1,reuse_sb__single_shot__none,rejectsExcessiveName,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i18-nofb-reuse/runs/i18-nofb-reuse__reuse_sb__single_shot__none__r1/submission-3/evaluation/report.json,8a98f1cb6ac3482e4eb09078f2604ae7519bd276433e301011c53cfbf1b796cd,c5a0489c78a7667744d3632006b401b792ee90984a5aa09100350c67380f5a69
i18-nofb-reuse__reuse_sb__single_shot__static__r2,reuse_sb__single_shot__static,oversizedPhysicalLine,observed_heap_exhaustion,OutOfMemoryError: Java heap space,.local/iterations/i18-nofb-reuse/runs/i18-nofb-reuse__reuse_sb__single_shot__static__r2/submission-1/evaluation/report.json,3240d0fee13346172a2d8dfb56fecb345051261c39bc0b9a61f5f00a3838a5a5,e41aedb29e9ecbd7830bf3678dce313ae9eb9e4819f5e4f5fb4f7ce15225542d
i18-nofb-reuse__reuse_sb__single_shot__none__r2,reuse_sb__single_shot__none,rejectsNegativeScore,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i18-nofb-reuse/runs/i18-nofb-reuse__reuse_sb__single_shot__none__r2/submission-4/evaluation/report.json,07ced667386b565f874ca386881fb63f5fd67173bfd7eb86f2fcab29f1b575e3,9021cd504f9d6c3be1be14258a01392ab9abcb9a93ef00183e9a69ec01110737
i18-nofb-reuse__reuse_sb__single_shot__none__r2,reuse_sb__single_shot__none,rejectsNegativeTime,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i18-nofb-reuse/runs/i18-nofb-reuse__reuse_sb__single_shot__none__r2/submission-4/evaluation/report.json,07ced667386b565f874ca386881fb63f5fd67173bfd7eb86f2fcab29f1b575e3,9021cd504f9d6c3be1be14258a01392ab9abcb9a93ef00183e9a69ec01110737
i18-nofb-reuse__reuse_sb__single_shot__none__r2,reuse_sb__single_shot__none,rejectsNullName,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i18-nofb-reuse/runs/i18-nofb-reuse__reuse_sb__single_shot__none__r2/submission-4/evaluation/report.json,07ced667386b565f874ca386881fb63f5fd67173bfd7eb86f2fcab29f1b575e3,9021cd504f9d6c3be1be14258a01392ab9abcb9a93ef00183e9a69ec01110737
i18-nofb-reuse__reuse_sb__single_shot__none__r2,reuse_sb__single_shot__none,rejectsBlankName,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i18-nofb-reuse/runs/i18-nofb-reuse__reuse_sb__single_shot__none__r2/submission-4/evaluation/report.json,07ced667386b565f874ca386881fb63f5fd67173bfd7eb86f2fcab29f1b575e3,9021cd504f9d6c3be1be14258a01392ab9abcb9a93ef00183e9a69ec01110737
i18-nofb-reuse__reuse_sb__single_shot__none__r2,reuse_sb__single_shot__none,rejectsExcessiveName,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i18-nofb-reuse/runs/i18-nofb-reuse__reuse_sb__single_shot__none__r2/submission-4/evaluation/report.json,07ced667386b565f874ca386881fb63f5fd67173bfd7eb86f2fcab29f1b575e3,9021cd504f9d6c3be1be14258a01392ab9abcb9a93ef00183e9a69ec01110737
