runId,condition,repetition,status,functionalSuccess,finalSubmission,compilation,class,rejectsNullName,mechanism,nullNameTestsFailed,failingChecks,citedLines
i18-nofb-reuse__reuse_sb__single_shot__none__r1,reuse_sb__single_shot__none,1,completed,True,3,pass,fallback,fail,recorded,0,,"ApoMarioHighscore.java:37: String name = playerName == null ? ""Player"" : playerName.trim(); | ApoMarioHighscore.java:38: if (name.length() == 0) name = ""Player""; | ApoMarioHighscore.java:80: String name = selected.getTeamName(); | ApoMarioHighscore.java:81: if ((name == null || name.trim().length() == 0) && selected.getAi() != null) name = selected.getAi().getTeamName();"
i18-nofb-reuse__reuse_sb__single_shot__none__r2,reuse_sb__single_shot__none,2,completed,True,4,pass,fallback,fail,recorded,0,,"ApoMarioHighscore.java:34: String name = playerName == null ? ""Unknown"" : playerName.trim(); | ApoMarioHighscore.java:35: if (name.length() == 0) name = ""Unknown""; | ApoMarioHighscore.java:57: String name = selected.getTeamName(); | ApoMarioHighscore.java:58: if (name == null || name.trim().length() == 0) name = ""Human"";"
i18-nofb-reuse__reuse_sb__single_shot__none__r3,reuse_sb__single_shot__none,3,completed,True,1,pass,fallback,fail,recorded,0,,"ApoMarioHighscore.java:30: String name = playerName == null ? ""Player"" : playerName.trim(); | ApoMarioHighscore.java:31: if (name.length() == 0) name = ""Player""; | ApoMarioHighscore.java:108: String name = best.getTeamName();"
i18-nofb-reuse__reuse_sb__single_shot__none__r4,reuse_sb__single_shot__none,4,completed,True,2,pass,fallback,fail,recorded,0,,"ApoMarioHighscore.java:32: String name = playerName == null ? ""Player"" : playerName.trim(); | ApoMarioHighscore.java:33: if (name.length() == 0) name = ""Player""; | ApoMarioHighscore.java:77: String name = selected.getTeamName();"
i18-nofb-reuse__reuse_sb__single_shot__none__r5,reuse_sb__single_shot__none,5,completed,True,1,pass,fallback,fail,recorded,0,,"ApoMarioHighscore.java:37: String name = playerName == null ? ""Player"" : playerName.trim(); | ApoMarioHighscore.java:38: if (name.length() == 0) name = ""Player""; | ApoMarioHighscore.java:77: String name = player.getTeamName(); | ApoMarioHighscore.java:78: if ((name == null || name.trim().length() == 0) && player.getAi() != null) name = player.getAi().getTeamName();"
i18-nofb-reuse__reuse_sb__single_shot__static__r1,reuse_sb__single_shot__static,1,completed,True,2,pass,fallback,pass,recorded,0,,"ApoMarioHighscore.java:34: public synchronized void persistAcrossRuns(){if(store==null)return;Path tmp=null;try{Path p=store.toAbsolutePath().getParent();if(p!=null)Files.createDirectories(p);tmp=store.resolveSibling(store.getFileName()+"".tmp"");BufferedWriter w=Files.newBufferedWriter(tmp,StandardCharsets.UTF_8);w.write(MAGIC);w.newLine();w.write(String.valueOf(runs.size()));w.newLine();for(Run r:runs){w.write(r.s+""\t""+r.t+""\t""+r.n);w.newLine();}w.close();try{Files.move(tmp,store,StandardCopyOption.REPLACE_EXISTING,StandardCopyOption.ATOMIC_MOVE);}catch(AtomicMoveNotSupportedException e){Files.move(tmp,store,StandardCopyOption.REPLACE_EXISTING);}}catch(IOException e){if(tmp!=null)try{Files.deleteIfExists(tmp);}catch(IOException ignored){}}} | ApoMarioHighscore.java:35: public synchronized void recordRunEnd(ApoMarioLevel level){if(level==null||level.isBReplay()||level.getPlayers()==null)return;for(ApoMarioPlayer p:level.getPlayers())if(p!=null&&p.getAi()==null&&p.isBVisible()){String n=clean(p.getTeamName());if(n==null)n=""Player"";if(storeRun(p.getPoints(),level.getPassedTime(),n))persistAcrossRuns();return;}}"
i18-nofb-reuse__reuse_sb__single_shot__static__r2,reuse_sb__single_shot__static,2,completed,True,1,pass,fallback,pass,recorded,0,,"ApoMarioHighscore.java:85: String name = selected.getTeamName(); | ApoMarioHighscore.java:86: if (name == null || name.trim().length() == 0) name = ""Player"";"
i18-nofb-reuse__reuse_sb__single_shot__static__r3,reuse_sb__single_shot__static,3,budget_exhausted,False,5,pass,passthrough,pass,rejected_at_store,2,recordedSurvivalTimeIsTheRealElapsedTime secondRunAlsoRecordedAndBoardSortedDescending,ApoMarioHighscore.java:81: String name = selected.getTeamName();
i18-nofb-reuse__reuse_sb__single_shot__static__r4,reuse_sb__single_shot__static,4,completed,True,2,pass,fallback,pass,recorded,0,,"ApoMarioHighscore.java:38: if(store==null)return; Path tmp=store.resolveSibling(store.getFileName().toString()+"".tmp""); | ApoMarioHighscore.java:56: if(chosen==null)return; String n=name(chosen.getTeamName()); if(n==null)n=""Player"";"
i18-nofb-reuse__reuse_sb__single_shot__static__r5,reuse_sb__single_shot__static,5,completed,True,2,pass,fallback,pass,recorded,0,,"ApoMarioHighscore.java:75: String name = chosen.getTeamName(); | ApoMarioHighscore.java:76: if (name == null || name.trim().length() == 0) name = ""Player"";"
