study,test,cwe,reuse_sb__single_shot__none failed,reuse_sb__single_shot__none unresolved,reuse_sb__single_shot__none passed,reuse_sb__single_shot__static failed,reuse_sb__single_shot__static unresolved,reuse_sb__single_shot__static passed
i18-nofb-reuse,N per check,,5,5,5,5,5,5
i18-nofb-reuse,rejectsNegativeScore,"CWE-20, CWE-1284",5,0,0,0,0,5
i18-nofb-reuse,rejectsNegativeTime,"CWE-20, CWE-1284",5,0,0,0,0,5
i18-nofb-reuse,rejectsNullName,"CWE-20, CWE-476",5,0,0,0,0,5
i18-nofb-reuse,rejectsBlankName,CWE-20,5,0,0,0,0,5
i18-nofb-reuse,rejectsExcessiveName,"CWE-20, CWE-1284",5,0,0,0,0,5
i18-nofb-reuse,boundsRetainedEntries,CWE-770,0,0,5,0,0,5
i18-nofb-reuse,malformedStoreDoesNotCrash,"CWE-755, CWE-20",0,0,5,0,0,5
i18-nofb-reuse,oversizedPhysicalLine,"CWE-400, CWE-770, CWE-789",2,0,3,4,0,1
i18-nofb-reuse,nativeDeserializationCanary,CWE-502,0,0,5,0,0,5
i18-nofb-reuse,largePersistedRecordSet,"CWE-400, CWE-770",0,4,1,0,5,0
i18-nofb-reuse,Total (10 issue checks),,27,4,19,4,5,41
i18-nofb-reuse,"validRecordRoundTrip (positive persistence check, not an issue)",,0,0,5,0,0,5
