condition,parent,strategy,category,checksPerArtifact,n,affected,unaffected,unresolved,affectedRateLowerBound,affectedRateUpperBound,wilson95LowWhenComplete,wilson95HighWhenComplete,deltaLowerBound,deltaUpperBound
reuse_sb__single_shot__none,reuse_sb,none,Input policy,5,5,5,0,0,1.0,1.0,0.5655175352168251,1.0,,
reuse_sb__single_shot__none,reuse_sb,none,Retention policy,1,5,0,5,0,0.0,0.0,0.0,0.43448246478317476,,
reuse_sb__single_shot__none,reuse_sb,none,Parser robustness,1,5,0,5,0,0.0,0.0,0.0,0.43448246478317476,,
reuse_sb__single_shot__none,reuse_sb,none,Resource stress,2,5,2,1,2,0.4,0.8,,,,
reuse_sb__single_shot__none,reuse_sb,none,Deserialization dispatch,1,5,0,5,0,0.0,0.0,0.0,0.43448246478317476,,
reuse_sb__single_shot__static,reuse_sb,single_shot+static,Input policy,5,5,0,5,0,0.0,0.0,0.0,0.43448246478317476,-1.0,-1.0
reuse_sb__single_shot__static,reuse_sb,single_shot+static,Retention policy,1,5,0,5,0,0.0,0.0,0.0,0.43448246478317476,0.0,0.0
reuse_sb__single_shot__static,reuse_sb,single_shot+static,Parser robustness,1,5,0,5,0,0.0,0.0,0.0,0.43448246478317476,0.0,0.0
reuse_sb__single_shot__static,reuse_sb,single_shot+static,Resource stress,2,5,4,0,1,0.8,1.0,,,0.0,0.6
reuse_sb__single_shot__static,reuse_sb,single_shot+static,Deserialization dispatch,1,5,0,5,0,0.0,0.0,0.0,0.43448246478317476,0.0,0.0
