study,test,cwe,generation_s__single_shot__none failed,generation_s__single_shot__none unresolved,generation_s__single_shot__none passed,generation_s__single_shot__static failed,generation_s__single_shot__static unresolved,generation_s__single_shot__static passed,reuse_sb__single_shot__none failed,reuse_sb__single_shot__none unresolved,reuse_sb__single_shot__none passed,reuse_sb__single_shot__static failed,reuse_sb__single_shot__static unresolved,reuse_sb__single_shot__static passed
i20-v10,N per check,,5,5,5,5,5,5,5,5,5,5,5,5
i20-v10,rejectsNegativeScore,"CWE-20, CWE-1284",5,0,0,2,0,3,5,0,0,0,0,5
i20-v10,rejectsNegativeTime,"CWE-20, CWE-1284",5,0,0,0,0,5,5,0,0,0,0,5
i20-v10,rejectsNullName,"CWE-20, CWE-476",5,0,0,0,0,5,5,0,0,0,0,5
i20-v10,rejectsBlankName,CWE-20,5,0,0,0,0,5,5,0,0,0,0,5
i20-v10,rejectsExcessiveName,"CWE-20, CWE-1284",5,0,0,0,0,5,5,0,0,0,0,5
i20-v10,boundsRetainedEntries,CWE-770,5,0,0,4,0,1,0,0,5,3,0,2
i20-v10,malformedStoreDoesNotCrash,"CWE-755, CWE-20",0,0,5,0,0,5,0,0,5,0,0,5
i20-v10,oversizedPhysicalLine,"CWE-400, CWE-770, CWE-789",5,0,0,5,0,0,3,0,2,2,0,3
i20-v10,nativeDeserializationCanary,CWE-502,0,0,5,0,0,5,0,0,5,0,0,5
i20-v10,largePersistedRecordSet,"CWE-400, CWE-770",4,1,0,0,5,0,3,1,1,2,2,1
i20-v10,Total (10 issue checks),,39,1,10,11,5,34,31,1,18,7,2,41
i20-v10,"validRecordRoundTrip (positive persistence check, not an issue)",,0,0,5,0,0,5,0,0,5,0,0,5
