condition,parent,strategy,category,checksPerArtifact,n,affected,unaffected,unresolved,affectedRateLowerBound,affectedRateUpperBound,wilson95LowWhenComplete,wilson95HighWhenComplete,deltaLowerBound,deltaUpperBound
generation_s__single_shot__none,generation_s,none,Input policy,5,5,5,0,0,1.0,1.0,0.5655175352168251,1.0,,
generation_s__single_shot__none,generation_s,none,Retention policy,1,5,5,0,0,1.0,1.0,0.5655175352168251,1.0,,
generation_s__single_shot__none,generation_s,none,Parser robustness,1,5,0,5,0,0.0,0.0,0.0,0.43448246478317476,,
generation_s__single_shot__none,generation_s,none,Resource stress,2,5,5,0,0,1.0,1.0,0.5655175352168251,1.0,,
generation_s__single_shot__none,generation_s,none,Deserialization dispatch,1,5,0,5,0,0.0,0.0,0.0,0.43448246478317476,,
generation_s__single_shot__static,generation_s,single_shot+static,Input policy,5,5,2,3,0,0.4,0.4,0.11762077423264783,0.769275718723987,-0.6,-0.6
generation_s__single_shot__static,generation_s,single_shot+static,Retention policy,1,5,4,1,0,0.8,0.8,0.37553462976252533,0.9637758913675698,-0.19999999999999996,-0.19999999999999996
generation_s__single_shot__static,generation_s,single_shot+static,Parser robustness,1,5,0,5,0,0.0,0.0,0.0,0.43448246478317476,0.0,0.0
generation_s__single_shot__static,generation_s,single_shot+static,Resource stress,2,5,5,0,0,1.0,1.0,0.5655175352168251,1.0,0.0,0.0
generation_s__single_shot__static,generation_s,single_shot+static,Deserialization dispatch,1,5,0,5,0,0.0,0.0,0.0,0.43448246478317476,0.0,0.0
reuse_sb__single_shot__none,reuse_sb,none,Input policy,5,5,5,0,0,1.0,1.0,0.5655175352168251,1.0,,
reuse_sb__single_shot__none,reuse_sb,none,Retention policy,1,5,0,5,0,0.0,0.0,0.0,0.43448246478317476,,
reuse_sb__single_shot__none,reuse_sb,none,Parser robustness,1,5,0,5,0,0.0,0.0,0.0,0.43448246478317476,,
reuse_sb__single_shot__none,reuse_sb,none,Resource stress,2,5,3,1,1,0.6,0.8,,,,
reuse_sb__single_shot__none,reuse_sb,none,Deserialization dispatch,1,5,0,5,0,0.0,0.0,0.0,0.43448246478317476,,
reuse_sb__single_shot__static,reuse_sb,single_shot+static,Input policy,5,5,0,5,0,0.0,0.0,0.0,0.43448246478317476,-1.0,-1.0
reuse_sb__single_shot__static,reuse_sb,single_shot+static,Retention policy,1,5,3,2,0,0.6,0.6,0.2307242812760128,0.882379225767352,0.6,0.6
reuse_sb__single_shot__static,reuse_sb,single_shot+static,Parser robustness,1,5,0,5,0,0.0,0.0,0.0,0.43448246478317476,0.0,0.0
reuse_sb__single_shot__static,reuse_sb,single_shot+static,Resource stress,2,5,2,1,2,0.4,0.8,,,-0.4,0.20000000000000007
reuse_sb__single_shot__static,reuse_sb,single_shot+static,Deserialization dispatch,1,5,0,5,0,0.0,0.0,0.0,0.43448246478317476,0.0,0.0
