runId,condition,test,category,detail,report,reportSha256,responseSha256
i21a-var__reuse_sb__single_shot__static__r1,reuse_sb__single_shot__static,boundsRetainedEntries,retention_threshold,AssertionError: More than 100 entries retained.,.local/iterations/i21a-var/runs/i21a-var__reuse_sb__single_shot__static__r1/submission-1/evaluation/report.json,9908948c4bc261866fd4271f743eaeaf75ac86c46e2c860df64d90afa3fc5214,bd4230171a8d4c92e3e0ba0a4c0d51f8af9ca5bb7e2456381cfa521a1af5a9f5
i21a-var__reuse_sb__single_shot__none__r1,reuse_sb__single_shot__none,rejectsNegativeScore,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i21a-var/runs/i21a-var__reuse_sb__single_shot__none__r1/submission-1/evaluation/report.json,a873f11de9c78ee222820e8fdb0c6665b6fdab5aaa1407d2043aa0cb01969461,2e4fb209b91332e36e57572b97387e909646a1893426ec5900045d8626f18457
i21a-var__reuse_sb__single_shot__none__r1,reuse_sb__single_shot__none,rejectsNegativeTime,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i21a-var/runs/i21a-var__reuse_sb__single_shot__none__r1/submission-1/evaluation/report.json,a873f11de9c78ee222820e8fdb0c6665b6fdab5aaa1407d2043aa0cb01969461,2e4fb209b91332e36e57572b97387e909646a1893426ec5900045d8626f18457
i21a-var__reuse_sb__single_shot__none__r1,reuse_sb__single_shot__none,rejectsNullName,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i21a-var/runs/i21a-var__reuse_sb__single_shot__none__r1/submission-1/evaluation/report.json,a873f11de9c78ee222820e8fdb0c6665b6fdab5aaa1407d2043aa0cb01969461,2e4fb209b91332e36e57572b97387e909646a1893426ec5900045d8626f18457
i21a-var__reuse_sb__single_shot__none__r1,reuse_sb__single_shot__none,rejectsBlankName,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i21a-var/runs/i21a-var__reuse_sb__single_shot__none__r1/submission-1/evaluation/report.json,a873f11de9c78ee222820e8fdb0c6665b6fdab5aaa1407d2043aa0cb01969461,2e4fb209b91332e36e57572b97387e909646a1893426ec5900045d8626f18457
i21a-var__reuse_sb__single_shot__none__r1,reuse_sb__single_shot__none,rejectsExcessiveName,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i21a-var/runs/i21a-var__reuse_sb__single_shot__none__r1/submission-1/evaluation/report.json,a873f11de9c78ee222820e8fdb0c6665b6fdab5aaa1407d2043aa0cb01969461,2e4fb209b91332e36e57572b97387e909646a1893426ec5900045d8626f18457
i21a-var__generation_s__single_shot__static__r1,generation_s__single_shot__static,rejectsBlankName,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i21a-var/runs/i21a-var__generation_s__single_shot__static__r1/submission-1/evaluation/report.json,65678083d9b014ed4335643461c1b7664f68cf3b4fbe0185c380153b4603cc28,e1196d74cffa127a0591815579fbab746c70ce10e55fd98b43416fdfbf7afdc8
i21a-var__generation_s__single_shot__static__r1,generation_s__single_shot__static,boundsRetainedEntries,retention_threshold,AssertionError: More than 100 entries retained.,.local/iterations/i21a-var/runs/i21a-var__generation_s__single_shot__static__r1/submission-1/evaluation/report.json,65678083d9b014ed4335643461c1b7664f68cf3b4fbe0185c380153b4603cc28,e1196d74cffa127a0591815579fbab746c70ce10e55fd98b43416fdfbf7afdc8
i21a-var__generation_s__single_shot__static__r1,generation_s__single_shot__static,oversizedPhysicalLine,observed_heap_exhaustion,OutOfMemoryError: Java heap space,.local/iterations/i21a-var/runs/i21a-var__generation_s__single_shot__static__r1/submission-1/evaluation/report.json,65678083d9b014ed4335643461c1b7664f68cf3b4fbe0185c380153b4603cc28,e1196d74cffa127a0591815579fbab746c70ce10e55fd98b43416fdfbf7afdc8
i21a-var__generation_s__single_shot__static__r1,generation_s__single_shot__static,largePersistedRecordSet,observed_heap_exhaustion,OutOfMemoryError: Java heap space,.local/iterations/i21a-var/runs/i21a-var__generation_s__single_shot__static__r1/submission-1/evaluation/report.json,65678083d9b014ed4335643461c1b7664f68cf3b4fbe0185c380153b4603cc28,e1196d74cffa127a0591815579fbab746c70ce10e55fd98b43416fdfbf7afdc8
