study,test,cwe,generation_s__single_shot__none failed,generation_s__single_shot__none unresolved,generation_s__single_shot__none passed,generation_s__single_shot__static failed,generation_s__single_shot__static unresolved,generation_s__single_shot__static passed,reuse_sb__single_shot__none failed,reuse_sb__single_shot__none unresolved,reuse_sb__single_shot__none passed,reuse_sb__single_shot__static failed,reuse_sb__single_shot__static unresolved,reuse_sb__single_shot__static passed
i21a-var,N per check,,3,3,3,3,3,3,3,3,3,3,3,3
i21a-var,rejectsNegativeScore,"CWE-20, CWE-1284",3,0,0,1,0,2,3,0,0,0,0,3
i21a-var,rejectsNegativeTime,"CWE-20, CWE-1284",3,0,0,0,0,3,3,0,0,0,0,3
i21a-var,rejectsNullName,"CWE-20, CWE-476",3,0,0,0,0,3,3,0,0,0,0,3
i21a-var,rejectsBlankName,CWE-20,3,0,0,1,0,2,3,0,0,0,0,3
i21a-var,rejectsExcessiveName,"CWE-20, CWE-1284",3,0,0,0,0,3,3,0,0,0,0,3
i21a-var,boundsRetainedEntries,CWE-770,2,0,1,2,0,1,0,0,3,3,0,0
i21a-var,malformedStoreDoesNotCrash,"CWE-755, CWE-20",1,0,2,0,0,3,0,0,3,0,0,3
i21a-var,oversizedPhysicalLine,"CWE-400, CWE-770, CWE-789",3,0,0,2,0,1,1,0,2,0,0,3
i21a-var,nativeDeserializationCanary,CWE-502,0,0,3,0,0,3,0,0,3,0,0,3
i21a-var,largePersistedRecordSet,"CWE-400, CWE-770",3,0,0,0,2,1,1,2,0,0,3,0
i21a-var,Total (10 issue checks),,24,0,6,6,2,22,17,2,11,3,3,24
i21a-var,"validRecordRoundTrip (positive persistence check, not an issue)",,0,0,3,0,0,3,0,0,3,0,0,3
