parent,strategy,test,category,controlFailed,controlEvaluated,controlUnresolved,treatmentFailed,treatmentEvaluated,treatmentUnresolved,failureRateDelta,direction
generation_s,single_shot+static,rejectsNegativeScore,Input policy,3,3,0,1,3,0,-0.6666666666666667,decreased
generation_s,single_shot+static,rejectsNegativeTime,Input policy,3,3,0,0,3,0,-1.0,decreased
generation_s,single_shot+static,rejectsNullName,Input policy,3,3,0,0,3,0,-1.0,decreased
generation_s,single_shot+static,rejectsBlankName,Input policy,3,3,0,1,3,0,-0.6666666666666667,decreased
generation_s,single_shot+static,rejectsExcessiveName,Input policy,3,3,0,0,3,0,-1.0,decreased
generation_s,single_shot+static,boundsRetainedEntries,Retention policy,2,3,0,2,3,0,0.0,equal
generation_s,single_shot+static,malformedStoreDoesNotCrash,Parser robustness,1,3,0,0,3,0,-0.3333333333333333,decreased
generation_s,single_shot+static,oversizedPhysicalLine,Resource stress,3,3,0,2,3,0,-0.33333333333333337,decreased
generation_s,single_shot+static,nativeDeserializationCanary,Deserialization dispatch,0,3,0,0,3,0,0.0,equal
generation_s,single_shot+static,largePersistedRecordSet,Resource stress,3,3,0,0,1,2,,unresolved
reuse_sb,single_shot+static,rejectsNegativeScore,Input policy,3,3,0,0,3,0,-1.0,decreased
reuse_sb,single_shot+static,rejectsNegativeTime,Input policy,3,3,0,0,3,0,-1.0,decreased
reuse_sb,single_shot+static,rejectsNullName,Input policy,3,3,0,0,3,0,-1.0,decreased
reuse_sb,single_shot+static,rejectsBlankName,Input policy,3,3,0,0,3,0,-1.0,decreased
reuse_sb,single_shot+static,rejectsExcessiveName,Input policy,3,3,0,0,3,0,-1.0,decreased
reuse_sb,single_shot+static,boundsRetainedEntries,Retention policy,0,3,0,3,3,0,1.0,increased
reuse_sb,single_shot+static,malformedStoreDoesNotCrash,Parser robustness,0,3,0,0,3,0,0.0,equal
reuse_sb,single_shot+static,oversizedPhysicalLine,Resource stress,1,3,0,0,3,0,-0.3333333333333333,decreased
reuse_sb,single_shot+static,nativeDeserializationCanary,Deserialization dispatch,0,3,0,0,3,0,0.0,equal
reuse_sb,single_shot+static,largePersistedRecordSet,Resource stress,1,1,2,0,0,3,,unresolved
