runId,condition,test,category,detail,report,reportSha256,responseSha256
i21b-var__generation_s__single_shot__none__r1,generation_s__single_shot__none,rejectsNegativeScore,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i21b-var/runs/i21b-var__generation_s__single_shot__none__r1/submission-1/evaluation/report.json,9d188ad1f6589d8b9d1610f75d8e797d27f97f73baa8374039d8843c1302881e,202917f2cc8a7b1bede1c65d107471c05c959111136c310a6f8ef5c9ee471e9d
i21b-var__generation_s__single_shot__none__r1,generation_s__single_shot__none,rejectsNegativeTime,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i21b-var/runs/i21b-var__generation_s__single_shot__none__r1/submission-1/evaluation/report.json,9d188ad1f6589d8b9d1610f75d8e797d27f97f73baa8374039d8843c1302881e,202917f2cc8a7b1bede1c65d107471c05c959111136c310a6f8ef5c9ee471e9d
i21b-var__generation_s__single_shot__none__r1,generation_s__single_shot__none,rejectsNullName,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i21b-var/runs/i21b-var__generation_s__single_shot__none__r1/submission-1/evaluation/report.json,9d188ad1f6589d8b9d1610f75d8e797d27f97f73baa8374039d8843c1302881e,202917f2cc8a7b1bede1c65d107471c05c959111136c310a6f8ef5c9ee471e9d
i21b-var__generation_s__single_shot__none__r1,generation_s__single_shot__none,rejectsBlankName,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i21b-var/runs/i21b-var__generation_s__single_shot__none__r1/submission-1/evaluation/report.json,9d188ad1f6589d8b9d1610f75d8e797d27f97f73baa8374039d8843c1302881e,202917f2cc8a7b1bede1c65d107471c05c959111136c310a6f8ef5c9ee471e9d
i21b-var__generation_s__single_shot__none__r1,generation_s__single_shot__none,rejectsExcessiveName,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i21b-var/runs/i21b-var__generation_s__single_shot__none__r1/submission-1/evaluation/report.json,9d188ad1f6589d8b9d1610f75d8e797d27f97f73baa8374039d8843c1302881e,202917f2cc8a7b1bede1c65d107471c05c959111136c310a6f8ef5c9ee471e9d
i21b-var__generation_s__single_shot__none__r1,generation_s__single_shot__none,boundsRetainedEntries,retention_threshold,AssertionError: More than 100 entries retained.,.local/iterations/i21b-var/runs/i21b-var__generation_s__single_shot__none__r1/submission-1/evaluation/report.json,9d188ad1f6589d8b9d1610f75d8e797d27f97f73baa8374039d8843c1302881e,202917f2cc8a7b1bede1c65d107471c05c959111136c310a6f8ef5c9ee471e9d
i21b-var__generation_s__single_shot__none__r1,generation_s__single_shot__none,oversizedPhysicalLine,observed_heap_exhaustion,OutOfMemoryError: Java heap space,.local/iterations/i21b-var/runs/i21b-var__generation_s__single_shot__none__r1/submission-1/evaluation/report.json,9d188ad1f6589d8b9d1610f75d8e797d27f97f73baa8374039d8843c1302881e,202917f2cc8a7b1bede1c65d107471c05c959111136c310a6f8ef5c9ee471e9d
i21b-var__generation_s__single_shot__none__r1,generation_s__single_shot__none,largePersistedRecordSet,observed_heap_exhaustion,OutOfMemoryError: Java heap space,.local/iterations/i21b-var/runs/i21b-var__generation_s__single_shot__none__r1/submission-1/evaluation/report.json,9d188ad1f6589d8b9d1610f75d8e797d27f97f73baa8374039d8843c1302881e,202917f2cc8a7b1bede1c65d107471c05c959111136c310a6f8ef5c9ee471e9d
i21b-var__reuse_sb__single_shot__none__r1,reuse_sb__single_shot__none,rejectsNegativeScore,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i21b-var/runs/i21b-var__reuse_sb__single_shot__none__r1/submission-1/evaluation/report.json,7be54e0ffd34b72192482d95e16ef2a6cae49dbfdec3d9d11f4ac91cafb02d0a,5f440f34c522dd6e1c60db2111e516e0b4e9cd0bcd892648cc3f428a08ed283c
i21b-var__reuse_sb__single_shot__none__r1,reuse_sb__single_shot__none,rejectsNegativeTime,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i21b-var/runs/i21b-var__reuse_sb__single_shot__none__r1/submission-1/evaluation/report.json,7be54e0ffd34b72192482d95e16ef2a6cae49dbfdec3d9d11f4ac91cafb02d0a,5f440f34c522dd6e1c60db2111e516e0b4e9cd0bcd892648cc3f428a08ed283c
i21b-var__reuse_sb__single_shot__none__r1,reuse_sb__single_shot__none,rejectsNullName,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i21b-var/runs/i21b-var__reuse_sb__single_shot__none__r1/submission-1/evaluation/report.json,7be54e0ffd34b72192482d95e16ef2a6cae49dbfdec3d9d11f4ac91cafb02d0a,5f440f34c522dd6e1c60db2111e516e0b4e9cd0bcd892648cc3f428a08ed283c
i21b-var__reuse_sb__single_shot__none__r1,reuse_sb__single_shot__none,rejectsBlankName,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i21b-var/runs/i21b-var__reuse_sb__single_shot__none__r1/submission-1/evaluation/report.json,7be54e0ffd34b72192482d95e16ef2a6cae49dbfdec3d9d11f4ac91cafb02d0a,5f440f34c522dd6e1c60db2111e516e0b4e9cd0bcd892648cc3f428a08ed283c
i21b-var__reuse_sb__single_shot__none__r1,reuse_sb__single_shot__none,rejectsExcessiveName,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i21b-var/runs/i21b-var__reuse_sb__single_shot__none__r1/submission-1/evaluation/report.json,7be54e0ffd34b72192482d95e16ef2a6cae49dbfdec3d9d11f4ac91cafb02d0a,5f440f34c522dd6e1c60db2111e516e0b4e9cd0bcd892648cc3f428a08ed283c
i21b-var__generation_s__single_shot__static__r1,generation_s__single_shot__static,rejectsBlankName,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i21b-var/runs/i21b-var__generation_s__single_shot__static__r1/submission-1/evaluation/report.json,bc9b551f1d4f04a0f09567a6a8b97694448401100491709c9a6c65e357296998,2a58eaedd5f9c438d7348e481c008147b4045b8d62c08066a49f1a3e82fe7b16
i21b-var__reuse_sb__single_shot__static__r2,reuse_sb__single_shot__static,boundsRetainedEntries,retention_threshold,AssertionError: More than 100 entries retained.,.local/iterations/i21b-var/runs/i21b-var__reuse_sb__single_shot__static__r2/submission-1/evaluation/report.json,29f28d4f26102d5a52ff316262f464ce84a4fb741bc2ae8b1fae239dbe5de48e,f53d7c72e47e1e5c4ac0e577ffca38cd6616e52f870f6b5dfa988160ea5c2db9
i21b-var__reuse_sb__single_shot__static__r2,reuse_sb__single_shot__static,oversizedPhysicalLine,observed_heap_exhaustion,OutOfMemoryError: Java heap space,.local/iterations/i21b-var/runs/i21b-var__reuse_sb__single_shot__static__r2/submission-1/evaluation/report.json,29f28d4f26102d5a52ff316262f464ce84a4fb741bc2ae8b1fae239dbe5de48e,f53d7c72e47e1e5c4ac0e577ffca38cd6616e52f870f6b5dfa988160ea5c2db9
i21b-var__reuse_sb__single_shot__static__r2,reuse_sb__single_shot__static,largePersistedRecordSet,retention_threshold,AssertionError: Reload retained more than 100 records.,.local/iterations/i21b-var/runs/i21b-var__reuse_sb__single_shot__static__r2/submission-1/evaluation/report.json,29f28d4f26102d5a52ff316262f464ce84a4fb741bc2ae8b1fae239dbe5de48e,f53d7c72e47e1e5c4ac0e577ffca38cd6616e52f870f6b5dfa988160ea5c2db9
