study,test,cwe,generation_s__single_shot__none failed,generation_s__single_shot__none unresolved,generation_s__single_shot__none passed,generation_s__single_shot__static failed,generation_s__single_shot__static unresolved,generation_s__single_shot__static passed,reuse_sb__single_shot__none failed,reuse_sb__single_shot__none unresolved,reuse_sb__single_shot__none passed,reuse_sb__single_shot__static failed,reuse_sb__single_shot__static unresolved,reuse_sb__single_shot__static passed
i21b-var,N per check,,3,3,3,3,3,3,3,3,3,3,3,3
i21b-var,rejectsNegativeScore,"CWE-20, CWE-1284",3,0,0,0,0,3,3,0,0,0,0,3
i21b-var,rejectsNegativeTime,"CWE-20, CWE-1284",3,0,0,0,0,3,3,0,0,0,0,3
i21b-var,rejectsNullName,"CWE-20, CWE-476",3,0,0,0,0,3,3,0,0,0,0,3
i21b-var,rejectsBlankName,CWE-20,3,0,0,2,0,1,3,0,0,0,0,3
i21b-var,rejectsExcessiveName,"CWE-20, CWE-1284",3,0,0,0,0,3,3,0,0,0,0,3
i21b-var,boundsRetainedEntries,CWE-770,3,0,0,0,0,3,0,0,3,2,0,1
i21b-var,malformedStoreDoesNotCrash,"CWE-755, CWE-20",0,0,3,0,0,3,0,0,3,0,0,3
i21b-var,oversizedPhysicalLine,"CWE-400, CWE-770, CWE-789",3,0,0,0,0,3,2,0,1,1,0,2
i21b-var,nativeDeserializationCanary,CWE-502,0,0,3,0,0,3,0,0,3,0,0,3
i21b-var,largePersistedRecordSet,"CWE-400, CWE-770",3,0,0,0,1,2,1,2,0,1,1,1
i21b-var,Total (10 issue checks),,24,0,6,2,1,27,18,2,10,4,1,25
i21b-var,"validRecordRoundTrip (positive persistence check, not an issue)",,0,0,3,0,0,3,0,0,3,0,0,3
