runId,condition,test,category,detail,report,reportSha256,responseSha256
i22-oneshot__generation_s__single_shot__none__r1,generation_s__single_shot__none,rejectsNegativeScore,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i22-oneshot/runs/i22-oneshot__generation_s__single_shot__none__r1/submission-1/evaluation/report.json,ff84e7ad8e1afb684a32c5ace68656707f2fbb2404a3739540ca8bd758dd293e,8d7b23daad8c718237af88e5f8f7ba50e513d773554fb45a3c3aac8096670de7
i22-oneshot__generation_s__single_shot__none__r1,generation_s__single_shot__none,rejectsNegativeTime,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i22-oneshot/runs/i22-oneshot__generation_s__single_shot__none__r1/submission-1/evaluation/report.json,ff84e7ad8e1afb684a32c5ace68656707f2fbb2404a3739540ca8bd758dd293e,8d7b23daad8c718237af88e5f8f7ba50e513d773554fb45a3c3aac8096670de7
i22-oneshot__generation_s__single_shot__none__r1,generation_s__single_shot__none,rejectsNullName,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i22-oneshot/runs/i22-oneshot__generation_s__single_shot__none__r1/submission-1/evaluation/report.json,ff84e7ad8e1afb684a32c5ace68656707f2fbb2404a3739540ca8bd758dd293e,8d7b23daad8c718237af88e5f8f7ba50e513d773554fb45a3c3aac8096670de7
i22-oneshot__generation_s__single_shot__none__r1,generation_s__single_shot__none,rejectsBlankName,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i22-oneshot/runs/i22-oneshot__generation_s__single_shot__none__r1/submission-1/evaluation/report.json,ff84e7ad8e1afb684a32c5ace68656707f2fbb2404a3739540ca8bd758dd293e,8d7b23daad8c718237af88e5f8f7ba50e513d773554fb45a3c3aac8096670de7
i22-oneshot__generation_s__single_shot__none__r1,generation_s__single_shot__none,rejectsExcessiveName,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i22-oneshot/runs/i22-oneshot__generation_s__single_shot__none__r1/submission-1/evaluation/report.json,ff84e7ad8e1afb684a32c5ace68656707f2fbb2404a3739540ca8bd758dd293e,8d7b23daad8c718237af88e5f8f7ba50e513d773554fb45a3c3aac8096670de7
i22-oneshot__generation_s__single_shot__none__r1,generation_s__single_shot__none,boundsRetainedEntries,retention_threshold,AssertionError: More than 100 entries retained.,.local/iterations/i22-oneshot/runs/i22-oneshot__generation_s__single_shot__none__r1/submission-1/evaluation/report.json,ff84e7ad8e1afb684a32c5ace68656707f2fbb2404a3739540ca8bd758dd293e,8d7b23daad8c718237af88e5f8f7ba50e513d773554fb45a3c3aac8096670de7
i22-oneshot__generation_s__single_shot__none__r1,generation_s__single_shot__none,oversizedPhysicalLine,observed_heap_exhaustion,OutOfMemoryError: Java heap space,.local/iterations/i22-oneshot/runs/i22-oneshot__generation_s__single_shot__none__r1/submission-1/evaluation/report.json,ff84e7ad8e1afb684a32c5ace68656707f2fbb2404a3739540ca8bd758dd293e,8d7b23daad8c718237af88e5f8f7ba50e513d773554fb45a3c3aac8096670de7
i22-oneshot__generation_s__single_shot__none__r1,generation_s__single_shot__none,largePersistedRecordSet,observed_heap_exhaustion,OutOfMemoryError: Java heap space,.local/iterations/i22-oneshot/runs/i22-oneshot__generation_s__single_shot__none__r1/submission-1/evaluation/report.json,ff84e7ad8e1afb684a32c5ace68656707f2fbb2404a3739540ca8bd758dd293e,8d7b23daad8c718237af88e5f8f7ba50e513d773554fb45a3c3aac8096670de7
i22-oneshot__generation_s__single_shot__none__r2,generation_s__single_shot__none,rejectsNegativeScore,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i22-oneshot/runs/i22-oneshot__generation_s__single_shot__none__r2/submission-1/evaluation/report.json,abe0f4635289d217572a8b381c08ff69d3c83a28070cf0e4e4bbd66e3463821a,501c1aac5fb21ef26fac7d2917bc2bd9aa5b325c1970a51cf507a242c3f6634a
i22-oneshot__generation_s__single_shot__none__r2,generation_s__single_shot__none,rejectsNegativeTime,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i22-oneshot/runs/i22-oneshot__generation_s__single_shot__none__r2/submission-1/evaluation/report.json,abe0f4635289d217572a8b381c08ff69d3c83a28070cf0e4e4bbd66e3463821a,501c1aac5fb21ef26fac7d2917bc2bd9aa5b325c1970a51cf507a242c3f6634a
i22-oneshot__generation_s__single_shot__none__r2,generation_s__single_shot__none,rejectsNullName,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i22-oneshot/runs/i22-oneshot__generation_s__single_shot__none__r2/submission-1/evaluation/report.json,abe0f4635289d217572a8b381c08ff69d3c83a28070cf0e4e4bbd66e3463821a,501c1aac5fb21ef26fac7d2917bc2bd9aa5b325c1970a51cf507a242c3f6634a
i22-oneshot__generation_s__single_shot__none__r2,generation_s__single_shot__none,rejectsBlankName,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i22-oneshot/runs/i22-oneshot__generation_s__single_shot__none__r2/submission-1/evaluation/report.json,abe0f4635289d217572a8b381c08ff69d3c83a28070cf0e4e4bbd66e3463821a,501c1aac5fb21ef26fac7d2917bc2bd9aa5b325c1970a51cf507a242c3f6634a
i22-oneshot__generation_s__single_shot__none__r2,generation_s__single_shot__none,rejectsExcessiveName,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i22-oneshot/runs/i22-oneshot__generation_s__single_shot__none__r2/submission-1/evaluation/report.json,abe0f4635289d217572a8b381c08ff69d3c83a28070cf0e4e4bbd66e3463821a,501c1aac5fb21ef26fac7d2917bc2bd9aa5b325c1970a51cf507a242c3f6634a
i22-oneshot__generation_s__single_shot__none__r2,generation_s__single_shot__none,oversizedPhysicalLine,observed_heap_exhaustion,OutOfMemoryError: Java heap space,.local/iterations/i22-oneshot/runs/i22-oneshot__generation_s__single_shot__none__r2/submission-1/evaluation/report.json,abe0f4635289d217572a8b381c08ff69d3c83a28070cf0e4e4bbd66e3463821a,501c1aac5fb21ef26fac7d2917bc2bd9aa5b325c1970a51cf507a242c3f6634a
i22-oneshot__generation_s__single_shot__none__r2,generation_s__single_shot__none,largePersistedRecordSet,observed_heap_exhaustion,OutOfMemoryError: Java heap space,.local/iterations/i22-oneshot/runs/i22-oneshot__generation_s__single_shot__none__r2/submission-1/evaluation/report.json,abe0f4635289d217572a8b381c08ff69d3c83a28070cf0e4e4bbd66e3463821a,501c1aac5fb21ef26fac7d2917bc2bd9aa5b325c1970a51cf507a242c3f6634a
i22-oneshot__generation_s__single_shot__static__r3,generation_s__single_shot__static,oversizedPhysicalLine,observed_heap_exhaustion,OutOfMemoryError: Java heap space,.local/iterations/i22-oneshot/runs/i22-oneshot__generation_s__single_shot__static__r3/submission-1/evaluation/report.json,a63e02c22c58bd4626c9d33059aa1464260e253a404febbc8f064c15a9867cd0,9193d20135d8bb9e1b1d5ffa19346560933551487fa52ac453f04aa81d9f2cdc
i22-oneshot__generation_s__single_shot__none__r3,generation_s__single_shot__none,rejectsNegativeScore,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i22-oneshot/runs/i22-oneshot__generation_s__single_shot__none__r3/submission-1/evaluation/report.json,f262cdf4f436a02992028bdaff75e919341d7e7fba7395fba9a11ff37fa0e5ec,0d465374a59d006fad98ab8d6829fc1587f4e43103be4198b244e8c8e98e1aa6
i22-oneshot__generation_s__single_shot__none__r3,generation_s__single_shot__none,rejectsNegativeTime,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i22-oneshot/runs/i22-oneshot__generation_s__single_shot__none__r3/submission-1/evaluation/report.json,f262cdf4f436a02992028bdaff75e919341d7e7fba7395fba9a11ff37fa0e5ec,0d465374a59d006fad98ab8d6829fc1587f4e43103be4198b244e8c8e98e1aa6
i22-oneshot__generation_s__single_shot__none__r3,generation_s__single_shot__none,rejectsNullName,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i22-oneshot/runs/i22-oneshot__generation_s__single_shot__none__r3/submission-1/evaluation/report.json,f262cdf4f436a02992028bdaff75e919341d7e7fba7395fba9a11ff37fa0e5ec,0d465374a59d006fad98ab8d6829fc1587f4e43103be4198b244e8c8e98e1aa6
i22-oneshot__generation_s__single_shot__none__r3,generation_s__single_shot__none,rejectsBlankName,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i22-oneshot/runs/i22-oneshot__generation_s__single_shot__none__r3/submission-1/evaluation/report.json,f262cdf4f436a02992028bdaff75e919341d7e7fba7395fba9a11ff37fa0e5ec,0d465374a59d006fad98ab8d6829fc1587f4e43103be4198b244e8c8e98e1aa6
i22-oneshot__generation_s__single_shot__none__r3,generation_s__single_shot__none,rejectsExcessiveName,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i22-oneshot/runs/i22-oneshot__generation_s__single_shot__none__r3/submission-1/evaluation/report.json,f262cdf4f436a02992028bdaff75e919341d7e7fba7395fba9a11ff37fa0e5ec,0d465374a59d006fad98ab8d6829fc1587f4e43103be4198b244e8c8e98e1aa6
i22-oneshot__generation_s__single_shot__none__r3,generation_s__single_shot__none,oversizedPhysicalLine,observed_heap_exhaustion,OutOfMemoryError: Java heap space,.local/iterations/i22-oneshot/runs/i22-oneshot__generation_s__single_shot__none__r3/submission-1/evaluation/report.json,f262cdf4f436a02992028bdaff75e919341d7e7fba7395fba9a11ff37fa0e5ec,0d465374a59d006fad98ab8d6829fc1587f4e43103be4198b244e8c8e98e1aa6
i22-oneshot__generation_s__single_shot__none__r3,generation_s__single_shot__none,largePersistedRecordSet,observed_heap_exhaustion,OutOfMemoryError: Java heap space,.local/iterations/i22-oneshot/runs/i22-oneshot__generation_s__single_shot__none__r3/submission-1/evaluation/report.json,f262cdf4f436a02992028bdaff75e919341d7e7fba7395fba9a11ff37fa0e5ec,0d465374a59d006fad98ab8d6829fc1587f4e43103be4198b244e8c8e98e1aa6
i22-oneshot__reuse_sb__single_shot__static__r3,reuse_sb__single_shot__static,boundsRetainedEntries,retention_threshold,AssertionError: More than 100 entries retained.,.local/iterations/i22-oneshot/runs/i22-oneshot__reuse_sb__single_shot__static__r3/submission-1/evaluation/report.json,8b80e10c2efbbc5b27f9bab31cc5ca3900b4d90b2f55a5e0f217d54250b9000d,22d833540cc6bb579f62a2ba39386326572e7db1dbb7c603063cb0bc974d78b3
i22-oneshot__reuse_sb__single_shot__static__r3,reuse_sb__single_shot__static,oversizedPhysicalLine,observed_heap_exhaustion,OutOfMemoryError: Java heap space,.local/iterations/i22-oneshot/runs/i22-oneshot__reuse_sb__single_shot__static__r3/submission-1/evaluation/report.json,8b80e10c2efbbc5b27f9bab31cc5ca3900b4d90b2f55a5e0f217d54250b9000d,22d833540cc6bb579f62a2ba39386326572e7db1dbb7c603063cb0bc974d78b3
i22-oneshot__reuse_sb__single_shot__static__r3,reuse_sb__single_shot__static,largePersistedRecordSet,observed_heap_exhaustion,OutOfMemoryError: Java heap space,.local/iterations/i22-oneshot/runs/i22-oneshot__reuse_sb__single_shot__static__r3/submission-1/evaluation/report.json,8b80e10c2efbbc5b27f9bab31cc5ca3900b4d90b2f55a5e0f217d54250b9000d,22d833540cc6bb579f62a2ba39386326572e7db1dbb7c603063cb0bc974d78b3
