study,test,cwe,generation_s__single_shot__none failed,generation_s__single_shot__none unresolved,generation_s__single_shot__none passed,generation_s__single_shot__static failed,generation_s__single_shot__static unresolved,generation_s__single_shot__static passed,reuse_sb__single_shot__none failed,reuse_sb__single_shot__none unresolved,reuse_sb__single_shot__none passed,reuse_sb__single_shot__static failed,reuse_sb__single_shot__static unresolved,reuse_sb__single_shot__static passed
i22-oneshot,N per check,,5,5,5,5,5,5,5,5,5,5,5,5
i22-oneshot,rejectsNegativeScore,"CWE-20, CWE-1284",5,0,0,0,3,2,1,4,0,0,3,2
i22-oneshot,rejectsNegativeTime,"CWE-20, CWE-1284",5,0,0,0,3,2,1,4,0,0,3,2
i22-oneshot,rejectsNullName,"CWE-20, CWE-476",5,0,0,0,3,2,1,4,0,0,3,2
i22-oneshot,rejectsBlankName,CWE-20,5,0,0,0,3,2,1,4,0,0,3,2
i22-oneshot,rejectsExcessiveName,"CWE-20, CWE-1284",5,0,0,0,3,2,1,4,0,0,3,2
i22-oneshot,boundsRetainedEntries,CWE-770,2,0,3,1,3,1,0,4,1,1,3,1
i22-oneshot,malformedStoreDoesNotCrash,"CWE-755, CWE-20",0,0,5,0,3,2,0,4,1,0,3,2
i22-oneshot,oversizedPhysicalLine,"CWE-400, CWE-770, CWE-789",5,0,0,2,3,0,1,4,0,1,3,1
i22-oneshot,nativeDeserializationCanary,CWE-502,0,0,5,0,3,2,0,4,1,0,3,2
i22-oneshot,largePersistedRecordSet,"CWE-400, CWE-770",5,0,0,0,5,0,0,5,0,1,3,1
i22-oneshot,Total (10 issue checks),,37,0,13,3,32,15,6,41,3,3,30,17
i22-oneshot,"validRecordRoundTrip (positive persistence check, not an issue)",,0,0,5,0,3,2,0,4,1,0,3,2
