condition,parent,strategy,category,checksPerArtifact,n,affected,unaffected,unresolved,affectedRateLowerBound,affectedRateUpperBound,wilson95LowWhenComplete,wilson95HighWhenComplete,deltaLowerBound,deltaUpperBound
generation_s__single_shot__none,generation_s,none,Input policy,5,5,5,0,0,1.0,1.0,0.5655175352168251,1.0,,
generation_s__single_shot__none,generation_s,none,Retention policy,1,5,2,3,0,0.4,0.4,0.11762077423264783,0.769275718723987,,
generation_s__single_shot__none,generation_s,none,Parser robustness,1,5,0,5,0,0.0,0.0,0.0,0.43448246478317476,,
generation_s__single_shot__none,generation_s,none,Resource stress,2,5,5,0,0,1.0,1.0,0.5655175352168251,1.0,,
generation_s__single_shot__none,generation_s,none,Deserialization dispatch,1,5,0,5,0,0.0,0.0,0.0,0.43448246478317476,,
generation_s__single_shot__static,generation_s,single_shot+static,Input policy,5,5,0,2,3,0.0,0.6,,,-1.0,-0.4
generation_s__single_shot__static,generation_s,single_shot+static,Retention policy,1,5,1,1,3,0.2,0.8,,,-0.2,0.4
generation_s__single_shot__static,generation_s,single_shot+static,Parser robustness,1,5,0,2,3,0.0,0.6,,,0.0,0.6
generation_s__single_shot__static,generation_s,single_shot+static,Resource stress,2,5,2,0,3,0.4,1.0,,,-0.6,0.0
generation_s__single_shot__static,generation_s,single_shot+static,Deserialization dispatch,1,5,0,2,3,0.0,0.6,,,0.0,0.6
reuse_sb__single_shot__none,reuse_sb,none,Input policy,5,5,1,0,4,0.2,1.0,,,,
reuse_sb__single_shot__none,reuse_sb,none,Retention policy,1,5,0,1,4,0.0,0.8,,,,
reuse_sb__single_shot__none,reuse_sb,none,Parser robustness,1,5,0,1,4,0.0,0.8,,,,
reuse_sb__single_shot__none,reuse_sb,none,Resource stress,2,5,1,0,4,0.2,1.0,,,,
reuse_sb__single_shot__none,reuse_sb,none,Deserialization dispatch,1,5,0,1,4,0.0,0.8,,,,
reuse_sb__single_shot__static,reuse_sb,single_shot+static,Input policy,5,5,0,2,3,0.0,0.6,,,-1.0,0.39999999999999997
reuse_sb__single_shot__static,reuse_sb,single_shot+static,Retention policy,1,5,1,1,3,0.2,0.8,,,-0.6000000000000001,0.8
reuse_sb__single_shot__static,reuse_sb,single_shot+static,Parser robustness,1,5,0,2,3,0.0,0.6,,,-0.8,0.6
reuse_sb__single_shot__static,reuse_sb,single_shot+static,Resource stress,2,5,1,1,3,0.2,0.8,,,-0.8,0.6000000000000001
reuse_sb__single_shot__static,reuse_sb,single_shot+static,Deserialization dispatch,1,5,0,2,3,0.0,0.6,,,-0.8,0.6
