parent,strategy,test,category,controlFailed,controlEvaluated,controlUnresolved,treatmentFailed,treatmentEvaluated,treatmentUnresolved,failureRateDelta,direction
generation_s,single_shot+static,rejectsNegativeScore,Input policy,5,5,0,0,2,3,,unresolved
generation_s,single_shot+static,rejectsNegativeTime,Input policy,5,5,0,0,2,3,,unresolved
generation_s,single_shot+static,rejectsNullName,Input policy,5,5,0,0,2,3,,unresolved
generation_s,single_shot+static,rejectsBlankName,Input policy,5,5,0,0,2,3,,unresolved
generation_s,single_shot+static,rejectsExcessiveName,Input policy,5,5,0,0,2,3,,unresolved
generation_s,single_shot+static,boundsRetainedEntries,Retention policy,2,5,0,1,2,3,,unresolved
generation_s,single_shot+static,malformedStoreDoesNotCrash,Parser robustness,0,5,0,0,2,3,,unresolved
generation_s,single_shot+static,oversizedPhysicalLine,Resource stress,5,5,0,2,2,3,,unresolved
generation_s,single_shot+static,nativeDeserializationCanary,Deserialization dispatch,0,5,0,0,2,3,,unresolved
generation_s,single_shot+static,largePersistedRecordSet,Resource stress,5,5,0,0,0,5,,unresolved
reuse_sb,single_shot+static,rejectsNegativeScore,Input policy,1,1,4,0,2,3,,unresolved
reuse_sb,single_shot+static,rejectsNegativeTime,Input policy,1,1,4,0,2,3,,unresolved
reuse_sb,single_shot+static,rejectsNullName,Input policy,1,1,4,0,2,3,,unresolved
reuse_sb,single_shot+static,rejectsBlankName,Input policy,1,1,4,0,2,3,,unresolved
reuse_sb,single_shot+static,rejectsExcessiveName,Input policy,1,1,4,0,2,3,,unresolved
reuse_sb,single_shot+static,boundsRetainedEntries,Retention policy,0,1,4,1,2,3,,unresolved
reuse_sb,single_shot+static,malformedStoreDoesNotCrash,Parser robustness,0,1,4,0,2,3,,unresolved
reuse_sb,single_shot+static,oversizedPhysicalLine,Resource stress,1,1,4,1,2,3,,unresolved
reuse_sb,single_shot+static,nativeDeserializationCanary,Deserialization dispatch,0,1,4,0,2,3,,unresolved
reuse_sb,single_shot+static,largePersistedRecordSet,Resource stress,0,0,5,1,2,3,,unresolved
