method,context,cell,priorN,priorCompiled,priorUnitPassed,priorUnitRun,n,delivered,compiled,functional,unitPassed,invokedPassed,autonomousPassed,issuesFailed,issuesUnresolved,issuesPassed,issuesPlanned
Generation,None,generation_none,5,1,7,7,5,3,3,3,21,12,15,19,23,8,50
Generation,S,generation_s,5,3,21,21,5,3,3,3,21,12,15,17,23,10,50
Generation,F,generation_f,5,3,21,21,5,2,2,2,14,8,10,13,32,5,50
Generation,B,generation_b,5,2,14,14,5,0,0,0,0,0,0,0,50,0,50
Generation,S+F,generation_sf,5,2,14,14,5,4,3,2,21,11,15,20,23,7,50
Generation,S+B,generation_sb,5,2,14,14,5,2,2,2,14,8,10,14,32,4,50
Generation,F+B,generation_fb,5,4,28,28,5,2,2,2,14,8,10,15,31,4,50
Generation,S+F+B,generation_sfb,5,0,0,0,5,3,3,3,21,12,15,15,23,12,50
Reuse,None,reuse_none,5,1,7,7,5,3,0,0,0,0,0,0,50,0,50
Reuse,S,reuse_s,5,3,19,21,5,3,3,3,21,12,15,18,23,9,50
Reuse,F,reuse_f,5,1,7,7,5,4,4,4,28,16,20,26,13,11,50
Reuse,B,reuse_b,5,1,7,7,5,2,2,2,14,8,10,12,32,6,50
Reuse,S+F,reuse_sf,5,1,7,7,5,3,3,3,21,12,15,20,23,7,50
Reuse,S+B,reuse_sb,5,4,21,21,5,3,3,3,21,12,15,17,23,10,50
Reuse,F+B,reuse_fb,5,0,0,0,5,4,2,1,14,8,5,12,31,7,50
Reuse,S+F+B,reuse_sfb,5,2,14,14,5,4,4,3,28,12,20,26,13,11,50
