round,arm,trajectories,calls,inputTokens,cachedInputTokens,outputTokens,reasoningTokens,callSeconds,trajectorySeconds
i23-matrix,generation_b__single_shot__none,5,5,417160,0,74286,18061,522.159328,522.173143
i23-matrix,generation_f__single_shot__none,5,5,432940,0,35749,14866,301.535975,318.22351100000003
i23-matrix,generation_fb__single_shot__none,5,5,656370,0,30795,14387,266.23285599999997,288.248092
i23-matrix,generation_none__single_shot__none,5,5,193730,0,41142,16091,351.707063,381.594218
i23-matrix,generation_s__single_shot__none,5,5,389535,0,32582,15348,288.61364100000003,317.889969
i23-matrix,generation_sb__single_shot__none,5,5,612965,0,96096,15458,588.858782,617.449262
i23-matrix,generation_sf__single_shot__none,5,5,628745,0,33670,15370,291.28504399999997,323.10779
i23-matrix,generation_sfb__single_shot__none,5,5,852175,0,51748,15097,380.003283,410.757647
i23-matrix,reuse_b__single_shot__none,5,5,432045,0,71684,19322,511.66410900000005,536.908751
i23-matrix,reuse_f__single_shot__none,5,5,447825,0,34987,14568,291.630308,331.404834
i23-matrix,reuse_fb__single_shot__none,5,5,671255,0,42274,16514,356.325217,378.956184
i23-matrix,reuse_none__single_shot__none,5,5,208615,0,45252,22371,396.297643,406.707698
i23-matrix,reuse_s__single_shot__none,5,5,404420,0,37873,16800,341.754963,374.026519
i23-matrix,reuse_sb__single_shot__none,5,5,627850,0,36758,15533,311.99317399999995,342.26047900000003
i23-matrix,reuse_sf__single_shot__none,5,5,643630,0,72491,15167,481.385885,509.843632
i23-matrix,reuse_sfb__single_shot__none,5,5,867060,0,63750,14611,446.05101499999995,488.332681
