runId,condition,submission,status,detail,requestSha256
i23-matrix__generation_b__single_shot__none__r1,generation_b__single_shot__none,1,invalid_changes,Missing required game integration edits: ApoMarioMenu.java,9846a1f24062a13e0f58bfd7bbb4c78ea2a42e846c902c0661b3177c0f38bb4b
i23-matrix__reuse_b__single_shot__none__r1,reuse_b__single_shot__none,1,invalid_changes,ApoMarioLevel.java exists; edit it instead,85fa518a087879c0500b2bc21a32ce48373799d6c80aed3246bb94ca44ab5731
i23-matrix__generation_s__single_shot__none__r1,generation_s__single_shot__none,1,invalid_changes,Missing required game integration edits: ApoMarioMenu.java,ed0b54f2d79f91e9972c94cd3ecf1e0c500fa3eaba1bbe33ee566b843a0a74cb
i23-matrix__generation_fb__single_shot__none__r1,generation_fb__single_shot__none,1,invalid_changes,ApoMarioPanel.java: old_text matches 0 times; provide one unique exact anchor,07e599057914413bd8b8507313155004f106cbe93d2c97f8ae4dffd166e23c72
i23-matrix__reuse_f__single_shot__none__r1,reuse_f__single_shot__none,1,invalid_changes,ApoMarioHighscoreView.java exists; edit it instead,b9ff001cd9f1f87fd31c620f8eb8b12651e91d7945ed21f2ad0c296e8a49c381
i23-matrix__generation_sf__single_shot__none__r1,generation_sf__single_shot__none,1,invalid_changes,ApoMarioHighscore.java exists; edit it instead,bd8808af3197919d94a7ee0be7903871031bedc29b93527850ee8dc4ab18df0d
i23-matrix__generation_b__single_shot__none__r2,generation_b__single_shot__none,1,invalid_changes,ApoMarioMenu.java: old_text matches 0 times; provide one unique exact anchor,d0fe8ef6d6ffb36a0127502726a9094375afa20361588cdd2986e8dfb5228536
i23-matrix__reuse_sb__single_shot__none__r2,reuse_sb__single_shot__none,1,invalid_changes,ApoMarioHighscore.java exists; edit it instead,6b5967e4584051ea8fa816448f78ef4f94c07c925893a0a02561ad8975422f75
i23-matrix__reuse_none__single_shot__none__r2,reuse_none__single_shot__none,1,invalid_changes,ApoMarioHighscore.java exists; edit it instead,fe2bf8783a727ce64601bba315ace9995778a143d06faabd47b7985947f37115
i23-matrix__generation_none__single_shot__none__r2,generation_none__single_shot__none,1,invalid_changes,ApoMarioHighscore.java exists; edit it instead,027c88939c124bd66bf04cf72cccdc8ba66fc8e31c2c365c311852575a44f336
i23-matrix__generation_fb__single_shot__none__r2,generation_fb__single_shot__none,1,invalid_changes,ApoMarioLevel.java exists; edit it instead,4900745174f2f5a2c3b78513255fa33b942d11a16cf33ba4d3ebd919a7ff1ef0
i23-matrix__reuse_sf__single_shot__none__r2,reuse_sf__single_shot__none,1,invalid_changes,ApoMarioLevel.java exists; edit it instead,5dd9261763f39f2fcadc3e3208e3bd5fa7683e9712c704748c8d40c05f293c0d
i23-matrix__generation_sfb__single_shot__none__r2,generation_sfb__single_shot__none,1,invalid_changes,"Missing required game integration edits: ApoMarioLevel.java, ApoMarioMenu.java",89cbf81fefa44eb99d55b0cc15b169576542670ff07fa57a2766684d92357cb0
i23-matrix__generation_sb__single_shot__none__r2,generation_sb__single_shot__none,1,invalid_changes,ApoMarioLevel.java exists; edit it instead,718139c7a20684a2fd0770e9d68afd7aa388fb24116d695a485cb4809f391565
i23-matrix__generation_sb__single_shot__none__r3,generation_sb__single_shot__none,1,invalid_changes,ApoMarioLevel.java exists; edit it instead,ee59a5d3054985ddc0909370d6ebe479655429653342b9ddc7110f2bdd414a41
i23-matrix__reuse_sb__single_shot__none__r3,reuse_sb__single_shot__none,1,invalid_changes,ApoMarioHighscore.java exists; edit it instead,00b67b896b912b9c8e1ad5ffe52062df5a98868cd31a1adac20e62752aefc213
i23-matrix__reuse_none__single_shot__none__r3,reuse_none__single_shot__none,1,invalid_changes,ApoMarioLevel.java exists; edit it instead,0800346184e52a0e9c4bb4e603e151bc5aa146ee68fdd78a1a1ee0be90787d7c
i23-matrix__reuse_sfb__single_shot__none__r3,reuse_sfb__single_shot__none,1,invalid_changes,ApoMarioLevel.java exists; edit it instead,ce90e4212435c4dce4bccd6478f33cf90b5f807598da7a18eb48e7d32a88c1b0
i23-matrix__generation_s__single_shot__none__r3,generation_s__single_shot__none,1,invalid_changes,Missing required game integration edits: ApoMarioMenu.java,417151d18143d9f66150275e4d55c748a988bc394c831daaea409e168f8c1abf
i23-matrix__generation_f__single_shot__none__r3,generation_f__single_shot__none,1,invalid_changes,"Missing required game integration edits: ApoMarioMenu.java, ApoMarioPanel.java",2145404410f525b22b6c663224103cda0ca9681e4ec550c362e6b72abb0d7d59
i23-matrix__generation_b__single_shot__none__r3,generation_b__single_shot__none,1,invalid_changes,ApoMarioLevel.java exists; edit it instead,4cbc18bb3dec9635949840b4c29417f9cb038bc1c0bc702132a59394717dd59f
i23-matrix__generation_b__single_shot__none__r4,generation_b__single_shot__none,1,invalid_changes,ApoMarioPanel.java exists; edit it instead,88a4ec23e82ba1b4cca49b551e17757db99dfe1dd1ad41e6a2ac43bf1a33dd61
i23-matrix__reuse_b__single_shot__none__r4,reuse_b__single_shot__none,1,invalid_changes,ApoMarioLevel.java exists; edit it instead,13c6385dc8659daa058d2b9087e7b8d160324e20e2282eb79f30dfa27330904b
i23-matrix__generation_sb__single_shot__none__r4,generation_sb__single_shot__none,1,invalid_changes,ApoMarioLevel.java exists; edit it instead,393b69721f8dfa34cfba8fc5c0f884139d71ac0f7e56135033e8d67da8a4dc84
i23-matrix__reuse_s__single_shot__none__r4,reuse_s__single_shot__none,1,invalid_changes,ApoMarioHighscore.java exists; edit it instead,803f8b7b44fc738cf221d61f4fe11428f3fe47995df4afb54f0d4ba7a3becc53
i23-matrix__generation_none__single_shot__none__r4,generation_none__single_shot__none,1,invalid_changes,ApoMarioLevel.java exists; edit it instead,ce932f6c5cbbcb1d985ff4f75ea40d639d572dbce69da189bf34d02d1260765a
i23-matrix__generation_sfb__single_shot__none__r4,generation_sfb__single_shot__none,1,invalid_changes,ApoMarioLevel.java exists; edit it instead,c153b14dfa19f230b12550f290c126f313dcde921faef91e4978ad7043fb8fe1
i23-matrix__generation_f__single_shot__none__r4,generation_f__single_shot__none,1,invalid_changes,Missing required game integration edits: ApoMarioMenu.java,99839b06c36f784cd3d5108ccafd2718e7dc547a66e37dc1c32d5bccee77563e
i23-matrix__generation_fb__single_shot__none__r4,generation_fb__single_shot__none,1,invalid_changes,Missing required game integration edits: ApoMarioMenu.java,9c4075048c7ac4b31fbb8a6381ffcbbca85f25f363b8c5c9cdaf070bcb4c34f5
i23-matrix__reuse_fb__single_shot__none__r5,reuse_fb__single_shot__none,1,invalid_changes,ApoMarioLevel.java exists; edit it instead,2e19a24096a8b25e4d29c6cf58ad363c32c1e0b5d9f00d7f33a892e13235d531
i23-matrix__reuse_s__single_shot__none__r5,reuse_s__single_shot__none,1,invalid_changes,"Missing required game integration edits: ApoMarioMenu.java, ApoMarioPanel.java",64afa92d32bc19d9328233c3f623b11743b5186365d60892f2fc086d556d69df
i23-matrix__generation_f__single_shot__none__r5,generation_f__single_shot__none,1,invalid_changes,ApoMarioLevel.java exists; edit it instead,fd61027938a5649bc94d019d0219a7b475a5152f8a5bb3142e4bd44813dd5b0b
i23-matrix__generation_b__single_shot__none__r5,generation_b__single_shot__none,1,invalid_changes,ApoMarioLevel.java exists; edit it instead,51cba3e898238479b33657f849627e73f131d669827eff4126cd4e09fedc1024
i23-matrix__reuse_b__single_shot__none__r5,reuse_b__single_shot__none,1,invalid_changes,ApoMarioLevel.java exists; edit it instead,57f1b29cbf503f25adaf36fe361ee93c07a9d8ab4fe1f2257efb8975e5bf0c8c
i23-matrix__reuse_sf__single_shot__none__r5,reuse_sf__single_shot__none,1,invalid_changes,ApoMarioPanel.java exists; edit it instead,e67c6d3cdfbf217e7fdf447be7f31dc1f1574b0b48266b0503d796f787018e41
