runId,condition,repetition,status,functionalSuccess,finalSubmission,compilation,class,rejectsNullName,mechanism,nullNameTestsFailed,failingChecks,citedLines
i23-matrix__generation_b__single_shot__none__r1,generation_b__single_shot__none,1,budget_exhausted,False,,,none,,none,0,,
i23-matrix__generation_b__single_shot__none__r2,generation_b__single_shot__none,2,budget_exhausted,False,,,none,,none,0,,
i23-matrix__generation_b__single_shot__none__r3,generation_b__single_shot__none,3,budget_exhausted,False,,,none,,none,0,,
i23-matrix__generation_b__single_shot__none__r4,generation_b__single_shot__none,4,budget_exhausted,False,,,none,,none,0,,
i23-matrix__generation_b__single_shot__none__r5,generation_b__single_shot__none,5,budget_exhausted,False,,,none,,none,0,,
i23-matrix__generation_f__single_shot__none__r1,generation_f__single_shot__none,1,completed,True,1,pass,passthrough,fail,recorded,0,,ApoMarioHighscore.java:140: String name = player.getTeamName();
i23-matrix__generation_f__single_shot__none__r2,generation_f__single_shot__none,2,completed,True,1,pass,fallback,fail,recorded,0,,"ApoMarioHighscore.java:104: String name = player.getTeamName(); | ApoMarioHighscore.java:187: String name = playerName == null ? ""Unknown"" : playerName.trim();"
i23-matrix__generation_f__single_shot__none__r3,generation_f__single_shot__none,3,budget_exhausted,False,,,none,,none,0,,
i23-matrix__generation_f__single_shot__none__r4,generation_f__single_shot__none,4,budget_exhausted,False,,,none,,none,0,,
i23-matrix__generation_f__single_shot__none__r5,generation_f__single_shot__none,5,budget_exhausted,False,,,none,,none,0,,
i23-matrix__generation_fb__single_shot__none__r1,generation_fb__single_shot__none,1,budget_exhausted,False,,,none,,none,0,,
i23-matrix__generation_fb__single_shot__none__r2,generation_fb__single_shot__none,2,budget_exhausted,False,,,none,,none,0,,
i23-matrix__generation_fb__single_shot__none__r3,generation_fb__single_shot__none,3,completed,True,1,pass,passthrough,fail,recorded,0,,ApoMarioHighscore.java:85: String name = selected.getTeamName();
i23-matrix__generation_fb__single_shot__none__r4,generation_fb__single_shot__none,4,budget_exhausted,False,,,none,,none,0,,
i23-matrix__generation_fb__single_shot__none__r5,generation_fb__single_shot__none,5,completed,True,1,pass,passthrough,fail,recorded,0,,ApoMarioHighscore.java:74: String name = player.getTeamName(); | ApoMarioHighscore.java:76: name = player.getAi().getTeamName();
i23-matrix__generation_none__single_shot__none__r1,generation_none__single_shot__none,1,completed,True,1,pass,fallback,fail,recorded,0,,"ApoMarioHighscore.java:58: String name = playerName == null ? ""Player"" : playerName.trim(); | ApoMarioHighscore.java:127: String name = result.getTeamName(); | ApoMarioHighscore.java:129: name = result.getAi().getTeamName();"
i23-matrix__generation_none__single_shot__none__r2,generation_none__single_shot__none,2,budget_exhausted,False,,,none,,none,0,,
i23-matrix__generation_none__single_shot__none__r3,generation_none__single_shot__none,3,completed,True,1,pass,passthrough,fail,recorded,0,,ApoMarioHighscore.java:194: name = player.getTeamName();
i23-matrix__generation_none__single_shot__none__r4,generation_none__single_shot__none,4,budget_exhausted,False,,,none,,none,0,,
i23-matrix__generation_none__single_shot__none__r5,generation_none__single_shot__none,5,completed,True,1,pass,fallback,fail,recorded,0,,"ApoMarioHighscore.java:56: String name = playerName == null ? ""Player"" : playerName.trim(); | ApoMarioHighscore.java:140: String name = player.getTeamName();"
