study,test,cwe,generation_none__single_shot__none failed,generation_none__single_shot__none unresolved,generation_none__single_shot__none passed,generation_s__single_shot__none failed,generation_s__single_shot__none unresolved,generation_s__single_shot__none passed,generation_f__single_shot__none failed,generation_f__single_shot__none unresolved,generation_f__single_shot__none passed,generation_b__single_shot__none failed,generation_b__single_shot__none unresolved,generation_b__single_shot__none passed,generation_sf__single_shot__none failed,generation_sf__single_shot__none unresolved,generation_sf__single_shot__none passed,generation_sb__single_shot__none failed,generation_sb__single_shot__none unresolved,generation_sb__single_shot__none passed,generation_fb__single_shot__none failed,generation_fb__single_shot__none unresolved,generation_fb__single_shot__none passed,generation_sfb__single_shot__none failed,generation_sfb__single_shot__none unresolved,generation_sfb__single_shot__none passed,reuse_none__single_shot__none failed,reuse_none__single_shot__none unresolved,reuse_none__single_shot__none passed,reuse_s__single_shot__none failed,reuse_s__single_shot__none unresolved,reuse_s__single_shot__none passed,reuse_f__single_shot__none failed,reuse_f__single_shot__none unresolved,reuse_f__single_shot__none passed,reuse_b__single_shot__none failed,reuse_b__single_shot__none unresolved,reuse_b__single_shot__none passed,reuse_sf__single_shot__none failed,reuse_sf__single_shot__none unresolved,reuse_sf__single_shot__none passed,reuse_sb__single_shot__none failed,reuse_sb__single_shot__none unresolved,reuse_sb__single_shot__none passed,reuse_fb__single_shot__none failed,reuse_fb__single_shot__none unresolved,reuse_fb__single_shot__none passed,reuse_sfb__single_shot__none failed,reuse_sfb__single_shot__none unresolved,reuse_sfb__single_shot__none passed
i23-matrix,N per check,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
i23-matrix,rejectsNegativeScore,"CWE-20, CWE-1284",3,2,0,3,2,0,2,3,0,0,5,0,3,2,0,2,3,0,2,3,0,3,2,0,0,5,0,3,2,0,4,1,0,2,3,0,3,2,0,3,2,0,2,3,0,4,1,0
i23-matrix,rejectsNegativeTime,"CWE-20, CWE-1284",3,2,0,3,2,0,2,3,0,0,5,0,3,2,0,2,3,0,2,3,0,2,2,1,0,5,0,3,2,0,3,1,1,2,3,0,3,2,0,3,2,0,2,3,0,4,1,0
i23-matrix,rejectsNullName,"CWE-20, CWE-476",3,2,0,1,2,2,2,3,0,0,5,0,3,2,0,2,3,0,2,3,0,1,2,2,0,5,0,2,2,1,3,1,1,2,3,0,3,2,0,2,2,1,1,3,1,4,1,0
i23-matrix,rejectsBlankName,CWE-20,3,2,0,1,2,2,2,3,0,0,5,0,3,2,0,2,3,0,2,3,0,1,2,2,0,5,0,2,2,1,3,1,1,2,3,0,3,2,0,2,2,1,1,3,1,4,1,0
i23-matrix,rejectsExcessiveName,"CWE-20, CWE-1284",3,2,0,3,2,0,2,3,0,0,5,0,3,2,0,2,3,0,2,3,0,3,2,0,0,5,0,3,2,0,4,1,0,2,3,0,3,2,0,3,2,0,2,3,0,4,1,0
i23-matrix,boundsRetainedEntries,CWE-770,2,2,1,3,2,0,2,3,0,0,5,0,3,2,0,2,3,0,2,3,0,3,2,0,0,5,0,2,2,1,4,1,0,2,3,0,2,2,1,2,2,1,1,3,1,3,1,1
i23-matrix,malformedStoreDoesNotCrash,"CWE-755, CWE-20",0,2,3,0,2,3,0,3,2,0,5,0,0,2,3,0,3,2,0,3,2,0,2,3,0,5,0,0,2,3,0,1,4,0,3,2,0,2,3,0,2,3,0,3,2,0,1,4
i23-matrix,oversizedPhysicalLine,"CWE-400, CWE-770, CWE-789",2,2,1,3,2,0,1,3,1,0,5,0,2,2,1,2,3,0,2,3,0,2,2,1,0,5,0,3,2,0,4,1,0,0,3,2,3,2,0,2,2,1,2,3,0,2,1,2
i23-matrix,nativeDeserializationCanary,CWE-502,0,2,3,0,2,3,0,3,2,0,5,0,0,2,3,0,3,2,0,3,2,0,2,3,0,5,0,0,2,3,0,1,4,0,3,2,0,2,3,0,2,3,0,3,2,0,1,4
i23-matrix,largePersistedRecordSet,"CWE-400, CWE-770",0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,1,4,0,0,5,0,0,5,0,0,5,0,1,4,0,0,5,0,0,5,0,0,5,0,1,4,0,1,4,0
i23-matrix,Total (10 issue checks),,19,23,8,17,23,10,13,32,5,0,50,0,20,23,7,14,32,4,15,31,4,15,23,12,0,50,0,18,23,9,26,13,11,12,32,6,20,23,7,17,23,10,12,31,7,26,13,11
i23-matrix,"validRecordRoundTrip (positive persistence check, not an issue)",,0,2,3,0,2,3,0,3,2,0,5,0,0,2,3,0,3,2,0,3,2,0,2,3,0,5,0,0,2,3,0,1,4,0,3,2,0,2,3,0,2,3,0,3,2,0,1,4
