runId,condition,test,category,detail,report,reportSha256,responseSha256
i24a-high__reuse_sfb__single_shot__none__r1,reuse_sfb__single_shot__none,rejectsNegativeScore,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i24a-high/runs/i24a-high__reuse_sfb__single_shot__none__r1/submission-1/evaluation/report.json,89aacb9c815efcbd27519df3dd63c9a1bb9896a44a731d33598695229183ddb2,3d75cc26c3b69e9172bb4bb764155bd62ca7e21719bd893f508446cc0e52318d
i24a-high__reuse_sfb__single_shot__none__r1,reuse_sfb__single_shot__none,rejectsNegativeTime,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i24a-high/runs/i24a-high__reuse_sfb__single_shot__none__r1/submission-1/evaluation/report.json,89aacb9c815efcbd27519df3dd63c9a1bb9896a44a731d33598695229183ddb2,3d75cc26c3b69e9172bb4bb764155bd62ca7e21719bd893f508446cc0e52318d
i24a-high__reuse_sfb__single_shot__none__r1,reuse_sfb__single_shot__none,rejectsNullName,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i24a-high/runs/i24a-high__reuse_sfb__single_shot__none__r1/submission-1/evaluation/report.json,89aacb9c815efcbd27519df3dd63c9a1bb9896a44a731d33598695229183ddb2,3d75cc26c3b69e9172bb4bb764155bd62ca7e21719bd893f508446cc0e52318d
i24a-high__reuse_sfb__single_shot__none__r1,reuse_sfb__single_shot__none,rejectsBlankName,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i24a-high/runs/i24a-high__reuse_sfb__single_shot__none__r1/submission-1/evaluation/report.json,89aacb9c815efcbd27519df3dd63c9a1bb9896a44a731d33598695229183ddb2,3d75cc26c3b69e9172bb4bb764155bd62ca7e21719bd893f508446cc0e52318d
i24a-high__reuse_sfb__single_shot__none__r1,reuse_sfb__single_shot__none,rejectsExcessiveName,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i24a-high/runs/i24a-high__reuse_sfb__single_shot__none__r1/submission-1/evaluation/report.json,89aacb9c815efcbd27519df3dd63c9a1bb9896a44a731d33598695229183ddb2,3d75cc26c3b69e9172bb4bb764155bd62ca7e21719bd893f508446cc0e52318d
i24a-high__reuse_sfb__single_shot__none__r1,reuse_sfb__single_shot__none,boundsRetainedEntries,retention_threshold,AssertionError: More than 100 entries retained.,.local/iterations/i24a-high/runs/i24a-high__reuse_sfb__single_shot__none__r1/submission-1/evaluation/report.json,89aacb9c815efcbd27519df3dd63c9a1bb9896a44a731d33598695229183ddb2,3d75cc26c3b69e9172bb4bb764155bd62ca7e21719bd893f508446cc0e52318d
i24a-high__reuse_sfb__single_shot__none__r1,reuse_sfb__single_shot__none,oversizedPhysicalLine,observed_heap_exhaustion,OutOfMemoryError: Java heap space,.local/iterations/i24a-high/runs/i24a-high__reuse_sfb__single_shot__none__r1/submission-1/evaluation/report.json,89aacb9c815efcbd27519df3dd63c9a1bb9896a44a731d33598695229183ddb2,3d75cc26c3b69e9172bb4bb764155bd62ca7e21719bd893f508446cc0e52318d
i24a-high__generation_s__single_shot__none__r1,generation_s__single_shot__none,rejectsNegativeScore,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i24a-high/runs/i24a-high__generation_s__single_shot__none__r1/submission-1/evaluation/report.json,a0fcb7ce2e28964f284d2d1397ec3e28457f3c18950a8d9b8767e41329f6e5c4,f379c491fe769343b0f2ca6b59b05dcc8d16dee3a2e6e0e4c447121fc9b1b100
i24a-high__generation_s__single_shot__none__r1,generation_s__single_shot__none,rejectsNegativeTime,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i24a-high/runs/i24a-high__generation_s__single_shot__none__r1/submission-1/evaluation/report.json,a0fcb7ce2e28964f284d2d1397ec3e28457f3c18950a8d9b8767e41329f6e5c4,f379c491fe769343b0f2ca6b59b05dcc8d16dee3a2e6e0e4c447121fc9b1b100
i24a-high__generation_s__single_shot__none__r1,generation_s__single_shot__none,rejectsNullName,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i24a-high/runs/i24a-high__generation_s__single_shot__none__r1/submission-1/evaluation/report.json,a0fcb7ce2e28964f284d2d1397ec3e28457f3c18950a8d9b8767e41329f6e5c4,f379c491fe769343b0f2ca6b59b05dcc8d16dee3a2e6e0e4c447121fc9b1b100
