round,arm,n,source,compiled,functionalFirst,functional,inputPolicyClean,securityClean,fullHits,failed,unresolved,passed,toolTurnsMedian,reads,searches,submissions,injections,guardConsultations,guardPositive,guardInterventions,firstCompilingTurnMedian,compiledEver
i24a-high,generation_none__single_shot__none,5,qualified-results.json,4,1,1,0,0,0,26,4,14,1,0,0,5,0,0,0,0,1,3
i24a-high,generation_none__single_shot__static,5,qualified-results.json,4,4,4,4,1,1,0,3,41,1,0,0,5,0,0,0,0,,0
i24a-high,generation_s__single_shot__none,5,qualified-results.json,4,4,4,0,0,0,28,4,12,1,0,0,5,0,0,0,0,,0
i24a-high,generation_s__single_shot__static,5,qualified-results.json,1,1,1,1,0,0,0,1,10,1,0,0,5,0,0,0,0,,0
i24a-high,generation_sfb__single_shot__none,5,qualified-results.json,3,3,3,0,0,0,20,2,11,1,0,0,5,0,0,0,0,,0
i24a-high,generation_sfb__single_shot__static,5,qualified-results.json,2,2,2,2,0,0,1,2,19,1,0,0,5,0,0,0,0,,0
i24a-high,reuse_f__single_shot__none,5,qualified-results.json,1,0,0,0,0,0,8,0,3,1,0,0,5,0,0,0,0,1,1
i24a-high,reuse_f__single_shot__static,5,qualified-results.json,3,2,2,3,0,0,1,3,29,1,0,0,5,0,0,0,0,1,1
i24a-high,reuse_sfb__single_shot__none,5,qualified-results.json,3,2,2,0,0,0,20,3,10,1,0,0,5,0,0,0,0,1,1
i24a-high,reuse_sfb__single_shot__static,5,qualified-results.json,1,1,1,1,0,0,1,1,9,1,0,0,5,0,0,0,0,,0
