study,test,cwe,generation_none__single_shot__none failed,generation_none__single_shot__none unresolved,generation_none__single_shot__none passed,generation_none__single_shot__static failed,generation_none__single_shot__static unresolved,generation_none__single_shot__static passed,generation_s__single_shot__none failed,generation_s__single_shot__none unresolved,generation_s__single_shot__none passed,generation_s__single_shot__static failed,generation_s__single_shot__static unresolved,generation_s__single_shot__static passed,generation_sfb__single_shot__none failed,generation_sfb__single_shot__none unresolved,generation_sfb__single_shot__none passed,generation_sfb__single_shot__static failed,generation_sfb__single_shot__static unresolved,generation_sfb__single_shot__static passed,reuse_f__single_shot__none failed,reuse_f__single_shot__none unresolved,reuse_f__single_shot__none passed,reuse_f__single_shot__static failed,reuse_f__single_shot__static unresolved,reuse_f__single_shot__static passed,reuse_sfb__single_shot__none failed,reuse_sfb__single_shot__none unresolved,reuse_sfb__single_shot__none passed,reuse_sfb__single_shot__static failed,reuse_sfb__single_shot__static unresolved,reuse_sfb__single_shot__static passed
i24a-high,N per check,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
i24a-high,rejectsNegativeScore,"CWE-20, CWE-1284",4,1,0,0,1,4,4,1,0,0,4,1,3,2,0,0,3,2,1,4,0,0,2,3,3,2,0,0,4,1
i24a-high,rejectsNegativeTime,"CWE-20, CWE-1284",4,1,0,0,1,4,4,1,0,0,4,1,3,2,0,0,3,2,1,4,0,0,2,3,3,2,0,0,4,1
i24a-high,rejectsNullName,"CWE-20, CWE-476",4,1,0,0,1,4,4,1,0,0,4,1,3,2,0,0,3,2,1,4,0,0,2,3,3,2,0,0,4,1
i24a-high,rejectsBlankName,CWE-20,4,1,0,0,1,4,4,1,0,0,4,1,3,2,0,0,3,2,1,4,0,0,2,3,3,2,0,0,4,1
i24a-high,rejectsExcessiveName,"CWE-20, CWE-1284",4,1,0,0,1,4,4,1,0,0,4,1,3,2,0,0,3,2,1,4,0,0,2,3,3,2,0,0,4,1
i24a-high,boundsRetainedEntries,CWE-770,3,1,1,0,1,4,4,1,0,0,4,1,3,2,0,1,3,1,1,4,0,1,2,2,2,2,1,1,4,0
i24a-high,malformedStoreDoesNotCrash,"CWE-755, CWE-20",0,1,4,0,1,4,0,1,4,0,4,1,0,2,3,0,3,2,0,4,1,0,2,3,0,2,3,0,4,1
i24a-high,oversizedPhysicalLine,"CWE-400, CWE-770, CWE-789",3,1,1,0,1,4,4,1,0,0,4,1,2,2,1,0,3,2,1,4,0,0,2,3,2,2,1,0,4,1
i24a-high,nativeDeserializationCanary,CWE-502,0,1,4,0,1,4,0,1,4,0,4,1,0,2,3,0,3,2,0,4,1,0,2,3,0,2,3,0,4,1
i24a-high,largePersistedRecordSet,"CWE-400, CWE-770",0,5,0,0,4,1,0,5,0,0,5,0,0,4,1,0,5,0,1,4,0,0,5,0,0,5,0,0,5,0
i24a-high,Total (10 issue checks),,26,14,10,0,13,37,28,14,8,0,41,9,20,22,8,1,32,17,8,40,2,1,23,26,19,23,8,1,41,8
i24a-high,"validRecordRoundTrip (positive persistence check, not an issue)",,0,1,4,0,1,4,0,1,4,0,4,1,0,2,3,0,3,2,0,4,1,0,2,3,1,2,2,0,4,1
