round,arm,trajectories,calls,inputTokens,cachedInputTokens,outputTokens,reasoningTokens,callSeconds,trajectorySeconds
i24b-full,generation_none__single_shot__none,5,5,193730,0,38973,19436,438.475216,480.036478
i24b-full,generation_none__single_shot__static,5,5,239270,0,60449,18875,602.453685,689.665211
i24b-full,generation_s__single_shot__none,5,5,389535,0,50028,15387,478.27888399999995,490.764834
i24b-full,generation_s__single_shot__static,5,5,435075,0,41923,16405,465.976947,564.486762
i24b-full,generation_sfb__single_shot__none,5,5,852175,0,38871,16301,425.526988,469.575124
i24b-full,generation_sfb__single_shot__static,5,5,897715,0,34894,15697,429.782801,438.91592900000006
i24b-full,reuse_f__single_shot__none,5,5,447825,0,41710,14946,423.86465799999996,453.447685
i24b-full,reuse_f__single_shot__static,5,5,479350,0,44899,18209,485.69760099999996,509.050063
i24b-full,reuse_sfb__single_shot__none,5,5,867060,0,33023,12578,369.065911,428.464077
i24b-full,reuse_sfb__single_shot__static,5,5,898585,0,43047,17941,528.922674,594.3975409999999
