runId,condition,submission,status,detail,requestSha256
i24b-full__reuse_f__single_shot__static__r1,reuse_f__single_shot__static,1,invalid_changes,"Use a Java basename, without a path",0df76e52c43ed0b1a904eb866df55e3d85f7fc78907a18de5de3e581aa12a363
i24b-full__generation_none__single_shot__static__r1,generation_none__single_shot__static,1,invalid_changes,ApoMarioLevel.java exists; edit it instead,056190c77c86735cfcc3b85882a94ae11324902ad4b3304ef2013db650d8a439
i24b-full__generation_sfb__single_shot__static__r1,generation_sfb__single_shot__static,1,invalid_changes,"Missing required game integration edits: ApoMarioMenu.java, ApoMarioPanel.java",3fff8d6138b3b9ac6b105942606bcb9644b4a76e65214bc2943bf2a6d0ba0de4
i24b-full__reuse_sfb__single_shot__none__r1,reuse_sfb__single_shot__none,1,invalid_changes,Missing required game integration edits: ApoMarioMenu.java,55b076812b089d2c40d2e3a4e6452ddb26c783409221794e302552928933fa33
i24b-full__reuse_f__single_shot__none__r1,reuse_f__single_shot__none,1,invalid_changes,ApoMarioLevel.java exists; edit it instead,86e587e4f773912603f91248477e8077f05b9460527a98ffad601e9887197d82
i24b-full__reuse_sfb__single_shot__static__r2,reuse_sfb__single_shot__static,1,invalid_changes,ApoMarioMenu.java: old_text matches 0 times; provide one unique exact anchor,18563e333ea45c27c8e5950b62ffeb700875431a791d2d1f511a306269864cfc
i24b-full__generation_sfb__single_shot__none__r2,generation_sfb__single_shot__none,1,invalid_changes,ApoMarioLevel.java exists; edit it instead,254da419668a68440cbda73284019696d77843f60845781cabc11944ad9077b9
i24b-full__generation_s__single_shot__none__r2,generation_s__single_shot__none,1,invalid_changes,ApoMarioHighscore.java exists; edit it instead,f115a3ceb2cbb5dc08902b8ac245140e0e072801fa7f5be69c50b8621bd15d62
i24b-full__generation_s__single_shot__none__r3,generation_s__single_shot__none,1,invalid_changes,ApoMarioLevel.java exists; edit it instead,c80f1802ca8a8b1388ebd7c75af8120713669591214c3ffdda69e20946ff8597
i24b-full__reuse_f__single_shot__static__r3,reuse_f__single_shot__static,1,invalid_changes,ApoMarioMenu.java: old_text matches 0 times; provide one unique exact anchor,a4b6e88bc63f3b9b395f2c5c5d784093209f42ab5aa121ea6098f4a99f37b204
i24b-full__generation_sfb__single_shot__none__r3,generation_sfb__single_shot__none,1,invalid_changes,ApoMarioLevel.java exists; edit it instead,784cd709ed23b59ee6567b2cdc80e7439464456da423f490d79a2f1cff586030
i24b-full__generation_sfb__single_shot__static__r3,generation_sfb__single_shot__static,1,invalid_changes,ApoMarioLevel.java exists; edit it instead,00b301115fa53149853e6065e49964a93f1ff66510a75fbe28f54332856f628b
i24b-full__reuse_sfb__single_shot__static__r3,reuse_sfb__single_shot__static,1,invalid_changes,ApoMarioMenu.java: old_text matches 0 times; provide one unique exact anchor,8c2db0498e7ded867a566e4600ae433ecfde0ae1e7a7cd6c86ceb63d4e28007e
i24b-full__reuse_f__single_shot__static__r4,reuse_f__single_shot__static,1,invalid_changes,ApoMarioHighscore.java exists; edit it instead,ac87e9522e624033ab31f34435ff76189ac1d6d5aa16e833540c89844b015a98
i24b-full__reuse_f__single_shot__none__r4,reuse_f__single_shot__none,1,invalid_changes,ApoMarioMenu.java: old_text matches 0 times; provide one unique exact anchor,bdfe7e762af7eafadd2dc577d2fe626d6195230f89ae475ceed232589c7ce7b9
i24b-full__generation_none__single_shot__none__r4,generation_none__single_shot__none,1,invalid_changes,"Missing required game integration edits: ApoMarioMenu.java, ApoMarioPanel.java",5b2ec1e8dd57c51ad1fd196cc289299350176a56beb426df4e9eeb699648b656
i24b-full__generation_s__single_shot__none__r4,generation_s__single_shot__none,1,invalid_changes,ApoMarioLevel.java exists; edit it instead,dc0b6e2d794d477972b1cf9a3a309613c4e1896365d65fec8d17a9bfe91b2893
i24b-full__generation_sfb__single_shot__static__r4,generation_sfb__single_shot__static,1,invalid_changes,Missing required game integration edits: ApoMarioMenu.java,965a0388552ec8b2a410163012440c7d83b525c04740238c06cf8376ebef26fe
i24b-full__reuse_f__single_shot__none__r5,reuse_f__single_shot__none,1,invalid_changes,ApoMarioPanel.java: old_text matches 0 times; provide one unique exact anchor,74265342404bc12700d885cfb9156e9c4bedf764463f6221b611907621fff0d4
i24b-full__generation_none__single_shot__none__r5,generation_none__single_shot__none,1,invalid_changes,Missing required game integration edits: ApoMarioMenu.java,974e543961b2853944ba754ac9b0220a9f6e061d0caf4b9775830dec1fbfff86
i24b-full__generation_s__single_shot__none__r5,generation_s__single_shot__none,1,invalid_changes,ApoMarioLevel.java exists; edit it instead,c63818a59e1a961877e6677289eee1aec17229034a4b1bc27fd235d87f34bd12
i24b-full__generation_sfb__single_shot__static__r5,generation_sfb__single_shot__static,1,invalid_changes,ApoMarioMenu.java: old_text matches 0 times; provide one unique exact anchor,b667fe02ba43a930d8aa4c46d39186620ec8bf286932e5e6da464300fdbc4c30
i24b-full__generation_sfb__single_shot__none__r5,generation_sfb__single_shot__none,1,invalid_changes,ApoMarioLevel.java exists; edit it instead,6929c110d5a63caa472db557826085dd0b8adfa81e3df5d7e93c22d0ec2851a6
