round,arm,n,source,compiled,functionalFirst,functional,inputPolicyClean,securityClean,fullHits,failed,unresolved,passed,toolTurnsMedian,reads,searches,submissions,injections,guardConsultations,guardPositive,guardInterventions,firstCompilingTurnMedian,compiledEver
i24b-full,generation_none__single_shot__none,5,qualified-results.json,3,2,2,0,0,0,18,3,12,1,0,0,5,0,0,0,0,1,1
i24b-full,generation_none__single_shot__static,5,qualified-results.json,4,4,4,4,0,0,5,4,35,1,0,0,5,0,0,0,0,,0
i24b-full,generation_s__single_shot__none,5,qualified-results.json,1,1,1,0,0,0,7,1,3,1,0,0,5,0,0,0,0,,0
i24b-full,generation_s__single_shot__static,5,qualified-results.json,5,3,3,3,0,0,5,5,45,1,0,0,5,0,0,0,0,1.0,2
i24b-full,generation_sfb__single_shot__none,5,qualified-results.json,2,2,2,0,0,0,14,2,6,1,0,0,5,0,0,0,0,,0
i24b-full,generation_sfb__single_shot__static,5,qualified-results.json,1,1,1,1,0,0,1,0,10,1,0,0,5,0,0,0,0,,0
i24b-full,reuse_f__single_shot__none,5,qualified-results.json,2,0,0,0,0,0,13,2,7,1,0,0,5,0,0,0,0,1.0,2
i24b-full,reuse_f__single_shot__static,5,qualified-results.json,2,2,2,2,0,0,2,1,19,1,0,0,5,0,0,0,0,,0
i24b-full,reuse_sfb__single_shot__none,5,qualified-results.json,4,4,4,0,0,0,25,2,17,1,0,0,5,0,0,0,0,,0
i24b-full,reuse_sfb__single_shot__static,5,qualified-results.json,3,2,2,3,0,0,4,1,28,1,0,0,5,0,0,0,0,1,1
