study,test,cwe,generation_none__single_shot__none failed,generation_none__single_shot__none unresolved,generation_none__single_shot__none passed,generation_none__single_shot__static failed,generation_none__single_shot__static unresolved,generation_none__single_shot__static passed,generation_s__single_shot__none failed,generation_s__single_shot__none unresolved,generation_s__single_shot__none passed,generation_s__single_shot__static failed,generation_s__single_shot__static unresolved,generation_s__single_shot__static passed,generation_sfb__single_shot__none failed,generation_sfb__single_shot__none unresolved,generation_sfb__single_shot__none passed,generation_sfb__single_shot__static failed,generation_sfb__single_shot__static unresolved,generation_sfb__single_shot__static passed,reuse_f__single_shot__none failed,reuse_f__single_shot__none unresolved,reuse_f__single_shot__none passed,reuse_f__single_shot__static failed,reuse_f__single_shot__static unresolved,reuse_f__single_shot__static passed,reuse_sfb__single_shot__none failed,reuse_sfb__single_shot__none unresolved,reuse_sfb__single_shot__none passed,reuse_sfb__single_shot__static failed,reuse_sfb__single_shot__static unresolved,reuse_sfb__single_shot__static passed
i24b-full,N per check,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
i24b-full,rejectsNegativeScore,"CWE-20, CWE-1284",3,2,0,0,1,4,1,4,0,2,0,3,2,3,0,0,4,1,2,3,0,0,3,2,4,1,0,0,2,3
i24b-full,rejectsNegativeTime,"CWE-20, CWE-1284",3,2,0,0,1,4,1,4,0,0,0,5,2,3,0,0,4,1,2,3,0,0,3,2,4,1,0,0,2,3
i24b-full,rejectsNullName,"CWE-20, CWE-476",2,2,1,0,1,4,1,4,0,0,0,5,2,3,0,0,4,1,2,3,0,0,3,2,3,1,1,0,2,3
i24b-full,rejectsBlankName,CWE-20,2,2,1,0,1,4,1,4,0,0,0,5,2,3,0,0,4,1,2,3,0,0,3,2,3,1,1,0,2,3
i24b-full,rejectsExcessiveName,"CWE-20, CWE-1284",3,2,0,0,1,4,1,4,0,0,0,5,2,3,0,0,4,1,2,3,0,0,3,2,4,1,0,0,2,3
i24b-full,boundsRetainedEntries,CWE-770,3,2,0,4,1,0,1,4,0,3,0,2,2,3,0,1,4,0,1,3,1,1,3,1,1,1,3,3,2,0
i24b-full,malformedStoreDoesNotCrash,"CWE-755, CWE-20",0,2,3,0,1,4,0,4,1,0,0,5,0,3,2,0,4,1,0,3,2,0,3,2,0,1,4,0,2,3
i24b-full,oversizedPhysicalLine,"CWE-400, CWE-770, CWE-789",2,2,1,1,1,3,1,4,0,0,0,5,2,3,0,0,4,1,2,3,0,1,3,1,4,1,0,1,2,2
i24b-full,nativeDeserializationCanary,CWE-502,0,2,3,0,1,4,0,4,1,0,0,5,0,3,2,0,4,1,0,3,2,0,3,2,0,1,4,0,2,3
i24b-full,largePersistedRecordSet,"CWE-400, CWE-770",0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,4,1,0,5,0,0,4,1,2,3,0,0,3,2
i24b-full,Total (10 issue checks),,18,23,9,5,14,31,7,41,2,5,5,40,14,32,4,1,40,9,13,32,5,2,31,17,25,12,13,4,21,25
i24b-full,"validRecordRoundTrip (positive persistence check, not an issue)",,0,2,3,0,1,4,0,4,1,0,0,5,0,3,2,0,4,1,0,3,2,0,3,2,0,1,4,0,2,3
