round,arm,trajectories,calls,inputTokens,cachedInputTokens,outputTokens,reasoningTokens,callSeconds,trajectorySeconds
i24c-generic,generation_none__single_shot__none,5,5,193730,0,44187,22318,563.939757,609.70916
i24c-generic,generation_none__single_shot__static,5,5,201535,0,43066,18863,535.420236,571.2246869999999
i24c-generic,generation_s__single_shot__none,5,5,389535,0,46849,17162,527.567237,556.87091
i24c-generic,generation_s__single_shot__static,5,5,397340,0,44982,18533,547.1283139999999,587.060537
i24c-generic,generation_sfb__single_shot__none,5,5,852175,0,36576,15122,445.694264,472.965342
i24c-generic,generation_sfb__single_shot__static,5,5,859980,171866,63062,20783,985.626363,1014.467259
i24c-generic,reuse_f__single_shot__none,5,5,447825,0,47016,18165,543.135984,566.01071
i24c-generic,reuse_f__single_shot__static,5,5,453960,0,44201,20099,549.903638,569.720005
i24c-generic,reuse_sfb__single_shot__none,5,5,867060,0,27643,10423,564.32338,583.51234
i24c-generic,reuse_sfb__single_shot__static,5,5,873195,0,43972,18766,531.104928,553.0331070000001
