runId,condition,submission,status,detail,requestSha256
i24c-generic__generation_none__single_shot__none__r1,generation_none__single_shot__none,1,invalid_changes,ApoMarioPanel.java: old_text matches 0 times; provide one unique exact anchor,2cb6aab4870c29dc5e0d8c0b74223c5a9016f635930ee5a2af1b668e0ff5baf9
i24c-generic__generation_sfb__single_shot__none__r1,generation_sfb__single_shot__none,1,invalid_changes,ApoMarioHighscore.java exists; edit it instead,e7df526a9205356e56378aa20b42363e31e9b2895d55fe5805a7193ffaaba472
i24c-generic__generation_sfb__single_shot__static__r1,generation_sfb__single_shot__static,1,invalid_changes,ApoMarioPanel.java exists; edit it instead,bc25a65bd56344218fe0dd6baea15974cd8822afb70bddd6227a81abfdd14281
i24c-generic__reuse_f__single_shot__static__r1,reuse_f__single_shot__static,1,invalid_changes,ApoMarioMenu.java: old_text matches 0 times; provide one unique exact anchor,25538da6e23be412948f4e572275244d430a065869c626ad0164f83440334503
i24c-generic__generation_s__single_shot__none__r1,generation_s__single_shot__none,1,invalid_changes,ApoMarioLevel.java exists; edit it instead,a0ee4d27d3977ef10cda72ef2f171d43d67efdf19244651352d4f78aef633e59
i24c-generic__generation_none__single_shot__static__r1,generation_none__single_shot__static,1,invalid_changes,ApoMarioHighscore.java exists; edit it instead,61d19b703bf293e49e7a0542e3bcf569615dff3f41d1f7c3ab5b72e8ba7a9ac6
i24c-generic__reuse_f__single_shot__none__r2,reuse_f__single_shot__none,1,invalid_changes,ApoMarioLevel.java exists; edit it instead,5692e256df72b4987d8bf8719462c5bd3d83ee24e6c90e53b466007be1e75070
i24c-generic__generation_sfb__single_shot__none__r2,generation_sfb__single_shot__none,1,invalid_changes,ApoMarioHighscore.java exists; edit it instead,6e3f1093839be4df5d3368a75e3c03140f35b234d03d2eaf0249f5cf2df46963
i24c-generic__reuse_sfb__single_shot__none__r3,reuse_sfb__single_shot__none,1,invalid_changes,ApoMarioMenu.java: old_text matches 0 times; provide one unique exact anchor,63d23fdc0aec429f2d96ccadc765c5734cfdce4b23b9744b644729879ab3fa8d
i24c-generic__reuse_f__single_shot__static__r3,reuse_f__single_shot__static,1,invalid_changes,Missing required game integration edits: ApoMarioMenu.java,28e8eb422a71ec8e2b4c885bc1a28b41c08bad9b5e97964c37ae96c5f0afe46e
i24c-generic__reuse_sfb__single_shot__static__r3,reuse_sfb__single_shot__static,1,invalid_changes,"Missing required game integration edits: ApoMarioMenu.java, ApoMarioPanel.java",4784fe2c320db7045134a28f79cbc58ef3079931f4f6355d2f44c063018059aa
i24c-generic__reuse_sfb__single_shot__static__r4,reuse_sfb__single_shot__static,1,invalid_changes,ApoMarioHighscore.java exists; edit it instead,c86c2dbeec1789fa78e28829e925e0fa3360975e2d47450dd08c72fedad87a51
i24c-generic__reuse_f__single_shot__none__r4,reuse_f__single_shot__none,1,invalid_changes,ApoMarioLevel.java: old_text matches 0 times; provide one unique exact anchor,a1448464a063d3931b30cdd9e96db3920289d956864d546b6b68e04fe2ffd76f
i24c-generic__generation_sfb__single_shot__static__r5,generation_sfb__single_shot__static,1,invalid_changes,ApoMarioPanel.java: old_text matches 0 times; provide one unique exact anchor,ad945689571f855009b71c128f4fc58e7fc6552cb640053becdec06b46c6be52
i24c-generic__reuse_sfb__single_shot__static__r5,reuse_sfb__single_shot__static,1,invalid_changes,ApoMarioLevel.java exists; edit it instead,4212690e39d1ada8f520cf364e74a474351213bac439e36e3b293f80562cab98
i24c-generic__generation_s__single_shot__none__r5,generation_s__single_shot__none,1,invalid_changes,ApoMarioLevel.java exists; edit it instead,b5d3672e8be56da9bc1896363c97d2faf297dcef0a5b243d1fced218a0954322
i24c-generic__reuse_f__single_shot__none__r5,reuse_f__single_shot__none,1,invalid_changes,ApoMarioMenu.java: old_text matches 0 times; provide one unique exact anchor,40e94c82cc017ef973e43243ebaa584ba3c39c99201d9d3d134ab5b76258125c
