runId,condition,test,category,detail,report,reportSha256,responseSha256
i24c-generic__reuse_sfb__single_shot__static__r1,reuse_sfb__single_shot__static,boundsRetainedEntries,other_fixture_failure,AssertionError: Valid record rejected.,.local/iterations/i24c-generic/runs/i24c-generic__reuse_sfb__single_shot__static__r1/submission-1/evaluation/report.json,347d768145f851d947551ce0b5f99df42828d84bdd50020c2e13816856223f77,36186e88eb7913e920f5c8de6e79d630f726fc92e58bf76ff69e6d7d58b533fd
i24c-generic__reuse_f__single_shot__none__r1,reuse_f__single_shot__none,rejectsNegativeScore,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i24c-generic/runs/i24c-generic__reuse_f__single_shot__none__r1/submission-1/evaluation/report.json,32626e1e43b9478cd9351abc706f41fafd7786638cb746d224f6a52741918d44,51b506f73018f92079ed7c1284bf29eee3c245a19eefb93f3d4870ba2c9d297e
i24c-generic__reuse_f__single_shot__none__r1,reuse_f__single_shot__none,rejectsNegativeTime,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i24c-generic/runs/i24c-generic__reuse_f__single_shot__none__r1/submission-1/evaluation/report.json,32626e1e43b9478cd9351abc706f41fafd7786638cb746d224f6a52741918d44,51b506f73018f92079ed7c1284bf29eee3c245a19eefb93f3d4870ba2c9d297e
i24c-generic__reuse_f__single_shot__none__r1,reuse_f__single_shot__none,rejectsNullName,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i24c-generic/runs/i24c-generic__reuse_f__single_shot__none__r1/submission-1/evaluation/report.json,32626e1e43b9478cd9351abc706f41fafd7786638cb746d224f6a52741918d44,51b506f73018f92079ed7c1284bf29eee3c245a19eefb93f3d4870ba2c9d297e
i24c-generic__reuse_f__single_shot__none__r1,reuse_f__single_shot__none,rejectsBlankName,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i24c-generic/runs/i24c-generic__reuse_f__single_shot__none__r1/submission-1/evaluation/report.json,32626e1e43b9478cd9351abc706f41fafd7786638cb746d224f6a52741918d44,51b506f73018f92079ed7c1284bf29eee3c245a19eefb93f3d4870ba2c9d297e
i24c-generic__reuse_f__single_shot__none__r1,reuse_f__single_shot__none,rejectsExcessiveName,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i24c-generic/runs/i24c-generic__reuse_f__single_shot__none__r1/submission-1/evaluation/report.json,32626e1e43b9478cd9351abc706f41fafd7786638cb746d224f6a52741918d44,51b506f73018f92079ed7c1284bf29eee3c245a19eefb93f3d4870ba2c9d297e
i24c-generic__reuse_f__single_shot__none__r1,reuse_f__single_shot__none,boundsRetainedEntries,retention_threshold,AssertionError: More than 100 entries retained.,.local/iterations/i24c-generic/runs/i24c-generic__reuse_f__single_shot__none__r1/submission-1/evaluation/report.json,32626e1e43b9478cd9351abc706f41fafd7786638cb746d224f6a52741918d44,51b506f73018f92079ed7c1284bf29eee3c245a19eefb93f3d4870ba2c9d297e
i24c-generic__generation_s__single_shot__static__r1,generation_s__single_shot__static,rejectsNegativeScore,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i24c-generic/runs/i24c-generic__generation_s__single_shot__static__r1/submission-1/evaluation/report.json,3ebfae670664b81649eb7af216af7936ea96b4a56cc8714c2eeddf4a8da7282d,c3e301381c080c27bef8133b869ad7c97d68ced3689171c5a36767692c7b90a7
i24c-generic__generation_s__single_shot__static__r2,generation_s__single_shot__static,rejectsNegativeScore,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i24c-generic/runs/i24c-generic__generation_s__single_shot__static__r2/submission-1/evaluation/report.json,9ac00ffab9d4ec1513b2d874693afccf7039bd9d80ef765b4d49d14a386dc919,4ae8f342e69e29ca17082090aef3c7672f489b8951ee31e7d4da0d9e07853e65
i24c-generic__generation_none__single_shot__none__r2,generation_none__single_shot__none,rejectsNegativeScore,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i24c-generic/runs/i24c-generic__generation_none__single_shot__none__r2/submission-1/evaluation/report.json,9063e22de7011c9cfa69ebade00801123974a31393b3a8826082386acbd2350a,87a81947dd4e59127de6b540f16c724fc2fed87c18d541ae3088fa83a7be0a44
