round,arm,n,source,compiled,functionalFirst,functional,inputPolicyClean,securityClean,fullHits,failed,passed,unresolved,toolTurnsMedian,reads,searches,submissions,injections,guardConsultations,guardPositive,guardInterventions,firstCompilingTurnMedian,compiledEver
i24c-generic,generation_none__single_shot__none,5,qualified-results.json,4,3,3,0,0,0,24,16,15,1,0,0,5,0,0,0,0,1.0,4
i24c-generic,generation_none__single_shot__static,5,qualified-results.json,3,2,2,2,0,0,1,29,25,1,0,0,5,0,0,0,0,1,3
i24c-generic,generation_s__single_shot__none,5,qualified-results.json,3,3,3,0,0,0,22,9,24,1,0,0,5,0,0,0,0,1,3
i24c-generic,generation_s__single_shot__static,5,qualified-results.json,5,4,4,0,0,0,6,34,15,1,0,0,5,0,0,0,0,1.0,4
i24c-generic,generation_sfb__single_shot__none,5,qualified-results.json,3,3,3,0,0,0,22,9,24,1,0,0,5,0,0,0,0,1,3
i24c-generic,generation_sfb__single_shot__static,5,qualified-results.json,3,2,2,2,0,0,1,29,25,1,0,0,5,0,0,0,0,1,3
i24c-generic,reuse_f__single_shot__none,5,qualified-results.json,2,2,2,0,0,0,13,7,35,1,0,0,5,0,0,0,0,1.0,2
i24c-generic,reuse_f__single_shot__static,5,qualified-results.json,3,1,1,2,0,0,1,20,34,1,0,0,5,0,0,0,0,1.0,2
i24c-generic,reuse_sfb__single_shot__none,5,qualified-results.json,2,2,2,0,0,0,13,7,35,1,0,0,5,0,0,0,0,1.0,2
i24c-generic,reuse_sfb__single_shot__static,5,qualified-results.json,2,2,2,2,1,1,1,21,33,1,0,0,5,0,0,0,0,1.0,2
