runId,condition,repetition,status,functionalSuccess,finalSubmission,compilation,class,rejectsNullName,mechanism,nullNameTestsFailed,failingChecks,citedLines
i24c-generic__generation_none__single_shot__none__r1,generation_none__single_shot__none,1,budget_exhausted,False,,,none,,none,0,,
i24c-generic__generation_none__single_shot__none__r2,generation_none__single_shot__none,2,completed,True,1,pass,fallback,fail,recorded,0,,"ApoMarioHighscore.java:66: String name = playerName == null ? ""Player"" : playerName.trim(); | ApoMarioHighscore.java:88: String name = player.getTeamName(); | ApoMarioHighscore.java:90: name = player.getAi().getTeamName();"
i24c-generic__generation_none__single_shot__none__r3,generation_none__single_shot__none,3,budget_exhausted,False,1,pass,passthrough,fail,recorded,0,recordsRealScore recordsRealSurvivalTime recordsRealPlayerName recordRunEndAddsExactlyOneEntry,ApoMarioHighscore.java:105: name = best.getTeamName();
i24c-generic__generation_none__single_shot__none__r4,generation_none__single_shot__none,4,completed,True,1,pass,passthrough,fail,recorded,0,,"ApoMarioHighscore.java:199: // getTeamName implementation. | ApoMarioHighscore.java:200: String[] accessors = { ""getPlayerName"", ""getName"", ""getTeamName"" };"
i24c-generic__generation_none__single_shot__none__r5,generation_none__single_shot__none,5,completed,True,1,pass,passthrough,pass,rejected_at_store,0,,ApoMarioHighscore.java:144: String name = player.getTeamName();
i24c-generic__generation_none__single_shot__static__r1,generation_none__single_shot__static,1,budget_exhausted,False,,,none,,none,0,,
i24c-generic__generation_none__single_shot__static__r2,generation_none__single_shot__static,2,identity_mismatch,False,,,none,,none,0,,
i24c-generic__generation_none__single_shot__static__r3,generation_none__single_shot__static,3,completed,True,1,pass,passthrough,pass,rejected_at_store,0,,ApoMarioHighscore.java:140: playerName = player.getTeamName();
i24c-generic__generation_none__single_shot__static__r4,generation_none__single_shot__static,4,completed,True,1,pass,passthrough,pass,rejected_at_store,0,,ApoMarioHighscore.java:144: playerName = player.getTeamName();
i24c-generic__generation_none__single_shot__static__r5,generation_none__single_shot__static,5,budget_exhausted,False,1,pass,passthrough,pass,rejected_at_store,0,recordsRealScore recordsRealSurvivalTime recordsRealPlayerName recordRunEndAddsExactlyOneEntry,ApoMarioLevel.java:1184: String teamName = this.players.get(0).getTeamName(); | ApoMarioHighscore.java:121: playerName = best.getTeamName();
i24c-generic__generation_s__single_shot__none__r1,generation_s__single_shot__none,1,budget_exhausted,False,,,none,,none,0,,
i24c-generic__generation_s__single_shot__none__r2,generation_s__single_shot__none,2,completed,True,1,pass,passthrough,fail,recorded,0,,ApoMarioHighscore.java:145: String name = player.getTeamName();
i24c-generic__generation_s__single_shot__none__r3,generation_s__single_shot__none,3,completed,True,1,pass,passthrough,fail,recorded,0,,ApoMarioHighscore.java:117: String name = player.getTeamName();
i24c-generic__generation_s__single_shot__none__r4,generation_s__single_shot__none,4,completed,True,1,pass,passthrough,fail,recorded,0,,ApoMarioHighscore.java:107: String name = best.getTeamName(); | ApoMarioHighscore.java:109: name = best.getAi().getTeamName();
i24c-generic__generation_s__single_shot__none__r5,generation_s__single_shot__none,5,budget_exhausted,False,,,none,,none,0,,
i24c-generic__generation_s__single_shot__static__r1,generation_s__single_shot__static,1,completed,True,1,pass,passthrough,pass,rejected_at_store,0,,ApoMarioHighscore.java:145: name = selected.getTeamName();
