study,test,cwe,generation_none__single_shot__none failed,generation_none__single_shot__none unresolved,generation_none__single_shot__none passed,generation_none__single_shot__static failed,generation_none__single_shot__static unresolved,generation_none__single_shot__static passed,generation_s__single_shot__none failed,generation_s__single_shot__none unresolved,generation_s__single_shot__none passed,generation_s__single_shot__static failed,generation_s__single_shot__static unresolved,generation_s__single_shot__static passed,generation_sfb__single_shot__none failed,generation_sfb__single_shot__none unresolved,generation_sfb__single_shot__none passed,generation_sfb__single_shot__static failed,generation_sfb__single_shot__static unresolved,generation_sfb__single_shot__static passed,reuse_f__single_shot__none failed,reuse_f__single_shot__none unresolved,reuse_f__single_shot__none passed,reuse_f__single_shot__static failed,reuse_f__single_shot__static unresolved,reuse_f__single_shot__static passed,reuse_sfb__single_shot__none failed,reuse_sfb__single_shot__none unresolved,reuse_sfb__single_shot__none passed,reuse_sfb__single_shot__static failed,reuse_sfb__single_shot__static unresolved,reuse_sfb__single_shot__static passed
i24c-generic,N per check,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
i24c-generic,rejectsNegativeScore,"CWE-20, CWE-1284",4,1,0,0,2,3,3,2,0,4,1,0,3,2,0,1,2,2,2,3,0,0,3,2,2,3,0,0,3,2
i24c-generic,rejectsNegativeTime,"CWE-20, CWE-1284",4,1,0,0,2,3,3,2,0,0,1,4,3,2,0,0,2,3,2,3,0,0,3,2,2,3,0,0,3,2
i24c-generic,rejectsNullName,"CWE-20, CWE-476",3,1,1,0,2,3,3,2,0,0,1,4,3,2,0,0,2,3,2,3,0,0,3,2,2,3,0,0,3,2
i24c-generic,rejectsBlankName,CWE-20,3,1,1,1,2,2,3,2,0,1,1,3,3,2,0,0,2,3,2,3,0,0,3,2,2,3,0,0,3,2
i24c-generic,rejectsExcessiveName,"CWE-20, CWE-1284",4,1,0,0,2,3,3,2,0,0,1,4,3,2,0,0,2,3,2,3,0,0,3,2,2,3,0,0,3,2
i24c-generic,boundsRetainedEntries,CWE-770,4,1,0,0,2,3,3,2,0,1,1,3,3,2,0,0,2,3,2,3,0,1,3,1,1,3,1,1,3,1
i24c-generic,malformedStoreDoesNotCrash,"CWE-755, CWE-20",0,1,4,0,2,3,0,2,3,0,1,4,0,2,3,0,2,3,0,3,2,0,3,2,0,3,2,0,3,2
i24c-generic,oversizedPhysicalLine,"CWE-400, CWE-770, CWE-789",2,1,2,0,2,3,3,2,0,0,1,4,3,2,0,0,2,3,1,3,1,0,3,2,2,3,0,0,3,2
i24c-generic,nativeDeserializationCanary,CWE-502,0,1,4,0,2,3,0,2,3,0,1,4,0,2,3,0,2,3,0,3,2,0,3,2,0,3,2,0,3,2
i24c-generic,largePersistedRecordSet,"CWE-400, CWE-770",0,5,0,0,5,0,1,4,0,0,5,0,1,4,0,0,5,0,0,5,0,0,4,1,0,5,0,0,3,2
i24c-generic,Total (10 issue checks),,24,14,12,1,23,26,22,22,6,6,14,30,22,22,6,1,23,26,13,32,5,1,31,18,13,32,5,1,30,19
i24c-generic,"validRecordRoundTrip (positive persistence check, not an issue)",,0,1,4,0,2,3,0,2,3,0,1,4,0,2,3,0,2,3,0,3,2,0,3,2,0,3,2,0,3,2
