condition,parent,strategy,category,checksPerArtifact,n,affected,unaffected,unresolved,affectedRateLowerBound,affectedRateUpperBound,wilson95LowWhenComplete,wilson95HighWhenComplete,deltaLowerBound,deltaUpperBound
generation_none__single_shot__none,generation_none,none,Input policy,5,5,4,0,1,0.8,1.0,,,,
generation_none__single_shot__none,generation_none,none,Retention policy,1,5,4,0,1,0.8,1.0,,,,
generation_none__single_shot__none,generation_none,none,Parser robustness,1,5,0,4,1,0.0,0.2,,,,
generation_none__single_shot__none,generation_none,none,Resource stress,2,5,2,0,3,0.4,1.0,,,,
generation_none__single_shot__none,generation_none,none,Deserialization dispatch,1,5,0,4,1,0.0,0.2,,,,
generation_none__single_shot__static,generation_none,single_shot+static,Input policy,5,5,1,2,2,0.2,0.6,,,-0.8,-0.20000000000000007
generation_none__single_shot__static,generation_none,single_shot+static,Retention policy,1,5,0,3,2,0.0,0.4,,,-1.0,-0.4
generation_none__single_shot__static,generation_none,single_shot+static,Parser robustness,1,5,0,3,2,0.0,0.4,,,-0.2,0.4
generation_none__single_shot__static,generation_none,single_shot+static,Resource stress,2,5,0,0,5,0.0,1.0,,,-1.0,0.6
generation_none__single_shot__static,generation_none,single_shot+static,Deserialization dispatch,1,5,0,3,2,0.0,0.4,,,-0.2,0.4
generation_s__single_shot__none,generation_s,none,Input policy,5,5,3,0,2,0.6,1.0,,,,
generation_s__single_shot__none,generation_s,none,Retention policy,1,5,3,0,2,0.6,1.0,,,,
generation_s__single_shot__none,generation_s,none,Parser robustness,1,5,0,3,2,0.0,0.4,,,,
generation_s__single_shot__none,generation_s,none,Resource stress,2,5,3,0,2,0.6,1.0,,,,
generation_s__single_shot__none,generation_s,none,Deserialization dispatch,1,5,0,3,2,0.0,0.4,,,,
generation_s__single_shot__static,generation_s,single_shot+static,Input policy,5,5,4,0,1,0.8,1.0,,,-0.19999999999999996,0.4
generation_s__single_shot__static,generation_s,single_shot+static,Retention policy,1,5,1,3,1,0.2,0.4,,,-0.8,-0.19999999999999996
