method,context,cell,priorN,priorCompiled,priorUnitPassed,priorUnitRun,n,delivered,compiled,functional,unitPassed,invokedPassed,autonomousPassed,issuesFailed,issuesUnresolved,issuesPassed,issuesPlanned
Generation,None,generation_none,5,1,7,7,5,2,1,0,7,0,5,7,41,2,50
Generation,S,generation_s,5,3,21,21,5,5,5,3,35,20,15,32,5,13,50
Generation,F,generation_f,5,3,21,21,5,4,4,3,28,15,19,28,14,8,50
Generation,B,generation_b,5,2,14,14,5,2,2,2,14,8,10,12,32,6,50
Generation,S+F,generation_sf,5,2,14,14,5,3,3,3,21,12,15,18,23,9,50
Generation,S+B,generation_sb,5,2,14,14,5,4,4,3,28,15,20,27,14,9,50
Generation,F+B,generation_fb,5,4,28,28,5,4,4,4,28,16,20,29,13,8,50
Generation,S+F+B,generation_sfb,5,0,0,0,5,3,2,2,14,8,10,8,32,10,50
Reuse,None,reuse_none,5,1,7,7,5,1,1,1,7,4,5,6,41,3,50
Reuse,S,reuse_s,5,3,19,21,5,3,2,2,14,8,10,13,32,5,50
Reuse,F,reuse_f,5,1,7,7,5,1,1,1,7,4,5,6,41,3,50
Reuse,B,reuse_b,5,1,7,7,5,4,3,3,21,12,15,19,23,8,50
Reuse,S+F,reuse_sf,5,1,7,7,5,4,3,3,21,12,15,18,23,9,50
Reuse,S+B,reuse_sb,5,4,21,21,5,2,2,2,14,8,10,13,32,5,50
Reuse,F+B,reuse_fb,5,0,0,0,5,3,3,3,21,12,15,20,22,8,50
Reuse,S+F+B,reuse_sfb,5,2,14,14,5,4,4,3,28,16,15,24,14,12,50
