round,arm,trajectories,calls,inputTokens,cachedInputTokens,outputTokens,reasoningTokens,callSeconds,trajectorySeconds
i25-lenient,generation_b__single_shot__none,5,5,417160,0,42101,19491,427.109351,457.108651
i25-lenient,generation_f__single_shot__none,5,5,432940,0,33360,14213,340.211253,386.603675
i25-lenient,generation_fb__single_shot__none,5,5,656370,0,94133,15207,692.4688039999999,754.4655730000001
i25-lenient,generation_none__single_shot__none,5,5,193730,0,58733,17528,495.521519,512.3269849999999
i25-lenient,generation_s__single_shot__none,5,5,389535,0,69254,16052,560.1377600000001,613.360815
i25-lenient,generation_sb__single_shot__none,5,5,612965,0,34830,15068,354.867175,404.542639
i25-lenient,generation_sf__single_shot__none,5,5,628745,0,40560,14686,383.14342,414.048195
i25-lenient,generation_sfb__single_shot__none,5,5,852175,0,70661,15333,557.542394,586.1584349999999
i25-lenient,reuse_b__single_shot__none,5,5,432045,0,37204,17868,461.25801799999994,505.314997
i25-lenient,reuse_f__single_shot__none,5,5,447825,0,29309,12201,802.151765,811.296059
i25-lenient,reuse_fb__single_shot__none,5,5,671255,0,28581,11634,366.997461,411.55194200000005
i25-lenient,reuse_none__single_shot__none,5,5,208615,0,40481,20302,419.60559800000004,432.94883500000003
i25-lenient,reuse_s__single_shot__none,5,5,404420,0,46028,13752,441.743921,467.347811
i25-lenient,reuse_sb__single_shot__none,5,5,627850,0,55565,17547,484.490054,507.806742
i25-lenient,reuse_sf__single_shot__none,5,5,643630,0,36353,16298,371.98269,406.644125
i25-lenient,reuse_sfb__single_shot__none,5,5,867060,0,35978,15854,368.24994999999996,424.403146
