runId,condition,submission,status,detail,requestSha256
i25-lenient__reuse_f__single_shot__none__r1,reuse_f__single_shot__none,1,invalid_changes,"Missing required game integration edits: ApoMarioMenu.java, ApoMarioPanel.java",184d5fbaf37fdf15e8f5fc92767a696c9a541c004990fdde75139731dc7b94d7
i25-lenient__generation_fb__single_shot__none__r1,generation_fb__single_shot__none,1,invalid_changes,ApoMarioPanel.java: old_text matches 0 times; provide one unique exact anchor,127a715e3836c3350336f7aa7e7e8070ab97994f9789fbe338266d3db597555b
i25-lenient__generation_b__single_shot__none__r1,generation_b__single_shot__none,1,invalid_changes,ApoMarioLevel.java: old_text matches 0 times; provide one unique exact anchor,c41557db8a5f5df084c1fa5653db2ca23bf0689b04b005ec11f480298ab3b588
i25-lenient__generation_sb__single_shot__none__r1,generation_sb__single_shot__none,1,invalid_changes,ApoMarioMenu.java: old_text matches 0 times; provide one unique exact anchor,3f1d7f07b24bb3aed2a6a96aeca278177e8020520375545507fd49722c835431
i25-lenient__reuse_none__single_shot__none__r1,reuse_none__single_shot__none,1,invalid_changes,"Missing required game integration edits: ApoMarioMenu.java, ApoMarioPanel.java",eeb44ae4401b966b75029cecdb01c79f96b317f5914f1f576157e637c4f45baf
i25-lenient__reuse_f__single_shot__none__r2,reuse_f__single_shot__none,1,invalid_changes,Missing required game integration edits: ApoMarioMenu.java,010d14cfe63345337ee08d24a1a732d791d868129b6310f3e6584c4aa6ad4bb6
i25-lenient__reuse_s__single_shot__none__r2,reuse_s__single_shot__none,1,invalid_changes,"Missing required game integration edits: ApoMarioMenu.java, ApoMarioPanel.java",a890d796084663e5df082ab0d5d38a501e22126905fde09e3b895a2d66be28e0
i25-lenient__reuse_sb__single_shot__none__r3,reuse_sb__single_shot__none,1,invalid_changes,ApoMarioPanel.java: old_text matches 0 times; provide one unique exact anchor,17fd64fa4ecdd78f5f943b1e21741467ebe6fd8bd986ee8d803d81b4e8516e48
i25-lenient__reuse_none__single_shot__none__r3,reuse_none__single_shot__none,1,invalid_changes,ApoMarioMenu.java: old_text matches 0 times; provide one unique exact anchor,ebe2a210b14d6c65ce83aa1279943dffa5aa7344275c0146cbb9fcce419b2af6
i25-lenient__generation_b__single_shot__none__r3,generation_b__single_shot__none,1,invalid_changes,"Missing required game integration edits: ApoMarioMenu.java, ApoMarioPanel.java",d123f9ad8d4868c0433998b701b7e0d352c331dbd991490561beaed6ab041c67
i25-lenient__generation_none__single_shot__none__r3,generation_none__single_shot__none,1,invalid_changes,ApoMarioLevel.java: old_text matches 0 times; provide one unique exact anchor,9339fe979f6def613dfd5e93a33e96d1cd6e31b781a19e56fbfcc1cc4104fabe
i25-lenient__reuse_sfb__single_shot__none__r4,reuse_sfb__single_shot__none,1,invalid_changes,"Missing required game integration edits: ApoMarioMenu.java, ApoMarioPanel.java",9fe6a424b6c826a493b86cf2d88a3334e32d44a894e2b9829fbc704e3cccce7d
i25-lenient__reuse_sf__single_shot__none__r4,reuse_sf__single_shot__none,1,invalid_changes,ApoMarioPanel.java: old_text matches 0 times; provide one unique exact anchor,d738f9660aab1e4e560d0d3e734f4a53c11c25d9e977c211b50b222c0ea7b793
i25-lenient__generation_sfb__single_shot__none__r4,generation_sfb__single_shot__none,1,invalid_changes,"Missing required game integration edits: ApoMarioMenu.java, ApoMarioPanel.java",b8b860bebca046d2c2ea71d94bfaa90dc7b00b67ff1bb43d4ad1794d4b831593
i25-lenient__reuse_sb__single_shot__none__r4,reuse_sb__single_shot__none,1,invalid_changes,ApoMarioPanel.java: old_text matches 0 times; provide one unique exact anchor,fcba665d6681fb5c33016196fd1e9217f986823d1a7391e9c6c134043f69ee63
i25-lenient__generation_none__single_shot__none__r4,generation_none__single_shot__none,1,invalid_changes,ApoMarioMenu.java: old_text matches 0 times; provide one unique exact anchor,9a4fa6a8585881d037936c370891d1c9f56373d952e879c890da3a41ce05ab91
i25-lenient__reuse_none__single_shot__none__r4,reuse_none__single_shot__none,1,invalid_changes,"Missing required game integration edits: ApoMarioMenu.java, ApoMarioPanel.java",842b7e3b0a321325cc5a66300b854c6500b7d159ac67d760bab35d443ac8dcca
i25-lenient__generation_sf__single_shot__none__r4,generation_sf__single_shot__none,1,invalid_changes,ApoMarioLevel.java: old_text matches 0 times; provide one unique exact anchor,8ed16933443af431de948e227f3f551f0f0446bb019749dd6305ed8ef0dfafb9
i25-lenient__generation_f__single_shot__none__r5,generation_f__single_shot__none,1,invalid_changes,New files must contain source,391d67e58e24e0ad8429e6f3cafef0665488ba68e7aed3a6ced95f2ef7577e1f
