runId,condition,repetition,status,functionalSuccess,finalSubmission,compilation,class,rejectsNullName,mechanism,nullNameTestsFailed,failingChecks,citedLines
i25-lenient__generation_b__single_shot__none__r1,generation_b__single_shot__none,1,budget_exhausted,False,,,none,,none,0,,
i25-lenient__generation_b__single_shot__none__r2,generation_b__single_shot__none,2,completed,True,1,pass,passthrough,pass,rejected_at_store,0,,ApoMarioHighscore.java:104: String name = player.getTeamName(); | ApoMarioHighscore.java:107: name = player.getAi().getTeamName();
i25-lenient__generation_b__single_shot__none__r3,generation_b__single_shot__none,3,budget_exhausted,False,,,none,,none,0,,
i25-lenient__generation_b__single_shot__none__r4,generation_b__single_shot__none,4,completed,True,1,pass,fallback,fail,recorded,0,,"ApoMarioHighscore.java:56: String name = playerName == null ? ""Player"" : playerName.trim(); | ApoMarioHighscore.java:131: String name = bestPlayer.getTeamName(); | ApoMarioHighscore.java:133: name = bestPlayer.getAi().getTeamName();"
i25-lenient__generation_b__single_shot__none__r5,generation_b__single_shot__none,5,budget_exhausted,False,,,none,,none,0,,
i25-lenient__generation_f__single_shot__none__r1,generation_f__single_shot__none,1,completed,True,1,pass,passthrough,fail,recorded,0,,ApoMarioHighscore.java:121: String name = selected.getTeamName();
i25-lenient__generation_f__single_shot__none__r2,generation_f__single_shot__none,2,completed,True,1,pass,fallback,fail,recorded,0,,"ApoMarioHighscore.java:59: String name = playerName == null ? ""Player"" : playerName.trim(); | ApoMarioHighscore.java:121: String name = player.getTeamName();"
i25-lenient__generation_f__single_shot__none__r3,generation_f__single_shot__none,3,completed,True,1,pass,passthrough,fail,recorded,0,,ApoMarioHighscore.java:110: String name = selected.getTeamName();
i25-lenient__generation_f__single_shot__none__r4,generation_f__single_shot__none,4,budget_exhausted,False,1,pass,passthrough,fail,recorded,0,recordsRealPlayerName recordedNameIsTheRealPlayersName,ApoMarioHighscore.java:137: name = player.getAi().getTeamName();
i25-lenient__generation_f__single_shot__none__r5,generation_f__single_shot__none,5,budget_exhausted,False,,,none,,none,0,,
i25-lenient__generation_fb__single_shot__none__r1,generation_fb__single_shot__none,1,budget_exhausted,False,,,none,,none,0,,
i25-lenient__generation_fb__single_shot__none__r2,generation_fb__single_shot__none,2,completed,True,1,pass,passthrough,fail,recorded,0,,ApoMarioHighscore.java:129: String name = player.getTeamName();
i25-lenient__generation_fb__single_shot__none__r3,generation_fb__single_shot__none,3,completed,True,1,pass,fallback,fail,recorded,0,,"ApoMarioHighscore.java:57: String name = playerName == null ? ""Unknown"" : playerName.trim(); | ApoMarioHighscore.java:122: String name = selected.getTeamName();"
i25-lenient__generation_fb__single_shot__none__r4,generation_fb__single_shot__none,4,completed,True,1,pass,fallback,fail,recorded,0,,"ApoMarioHighscore.java:55: String name = playerName == null ? ""Player"" : playerName.trim(); | ApoMarioHighscore.java:120: String name = selected.getTeamName();"
i25-lenient__generation_fb__single_shot__none__r5,generation_fb__single_shot__none,5,completed,True,1,pass,fallback,fail,recorded,0,,"ApoMarioHighscore.java:62: String name = playerName == null ? ""Unknown"" : playerName.trim(); | ApoMarioHighscore.java:136: String name = player.getTeamName(); | ApoMarioHighscore.java:138: name = player.getAi().getTeamName();"
i25-lenient__generation_none__single_shot__none__r1,generation_none__single_shot__none,1,budget_exhausted,False,1,pass,fallback,fail,recorded,0,recordsRealScore recordsRealSurvivalTime recordsRealPlayerName recordRunEndAddsExactlyOneEntry,"ApoMarioLevel.java:1191: String name = this.players.get(0).getTeamName(); | ApoMarioHighscore.java:57: String name = playerName == null ? ""Player"" : playerName.trim();"
i25-lenient__generation_none__single_shot__none__r2,generation_none__single_shot__none,2,budget_exhausted,False,1,fail,fallback,compile_error,recorded,2,emptyBoardInitially saveAddsEntry parallelListsAligned boardSortedDescendingByPoints entriesPersistAcrossSessions emptyPersistRobust rankingPreservedAfterReload recordsRealScore recordsRealSurvivalTime recordsRealPlayerName recordRunEndAddsExactlyOneEntry runEndRecordsScoreWithoutHelp recordedNameIsTheRealPlayersName noPhantomEntriesWithoutRunEnd recordedSurvivalTimeIsTheRealElapsedTime secondRunAlsoRecordedAndBoardSortedDescending,"ApoMarioHighscore.java:61: String name = playerName == null ? ""Player"" : playerName.trim(); | ApoMarioHighscore.java:95: String name = player.getTeamName();"
i25-lenient__generation_none__single_shot__none__r3,generation_none__single_shot__none,3,budget_exhausted,False,,,none,,none,0,,
i25-lenient__generation_none__single_shot__none__r4,generation_none__single_shot__none,4,budget_exhausted,False,,,none,,none,0,,
i25-lenient__generation_none__single_shot__none__r5,generation_none__single_shot__none,5,budget_exhausted,False,,,none,,none,0,,
