study,test,cwe,generation_none__single_shot__none failed,generation_none__single_shot__none unresolved,generation_none__single_shot__none passed,generation_s__single_shot__none failed,generation_s__single_shot__none unresolved,generation_s__single_shot__none passed,generation_f__single_shot__none failed,generation_f__single_shot__none unresolved,generation_f__single_shot__none passed,generation_b__single_shot__none failed,generation_b__single_shot__none unresolved,generation_b__single_shot__none passed,generation_sf__single_shot__none failed,generation_sf__single_shot__none unresolved,generation_sf__single_shot__none passed,generation_sb__single_shot__none failed,generation_sb__single_shot__none unresolved,generation_sb__single_shot__none passed,generation_fb__single_shot__none failed,generation_fb__single_shot__none unresolved,generation_fb__single_shot__none passed,generation_sfb__single_shot__none failed,generation_sfb__single_shot__none unresolved,generation_sfb__single_shot__none passed,reuse_none__single_shot__none failed,reuse_none__single_shot__none unresolved,reuse_none__single_shot__none passed,reuse_s__single_shot__none failed,reuse_s__single_shot__none unresolved,reuse_s__single_shot__none passed,reuse_f__single_shot__none failed,reuse_f__single_shot__none unresolved,reuse_f__single_shot__none passed,reuse_b__single_shot__none failed,reuse_b__single_shot__none unresolved,reuse_b__single_shot__none passed,reuse_sf__single_shot__none failed,reuse_sf__single_shot__none unresolved,reuse_sf__single_shot__none passed,reuse_sb__single_shot__none failed,reuse_sb__single_shot__none unresolved,reuse_sb__single_shot__none passed,reuse_fb__single_shot__none failed,reuse_fb__single_shot__none unresolved,reuse_fb__single_shot__none passed,reuse_sfb__single_shot__none failed,reuse_sfb__single_shot__none unresolved,reuse_sfb__single_shot__none passed
i25-lenient,N per check,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
i25-lenient,rejectsNegativeScore,"CWE-20, CWE-1284",1,4,0,5,0,0,4,1,0,2,3,0,3,2,0,4,1,0,4,1,0,2,3,0,1,4,0,2,3,0,1,4,0,3,2,0,3,2,0,2,3,0,3,2,0,4,1,0
i25-lenient,rejectsNegativeTime,"CWE-20, CWE-1284",1,4,0,5,0,0,4,1,0,2,3,0,2,2,1,4,1,0,4,1,0,0,3,2,1,4,0,2,3,0,1,4,0,3,2,0,3,2,0,2,3,0,3,2,0,4,1,0
i25-lenient,rejectsNullName,"CWE-20, CWE-476",1,4,0,4,0,1,4,1,0,1,3,1,2,2,1,4,1,0,4,1,0,0,3,2,1,4,0,2,3,0,1,4,0,3,2,0,3,2,0,2,3,0,3,2,0,3,1,1
i25-lenient,rejectsBlankName,CWE-20,1,4,0,4,0,1,4,1,0,1,3,1,2,2,1,4,1,0,4,1,0,0,3,2,1,4,0,2,3,0,1,4,0,3,2,0,3,2,0,2,3,0,3,2,0,3,1,1
i25-lenient,rejectsExcessiveName,"CWE-20, CWE-1284",1,4,0,5,0,0,4,1,0,2,3,0,3,2,0,4,1,0,4,1,0,2,3,0,1,4,0,2,3,0,1,4,0,3,2,0,3,2,0,2,3,0,3,2,0,4,1,0
i25-lenient,boundsRetainedEntries,CWE-770,1,4,0,5,0,0,4,1,0,2,3,0,3,2,0,4,1,0,4,1,0,2,3,0,1,4,0,2,3,0,0,4,1,3,2,0,2,2,1,2,3,0,2,2,1,3,1,1
i25-lenient,malformedStoreDoesNotCrash,"CWE-755, CWE-20",0,4,1,0,0,5,0,1,4,0,3,2,0,2,3,0,1,4,0,1,4,0,3,2,0,4,1,0,3,2,0,4,1,0,2,3,0,2,3,0,3,2,0,2,3,0,1,4
i25-lenient,oversizedPhysicalLine,"CWE-400, CWE-770, CWE-789",1,4,0,4,0,1,4,1,0,2,3,0,3,2,0,3,1,1,4,1,0,2,3,0,0,4,1,1,3,1,1,4,0,1,2,2,1,2,2,1,3,1,2,2,1,3,1,1
i25-lenient,nativeDeserializationCanary,CWE-502,0,4,1,0,0,5,0,1,4,0,3,2,0,2,3,0,1,4,0,1,4,0,3,2,0,4,1,0,3,2,0,4,1,0,2,3,0,2,3,0,3,2,0,2,3,0,1,4
i25-lenient,largePersistedRecordSet,"CWE-400, CWE-770",0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,1,4,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,1,4,0,0,5,0
i25-lenient,Total (10 issue checks),,7,41,2,32,5,13,28,14,8,12,32,6,18,23,9,27,14,9,29,13,8,8,32,10,6,41,3,13,32,5,6,41,3,19,23,8,18,23,9,13,32,5,20,22,8,24,14,12
i25-lenient,"validRecordRoundTrip (positive persistence check, not an issue)",,0,4,1,0,0,5,0,1,4,0,3,2,0,2,3,0,1,4,0,1,4,0,3,2,0,4,1,0,3,2,0,4,1,0,2,3,0,2,3,0,3,2,0,2,3,0,1,4
