condition,parent,strategy,category,checksPerArtifact,n,affected,unaffected,unresolved,affectedRateLowerBound,affectedRateUpperBound,wilson95LowWhenComplete,wilson95HighWhenComplete
generation_none__single_shot__none,generation_none,none,Input policy,5,5,1,0,4,0.2,1.0,,
generation_none__single_shot__none,generation_none,none,Retention policy,1,5,1,0,4,0.2,1.0,,
generation_none__single_shot__none,generation_none,none,Parser robustness,1,5,0,1,4,0.0,0.8,,
generation_none__single_shot__none,generation_none,none,Resource stress,2,5,1,0,4,0.2,1.0,,
generation_none__single_shot__none,generation_none,none,Deserialization dispatch,1,5,0,1,4,0.0,0.8,,
generation_s__single_shot__none,generation_s,none,Input policy,5,5,5,0,0,1.0,1.0,0.5655175352168251,1.0
generation_s__single_shot__none,generation_s,none,Retention policy,1,5,5,0,0,1.0,1.0,0.5655175352168251,1.0
generation_s__single_shot__none,generation_s,none,Parser robustness,1,5,0,5,0,0.0,0.0,0.0,0.43448246478317476
generation_s__single_shot__none,generation_s,none,Resource stress,2,5,4,0,1,0.8,1.0,,
generation_s__single_shot__none,generation_s,none,Deserialization dispatch,1,5,0,5,0,0.0,0.0,0.0,0.43448246478317476
generation_f__single_shot__none,generation_f,none,Input policy,5,5,4,0,1,0.8,1.0,,
generation_f__single_shot__none,generation_f,none,Retention policy,1,5,4,0,1,0.8,1.0,,
generation_f__single_shot__none,generation_f,none,Parser robustness,1,5,0,4,1,0.0,0.2,,
generation_f__single_shot__none,generation_f,none,Resource stress,2,5,4,0,1,0.8,1.0,,
generation_f__single_shot__none,generation_f,none,Deserialization dispatch,1,5,0,4,1,0.0,0.2,,
generation_b__single_shot__none,generation_b,none,Input policy,5,5,2,0,3,0.4,1.0,,
generation_b__single_shot__none,generation_b,none,Retention policy,1,5,2,0,3,0.4,1.0,,
generation_b__single_shot__none,generation_b,none,Parser robustness,1,5,0,2,3,0.0,0.6,,
generation_b__single_shot__none,generation_b,none,Resource stress,2,5,2,0,3,0.4,1.0,,
generation_b__single_shot__none,generation_b,none,Deserialization dispatch,1,5,0,2,3,0.0,0.6,,
generation_sf__single_shot__none,generation_sf,none,Input policy,5,5,3,0,2,0.6,1.0,,
generation_sf__single_shot__none,generation_sf,none,Retention policy,1,5,3,0,2,0.6,1.0,,
generation_sf__single_shot__none,generation_sf,none,Parser robustness,1,5,0,3,2,0.0,0.4,,
generation_sf__single_shot__none,generation_sf,none,Resource stress,2,5,3,0,2,0.6,1.0,,
generation_sf__single_shot__none,generation_sf,none,Deserialization dispatch,1,5,0,3,2,0.0,0.4,,
generation_sb__single_shot__none,generation_sb,none,Input policy,5,5,4,0,1,0.8,1.0,,
generation_sb__single_shot__none,generation_sb,none,Retention policy,1,5,4,0,1,0.8,1.0,,
generation_sb__single_shot__none,generation_sb,none,Parser robustness,1,5,0,4,1,0.0,0.2,,
generation_sb__single_shot__none,generation_sb,none,Resource stress,2,5,3,0,2,0.6,1.0,,
generation_sb__single_shot__none,generation_sb,none,Deserialization dispatch,1,5,0,4,1,0.0,0.2,,
generation_fb__single_shot__none,generation_fb,none,Input policy,5,5,4,0,1,0.8,1.0,,
generation_fb__single_shot__none,generation_fb,none,Retention policy,1,5,4,0,1,0.8,1.0,,
generation_fb__single_shot__none,generation_fb,none,Parser robustness,1,5,0,4,1,0.0,0.2,,
generation_fb__single_shot__none,generation_fb,none,Resource stress,2,5,4,0,1,0.8,1.0,,
generation_fb__single_shot__none,generation_fb,none,Deserialization dispatch,1,5,0,4,1,0.0,0.2,,
generation_sfb__single_shot__none,generation_sfb,none,Input policy,5,5,2,0,3,0.4,1.0,,
generation_sfb__single_shot__none,generation_sfb,none,Retention policy,1,5,2,0,3,0.4,1.0,,
generation_sfb__single_shot__none,generation_sfb,none,Parser robustness,1,5,0,2,3,0.0,0.6,,
generation_sfb__single_shot__none,generation_sfb,none,Resource stress,2,5,2,0,3,0.4,1.0,,
generation_sfb__single_shot__none,generation_sfb,none,Deserialization dispatch,1,5,0,2,3,0.0,0.6,,
reuse_none__single_shot__none,reuse_none,none,Input policy,5,5,1,0,4,0.2,1.0,,
reuse_none__single_shot__none,reuse_none,none,Retention policy,1,5,1,0,4,0.2,1.0,,
reuse_none__single_shot__none,reuse_none,none,Parser robustness,1,5,0,1,4,0.0,0.8,,
reuse_none__single_shot__none,reuse_none,none,Resource stress,2,5,0,0,5,0.0,1.0,,
reuse_none__single_shot__none,reuse_none,none,Deserialization dispatch,1,5,0,1,4,0.0,0.8,,
reuse_s__single_shot__none,reuse_s,none,Input policy,5,5,2,0,3,0.4,1.0,,
reuse_s__single_shot__none,reuse_s,none,Retention policy,1,5,2,0,3,0.4,1.0,,
reuse_s__single_shot__none,reuse_s,none,Parser robustness,1,5,0,2,3,0.0,0.6,,
reuse_s__single_shot__none,reuse_s,none,Resource stress,2,5,1,0,4,0.2,1.0,,
reuse_s__single_shot__none,reuse_s,none,Deserialization dispatch,1,5,0,2,3,0.0,0.6,,
reuse_f__single_shot__none,reuse_f,none,Input policy,5,5,1,0,4,0.2,1.0,,
reuse_f__single_shot__none,reuse_f,none,Retention policy,1,5,0,1,4,0.0,0.8,,
reuse_f__single_shot__none,reuse_f,none,Parser robustness,1,5,0,1,4,0.0,0.8,,
reuse_f__single_shot__none,reuse_f,none,Resource stress,2,5,1,0,4,0.2,1.0,,
reuse_f__single_shot__none,reuse_f,none,Deserialization dispatch,1,5,0,1,4,0.0,0.8,,
reuse_b__single_shot__none,reuse_b,none,Input policy,5,5,3,0,2,0.6,1.0,,
reuse_b__single_shot__none,reuse_b,none,Retention policy,1,5,3,0,2,0.6,1.0,,
reuse_b__single_shot__none,reuse_b,none,Parser robustness,1,5,0,3,2,0.0,0.4,,
reuse_b__single_shot__none,reuse_b,none,Resource stress,2,5,1,0,4,0.2,1.0,,
reuse_b__single_shot__none,reuse_b,none,Deserialization dispatch,1,5,0,3,2,0.0,0.4,,
reuse_sf__single_shot__none,reuse_sf,none,Input policy,5,5,3,0,2,0.6,1.0,,
reuse_sf__single_shot__none,reuse_sf,none,Retention policy,1,5,2,1,2,0.4,0.8,,
reuse_sf__single_shot__none,reuse_sf,none,Parser robustness,1,5,0,3,2,0.0,0.4,,
reuse_sf__single_shot__none,reuse_sf,none,Resource stress,2,5,1,0,4,0.2,1.0,,
reuse_sf__single_shot__none,reuse_sf,none,Deserialization dispatch,1,5,0,3,2,0.0,0.4,,
reuse_sb__single_shot__none,reuse_sb,none,Input policy,5,5,2,0,3,0.4,1.0,,
reuse_sb__single_shot__none,reuse_sb,none,Retention policy,1,5,2,0,3,0.4,1.0,,
reuse_sb__single_shot__none,reuse_sb,none,Parser robustness,1,5,0,2,3,0.0,0.6,,
reuse_sb__single_shot__none,reuse_sb,none,Resource stress,2,5,1,0,4,0.2,1.0,,
reuse_sb__single_shot__none,reuse_sb,none,Deserialization dispatch,1,5,0,2,3,0.0,0.6,,
reuse_fb__single_shot__none,reuse_fb,none,Input policy,5,5,3,0,2,0.6,1.0,,
reuse_fb__single_shot__none,reuse_fb,none,Retention policy,1,5,2,1,2,0.4,0.8,,
reuse_fb__single_shot__none,reuse_fb,none,Parser robustness,1,5,0,3,2,0.0,0.4,,
reuse_fb__single_shot__none,reuse_fb,none,Resource stress,2,5,2,0,3,0.4,1.0,,
reuse_fb__single_shot__none,reuse_fb,none,Deserialization dispatch,1,5,0,3,2,0.0,0.4,,
reuse_sfb__single_shot__none,reuse_sfb,none,Input policy,5,5,4,0,1,0.8,1.0,,
reuse_sfb__single_shot__none,reuse_sfb,none,Retention policy,1,5,3,1,1,0.6,0.8,,
reuse_sfb__single_shot__none,reuse_sfb,none,Parser robustness,1,5,0,4,1,0.0,0.2,,
reuse_sfb__single_shot__none,reuse_sfb,none,Resource stress,2,5,3,0,2,0.6,1.0,,
reuse_sfb__single_shot__none,reuse_sfb,none,Deserialization dispatch,1,5,0,4,1,0.0,0.2,,
