runId,condition,submission,status,detail,requestSha256
i26-graph__generation_s__agentic__ast__r1,generation_s__agentic__ast,1,invalid_changes,ApoMarioLevel.java exists; edit it instead,ec307d5d278f18a6189f66d6ac87dba6bf331496dccd389ae33bcad40ba7fe17
i26-graph__generation_s__agentic__ast__r1,generation_s__agentic__ast,2,invalid_changes,Missing required game integration edits: ApoMarioMenu.java,da4291fbde206df02c02bdf7c9dd625e062e3856292d1d75bfaee9e5450d4304
i26-graph__generation_s__agentic__static-ast__r1,generation_s__agentic__static-ast,1,invalid_changes,"Missing required game integration edits: ApoMarioMenu.java, ApoMarioPanel.java",b2cea7a52069ccb4f4fc72c6fe6f9169737469fabf2e446c9414c8c4515ea62e
i26-graph__generation_s__agentic__static-ast-guard__r1,generation_s__agentic__static-ast-guard,1,invalid_changes,ApoMarioLevel.java exists; edit it instead,4a24775f0e2a7147100e1f0ac8157b5379a11af265dee8eab435c224a231a5d8
i26-graph__generation_s__agentic__static__r1,generation_s__agentic__static,2,invalid_changes,Changes must be arrays,d2dc2bef83757d567a89283030c6291df7bae34df009a2eea0eac1d5ad9aa035
i26-graph__generation_s__agentic__static__r1,generation_s__agentic__static,3,invalid_changes,Changes must be arrays,9714031bcec718890f150c6577134367498b299ba0ef68e35da91014db783ffa
i26-graph__generation_s__agentic__static__r2,generation_s__agentic__static,1,invalid_changes,ApoMarioPanel.java exists; edit it instead,a4742ddef2b01e348a89119549a719b5c77c07ce8247206ebf82d9a5016cfce3
i26-graph__generation_s__agentic__static-ast__r2,generation_s__agentic__static-ast,1,invalid_changes,ApoMarioLevel.java exists; edit it instead,de9709e02c14b590f2e07ca9b9561b69535fef716977669b39c0a064d1a15816
i26-graph__generation_s__agentic__static-guard__r2,generation_s__agentic__static-guard,1,invalid_changes,ApoMarioHighscore.java exists; edit it instead,6a48c822ee782c603c7bd9b083eac822e12491a08591f0252bd64e4be55e32e9
i26-graph__generation_s__agentic__static-guard__r2,generation_s__agentic__static-guard,2,invalid_changes,Changes must be arrays,5321e8b2bc6e454d45fc45795f715eb9232483acae89ce07e4f8aa6c014c1ee9
i26-graph__generation_s__agentic__static-guard__r2,generation_s__agentic__static-guard,3,invalid_changes,Changes must be arrays,936c1086e46dcc68af0b7c9147829a9c7cf8d81fe06d7d8f58fc6d2ef4348277
i26-graph__generation_s__agentic__static-guard__r2,generation_s__agentic__static-guard,4,invalid_changes,"Missing required game integration edits: ApoMarioLevel.java, ApoMarioMenu.java, ApoMarioPanel.java",b55d4918b38bed41b4d15ccd0f5bdf42a3c940445d050358fac21db260d14222
i26-graph__generation_s__agentic__none__r2,generation_s__agentic__none,1,invalid_changes,ApoMarioHighscore.java exists; edit it instead,69563e0d97cb0bdcf99b179e09743f6fcc811719e08b49e4dd1b7e010a3ff64d
i26-graph__generation_s__agentic__static-ast-guard__r2,generation_s__agentic__static-ast-guard,1,invalid_changes,ApoMarioPanel.java exists; edit it instead,019333cd2f6beea7f7d73578abab286f78c4c788bcca3da8e18efbfff511040e
i26-graph__generation_s__agentic__static-ast-guard__r2,generation_s__agentic__static-ast-guard,2,invalid_changes,"Missing required game integration edits: ApoMarioLevel.java, ApoMarioMenu.java",c304b4416336a87ff23f1a7ea9dfbf8511e8717dae59d961ed98be1bcfbbb142
i26-graph__generation_s__agentic__static-ast-guard__r2,generation_s__agentic__static-ast-guard,4,invalid_changes,Changes must be arrays,df62832d21f931385376d6d166aeca9704b3ea5bb208d26d94e270f09183a6fe
i26-graph__generation_s__agentic__static-ast-guard__r2,generation_s__agentic__static-ast-guard,5,invalid_changes,Changes must be arrays,a617b26d156f4725367b4e0c258f446e41ee5fa4f90fd1554f4f9725dcd31c1d
