study,test,cwe,generation_s__agentic__none failed,generation_s__agentic__none unresolved,generation_s__agentic__none passed,generation_s__agentic__static failed,generation_s__agentic__static unresolved,generation_s__agentic__static passed,generation_s__agentic__ast failed,generation_s__agentic__ast unresolved,generation_s__agentic__ast passed,generation_s__agentic__static-ast failed,generation_s__agentic__static-ast unresolved,generation_s__agentic__static-ast passed,generation_s__agentic__static-guard failed,generation_s__agentic__static-guard unresolved,generation_s__agentic__static-guard passed,generation_s__agentic__static-ast-guard failed,generation_s__agentic__static-ast-guard unresolved,generation_s__agentic__static-ast-guard passed
i26-graph,N per check,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
i26-graph,rejectsNegativeScore,"CWE-20, CWE-1284",2,0,0,2,0,0,2,0,0,0,0,2,2,0,0,0,0,2
i26-graph,rejectsNegativeTime,"CWE-20, CWE-1284",1,0,1,0,0,2,1,0,1,0,0,2,0,0,2,0,0,2
i26-graph,rejectsNullName,"CWE-20, CWE-476",0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2
i26-graph,rejectsBlankName,CWE-20,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2
i26-graph,rejectsExcessiveName,"CWE-20, CWE-1284",2,0,0,0,0,2,2,0,0,0,0,2,0,0,2,0,0,2
i26-graph,boundsRetainedEntries,CWE-770,2,0,0,1,0,1,2,0,0,0,0,2,1,0,1,1,0,1
i26-graph,malformedStoreDoesNotCrash,"CWE-755, CWE-20",0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2
i26-graph,oversizedPhysicalLine,"CWE-400, CWE-770, CWE-789",2,0,0,1,0,1,2,0,0,0,0,2,0,0,2,1,0,1
i26-graph,nativeDeserializationCanary,CWE-502,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2
i26-graph,largePersistedRecordSet,"CWE-400, CWE-770",1,1,0,0,2,0,0,2,0,0,1,1,0,2,0,0,2,0
i26-graph,Total (10 issue checks),,10,1,9,4,2,14,9,2,9,0,1,19,3,2,15,2,2,16
i26-graph,"validRecordRoundTrip (positive persistence check, not an issue)",,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2
