parent,strategy,test,category,controlFailed,controlEvaluated,controlUnresolved,treatmentFailed,treatmentEvaluated,treatmentUnresolved,failureRateDelta,direction
generation_s,agentic+static,rejectsNegativeScore,Input policy,2,2,0,2,2,0,0.0,equal
generation_s,agentic+static,rejectsNegativeTime,Input policy,1,2,0,0,2,0,-0.5,decreased
generation_s,agentic+static,rejectsNullName,Input policy,0,2,0,0,2,0,0.0,equal
generation_s,agentic+static,rejectsBlankName,Input policy,0,2,0,0,2,0,0.0,equal
generation_s,agentic+static,rejectsExcessiveName,Input policy,2,2,0,0,2,0,-1.0,decreased
generation_s,agentic+static,boundsRetainedEntries,Retention policy,2,2,0,1,2,0,-0.5,decreased
generation_s,agentic+static,malformedStoreDoesNotCrash,Parser robustness,0,2,0,0,2,0,0.0,equal
generation_s,agentic+static,oversizedPhysicalLine,Resource stress,2,2,0,1,2,0,-0.5,decreased
generation_s,agentic+static,nativeDeserializationCanary,Deserialization dispatch,0,2,0,0,2,0,0.0,equal
generation_s,agentic+static,largePersistedRecordSet,Resource stress,1,1,1,0,0,2,,unresolved
generation_s,agentic+ast,rejectsNegativeScore,Input policy,2,2,0,2,2,0,0.0,equal
generation_s,agentic+ast,rejectsNegativeTime,Input policy,1,2,0,1,2,0,0.0,equal
generation_s,agentic+ast,rejectsNullName,Input policy,0,2,0,0,2,0,0.0,equal
generation_s,agentic+ast,rejectsBlankName,Input policy,0,2,0,0,2,0,0.0,equal
generation_s,agentic+ast,rejectsExcessiveName,Input policy,2,2,0,2,2,0,0.0,equal
generation_s,agentic+ast,boundsRetainedEntries,Retention policy,2,2,0,2,2,0,0.0,equal
generation_s,agentic+ast,malformedStoreDoesNotCrash,Parser robustness,0,2,0,0,2,0,0.0,equal
generation_s,agentic+ast,oversizedPhysicalLine,Resource stress,2,2,0,2,2,0,0.0,equal
generation_s,agentic+ast,nativeDeserializationCanary,Deserialization dispatch,0,2,0,0,2,0,0.0,equal
generation_s,agentic+ast,largePersistedRecordSet,Resource stress,1,1,1,0,0,2,,unresolved
generation_s,agentic+static-ast,rejectsNegativeScore,Input policy,2,2,0,0,2,0,-1.0,decreased
generation_s,agentic+static-ast,rejectsNegativeTime,Input policy,1,2,0,0,2,0,-0.5,decreased
generation_s,agentic+static-ast,rejectsNullName,Input policy,0,2,0,0,2,0,0.0,equal
generation_s,agentic+static-ast,rejectsBlankName,Input policy,0,2,0,0,2,0,0.0,equal
generation_s,agentic+static-ast,rejectsExcessiveName,Input policy,2,2,0,0,2,0,-1.0,decreased
generation_s,agentic+static-ast,boundsRetainedEntries,Retention policy,2,2,0,0,2,0,-1.0,decreased
generation_s,agentic+static-ast,malformedStoreDoesNotCrash,Parser robustness,0,2,0,0,2,0,0.0,equal
generation_s,agentic+static-ast,oversizedPhysicalLine,Resource stress,2,2,0,0,2,0,-1.0,decreased
generation_s,agentic+static-ast,nativeDeserializationCanary,Deserialization dispatch,0,2,0,0,2,0,0.0,equal
generation_s,agentic+static-ast,largePersistedRecordSet,Resource stress,1,1,1,0,1,1,,unresolved
generation_s,agentic+static-guard,rejectsNegativeScore,Input policy,2,2,0,2,2,0,0.0,equal
generation_s,agentic+static-guard,rejectsNegativeTime,Input policy,1,2,0,0,2,0,-0.5,decreased
generation_s,agentic+static-guard,rejectsNullName,Input policy,0,2,0,0,2,0,0.0,equal
generation_s,agentic+static-guard,rejectsBlankName,Input policy,0,2,0,0,2,0,0.0,equal
generation_s,agentic+static-guard,rejectsExcessiveName,Input policy,2,2,0,0,2,0,-1.0,decreased
generation_s,agentic+static-guard,boundsRetainedEntries,Retention policy,2,2,0,1,2,0,-0.5,decreased
generation_s,agentic+static-guard,malformedStoreDoesNotCrash,Parser robustness,0,2,0,0,2,0,0.0,equal
generation_s,agentic+static-guard,oversizedPhysicalLine,Resource stress,2,2,0,0,2,0,-1.0,decreased
generation_s,agentic+static-guard,nativeDeserializationCanary,Deserialization dispatch,0,2,0,0,2,0,0.0,equal
generation_s,agentic+static-guard,largePersistedRecordSet,Resource stress,1,1,1,0,0,2,,unresolved
generation_s,agentic+static-ast-guard,rejectsNegativeScore,Input policy,2,2,0,0,2,0,-1.0,decreased
generation_s,agentic+static-ast-guard,rejectsNegativeTime,Input policy,1,2,0,0,2,0,-0.5,decreased
generation_s,agentic+static-ast-guard,rejectsNullName,Input policy,0,2,0,0,2,0,0.0,equal
generation_s,agentic+static-ast-guard,rejectsBlankName,Input policy,0,2,0,0,2,0,0.0,equal
generation_s,agentic+static-ast-guard,rejectsExcessiveName,Input policy,2,2,0,0,2,0,-1.0,decreased
generation_s,agentic+static-ast-guard,boundsRetainedEntries,Retention policy,2,2,0,1,2,0,-0.5,decreased
generation_s,agentic+static-ast-guard,malformedStoreDoesNotCrash,Parser robustness,0,2,0,0,2,0,0.0,equal
generation_s,agentic+static-ast-guard,oversizedPhysicalLine,Resource stress,2,2,0,1,2,0,-0.5,decreased
generation_s,agentic+static-ast-guard,nativeDeserializationCanary,Deserialization dispatch,0,2,0,0,2,0,0.0,equal
generation_s,agentic+static-ast-guard,largePersistedRecordSet,Resource stress,1,1,1,0,0,2,,unresolved
