study,test,cwe,generation_s__agentic__none failed,generation_s__agentic__none unresolved,generation_s__agentic__none passed,generation_s__agentic__static failed,generation_s__agentic__static unresolved,generation_s__agentic__static passed,generation_s__agentic__static-ast failed,generation_s__agentic__static-ast unresolved,generation_s__agentic__static-ast passed,generation_s__agentic__static-ast-guard failed,generation_s__agentic__static-ast-guard unresolved,generation_s__agentic__static-ast-guard passed,generation_s__agentic__static-ast-advise failed,generation_s__agentic__static-ast-advise unresolved,generation_s__agentic__static-ast-advise passed
i27-graph,N per check,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
i27-graph,rejectsNegativeScore,"CWE-20, CWE-1284",3,0,0,0,0,3,1,1,1,2,0,1,1,1,1
i27-graph,rejectsNegativeTime,"CWE-20, CWE-1284",3,0,0,0,0,3,0,1,2,0,0,3,0,1,2
i27-graph,rejectsNullName,"CWE-20, CWE-476",1,0,2,0,0,3,0,1,2,0,0,3,0,1,2
i27-graph,rejectsBlankName,CWE-20,1,0,2,0,0,3,0,1,2,0,0,3,0,1,2
i27-graph,rejectsExcessiveName,"CWE-20, CWE-1284",3,0,0,0,0,3,0,1,2,0,0,3,0,1,2
i27-graph,boundsRetainedEntries,CWE-770,1,0,2,2,0,1,0,1,2,1,0,2,0,1,2
i27-graph,malformedStoreDoesNotCrash,"CWE-755, CWE-20",1,0,2,0,0,3,0,1,2,0,0,3,0,1,2
i27-graph,oversizedPhysicalLine,"CWE-400, CWE-770, CWE-789",3,0,0,2,0,1,0,1,2,1,0,2,1,1,1
i27-graph,nativeDeserializationCanary,CWE-502,0,0,3,0,0,3,0,1,2,0,0,3,0,1,2
i27-graph,largePersistedRecordSet,"CWE-400, CWE-770",1,2,0,0,3,0,0,3,0,0,3,0,0,3,0
i27-graph,Total (10 issue checks),,17,2,11,4,3,23,1,12,17,4,3,23,2,12,16
i27-graph,"validRecordRoundTrip (positive persistence check, not an issue)",,0,0,3,0,0,3,0,1,2,0,0,3,0,1,2
