round,arm,trajectories,calls,inputTokens,cachedInputTokens,outputTokens,reasoningTokens,callSeconds,trajectorySeconds
i28-graph,generation_s__agentic__none,5,46,4333094,0,48305,19805,634.4677799999998,700.115502
i28-graph,generation_s__agentic__static-ast-advise,5,90,5674895,0,66920,20049,651.343997,991.331947
i28-graph,generation_s__agentic__static-ast-guard,5,88,5042448,0,98171,28764,839.4049610000001,1181.38099
i28-graph,generation_s__agentic__static-ast,5,41,4331622,0,64912,22395,725.1819119999999,780.255546
i28-graph,generation_s__agentic__static,5,41,4285743,0,49166,15074,570.706069,624.542786
i28-graph,reuse_sb__agentic__none,5,41,6027380,143383,55509,18978,650.1339620000001,692.291138
i28-graph,reuse_sb__agentic__static-ast-advise,5,77,9656840,0,71822,31141,853.6913250000001,1073.491315
i28-graph,reuse_sb__agentic__static-ast-guard,5,94,8994452,0,98195,32374,934.6347889999997,1251.2164320000002
i28-graph,reuse_sb__agentic__static-ast,5,36,5565211,299440,53018,19615,606.5061619999999,657.0610979999999
i28-graph,reuse_sb__agentic__static,5,42,6519219,149688,71470,21594,759.0574740000001,819.719835
