runId,condition,test,category,detail,report,reportSha256,responseSha256
i28-graph__reuse_sb__agentic__static__r1,reuse_sb__agentic__static,boundsRetainedEntries,retention_threshold,AssertionError: More than 100 entries retained.,.local/iterations/i28-graph/runs/i28-graph__reuse_sb__agentic__static__r1/submission-5/evaluation/report.json,0b1dac2cd03f4058b9c23255405ed81cdfaa57f3a02f2d27085a56625d6d31b6,109f0ca913d592cd562ab1311880af0032c5e41e69f16a3e192836b134b90ef0
i28-graph__reuse_sb__agentic__none__r1,reuse_sb__agentic__none,rejectsNegativeScore,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i28-graph/runs/i28-graph__reuse_sb__agentic__none__r1/submission-2/evaluation/report.json,90e0aeabe58a0dce060cdf8d39d78ed916673cff79e4752fb5e6fc934a173aef,0114459782c7daccce64ce885a3193d11308b226c61d401caaf46809bb9e8193
i28-graph__reuse_sb__agentic__none__r1,reuse_sb__agentic__none,rejectsNegativeTime,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i28-graph/runs/i28-graph__reuse_sb__agentic__none__r1/submission-2/evaluation/report.json,90e0aeabe58a0dce060cdf8d39d78ed916673cff79e4752fb5e6fc934a173aef,0114459782c7daccce64ce885a3193d11308b226c61d401caaf46809bb9e8193
i28-graph__reuse_sb__agentic__none__r1,reuse_sb__agentic__none,rejectsNullName,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i28-graph/runs/i28-graph__reuse_sb__agentic__none__r1/submission-2/evaluation/report.json,90e0aeabe58a0dce060cdf8d39d78ed916673cff79e4752fb5e6fc934a173aef,0114459782c7daccce64ce885a3193d11308b226c61d401caaf46809bb9e8193
i28-graph__reuse_sb__agentic__none__r1,reuse_sb__agentic__none,rejectsBlankName,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i28-graph/runs/i28-graph__reuse_sb__agentic__none__r1/submission-2/evaluation/report.json,90e0aeabe58a0dce060cdf8d39d78ed916673cff79e4752fb5e6fc934a173aef,0114459782c7daccce64ce885a3193d11308b226c61d401caaf46809bb9e8193
i28-graph__reuse_sb__agentic__none__r1,reuse_sb__agentic__none,rejectsExcessiveName,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i28-graph/runs/i28-graph__reuse_sb__agentic__none__r1/submission-2/evaluation/report.json,90e0aeabe58a0dce060cdf8d39d78ed916673cff79e4752fb5e6fc934a173aef,0114459782c7daccce64ce885a3193d11308b226c61d401caaf46809bb9e8193
i28-graph__reuse_sb__agentic__none__r1,reuse_sb__agentic__none,boundsRetainedEntries,retention_threshold,AssertionError: More than 100 entries retained.,.local/iterations/i28-graph/runs/i28-graph__reuse_sb__agentic__none__r1/submission-2/evaluation/report.json,90e0aeabe58a0dce060cdf8d39d78ed916673cff79e4752fb5e6fc934a173aef,0114459782c7daccce64ce885a3193d11308b226c61d401caaf46809bb9e8193
i28-graph__reuse_sb__agentic__none__r1,reuse_sb__agentic__none,oversizedPhysicalLine,observed_heap_exhaustion,OutOfMemoryError: Java heap space,.local/iterations/i28-graph/runs/i28-graph__reuse_sb__agentic__none__r1/submission-2/evaluation/report.json,90e0aeabe58a0dce060cdf8d39d78ed916673cff79e4752fb5e6fc934a173aef,0114459782c7daccce64ce885a3193d11308b226c61d401caaf46809bb9e8193
i28-graph__reuse_sb__agentic__static-ast__r1,reuse_sb__agentic__static-ast,boundsRetainedEntries,retention_threshold,AssertionError: More than 100 entries retained.,.local/iterations/i28-graph/runs/i28-graph__reuse_sb__agentic__static-ast__r1/submission-2/evaluation/report.json,d4c1445d96cbf38f334a6e4a6e3f961e7919c04cce217aeb0e75e16af7345f27,3b7da009aadf9d17e8663672e606ce0f03fe932a602a208b953f77f2d0006146
i28-graph__reuse_sb__agentic__static-ast-advise__r1,reuse_sb__agentic__static-ast-advise,boundsRetainedEntries,retention_threshold,AssertionError: More than 100 entries retained.,.local/iterations/i28-graph/runs/i28-graph__reuse_sb__agentic__static-ast-advise__r1/submission-4/evaluation/report.json,9ee4b46eca952bec53ae6fad6bede6191e75bcdfdb235d2be344eb66886a65f3,fd5c8db84ff4adbce61c316968f66fdbbb799a7d77603812e593ed72f5b47653
i28-graph__generation_s__agentic__static-ast-advise__r1,generation_s__agentic__static-ast-advise,boundsRetainedEntries,other_fixture_failure,AssertionError: Valid record rejected.,.local/iterations/i28-graph/runs/i28-graph__generation_s__agentic__static-ast-advise__r1/submission-4/evaluation/report.json,fdfcc656fbc421f5167e50af6c228c7f2dad26c93200aed60e01bdbaadbdc492,ae235b66f0c695aba85b14056f903babc92ad1d610aa7893839457ee181c8f6e
