round,arm,n,source,compiled,functionalFirst,functional,inputPolicyClean,securityClean,fullHits,failed,passed,unresolved,toolTurnsMedian,reads,searches,submissions,injections,guardConsultations,guardPositive,guardInterventions,firstCompilingTurnMedian,compiledEver
i28-graph,generation_s__agentic__none,5,qualified-results.json,5,2,5,0,0,0,29,21,5,10,10,24,12,0,0,0,0,8,5
i28-graph,generation_s__agentic__static,5,qualified-results.json,5,0,5,3,0,0,6,44,5,8,9,20,12,0,0,0,0,8,5
i28-graph,generation_s__agentic__static-ast,5,qualified-results.json,5,1,5,3,0,0,5,45,5,8,8,19,14,25,0,0,0,8,5
i28-graph,generation_s__agentic__static-ast-guard,5,qualified-results.json,5,1,5,4,0,0,5,45,5,7,4,18,14,21,12,5,5,7,5
i28-graph,generation_s__agentic__static-ast-advise,5,qualified-results.json,5,3,4,4,0,0,8,43,4,10,9,17,22,25,14,11,0,6,5
i28-graph,reuse_sb__agentic__none,5,qualified-results.json,5,0,5,0,0,0,28,23,4,8,7,23,11,0,0,0,0,8,5
i28-graph,reuse_sb__agentic__static,5,qualified-results.json,5,0,5,5,0,0,6,46,3,9,11,17,14,0,0,0,0,7,5
i28-graph,reuse_sb__agentic__static-ast,5,qualified-results.json,5,2,5,4,0,0,7,45,3,6,7,18,11,19,0,0,0,5,5
i28-graph,reuse_sb__agentic__static-ast-guard,5,qualified-results.json,5,1,5,5,0,0,4,49,2,8,13,20,14,25,14,6,6,8,5
i28-graph,reuse_sb__agentic__static-ast-advise,5,qualified-results.json,5,2,5,4,0,0,6,48,1,11,14,25,20,27,11,7,0,9,5
