runId,condition,repetition,status,functionalSuccess,finalSubmission,compilation,class,rejectsNullName,mechanism,nullNameTestsFailed,failingChecks,citedLines
i28-graph__generation_s__agentic__none__r1,generation_s__agentic__none,1,completed,True,1,pass,passthrough,fail,recorded,0,,ApoMarioHighscore.java:108: String name = best.getTeamName();
i28-graph__generation_s__agentic__none__r2,generation_s__agentic__none,2,completed,True,3,pass,passthrough,pass,rejected_at_store,0,,ApoMarioHighscore.java:75: String name = player.getTeamName();
i28-graph__generation_s__agentic__none__r3,generation_s__agentic__none,3,completed,True,4,pass,fallback,fail,recorded,0,,"ApoMarioLevel.java:1189: String name = selected.getTeamName(); | ApoMarioHighscore.java:41: String name = playerName == null ? ""Unknown"" : playerName.trim(); | ApoMarioHighscore.java:61: String name = selected.getTeamName();"
i28-graph__generation_s__agentic__none__r4,generation_s__agentic__none,4,completed,True,3,pass,passthrough,pass,rejected_at_store,0,,ApoMarioHighscore.java:91: String name = selected.getTeamName();
i28-graph__generation_s__agentic__none__r5,generation_s__agentic__none,5,completed,True,1,pass,fallback,fail,recorded,0,,"ApoMarioHighscore.java:37: String name = playerName == null ? ""Player"" : playerName.trim(); | ApoMarioHighscore.java:110: String name = selected.getTeamName(); | ApoMarioHighscore.java:112: name = selected.getAi().getTeamName();"
i28-graph__generation_s__agentic__static-ast-advise__r1,generation_s__agentic__static-ast-advise,1,completed,True,4,pass,passthrough,pass,rejected_at_store,0,,ApoMarioHighscore.java:53: String name = player.getTeamName();
i28-graph__generation_s__agentic__static-ast-advise__r2,generation_s__agentic__static-ast-advise,2,completed,True,4,pass,fallback,pass,recorded,0,,"ApoMarioLevel.java:1197: String name = player.getTeamName(); | ApoMarioMenu.java:554: String name = names.get(i) == null ? ""Unknown"" : names.get(i); | ApoMarioHighscore.java:78: String name = player.getTeamName();"
i28-graph__generation_s__agentic__static-ast-advise__r3,generation_s__agentic__static-ast-advise,3,completed,True,5,pass,passthrough,pass,rejected_at_store,0,,ApoMarioLevel.java:1192: String name = selected.getTeamName(); | ApoMarioHighscore.java:90: String name = selected.getTeamName();
i28-graph__generation_s__agentic__static-ast-advise__r4,generation_s__agentic__static-ast-advise,4,completed,True,4,pass,fallback,pass,recorded,0,,"ApoMarioMenu.java:589: String name = names.get(i) == null || names.get(i).length() == 0 ? ""Unknown"" : names.get(i); | ApoMarioHighscore.java:77: String name = player.getTeamName();"
i28-graph__generation_s__agentic__static-ast-advise__r5,generation_s__agentic__static-ast-advise,5,budget_exhausted,False,5,pass,passthrough,pass,rejected_at_store,0,recordsRealScore recordsRealSurvivalTime recordsRealPlayerName recordRunEndAddsExactlyOneEntry,ApoMarioHighscore.java:69: String name = player.getTeamName();
