study,test,cwe,generation_s__agentic__none failed,generation_s__agentic__none unresolved,generation_s__agentic__none passed,generation_s__agentic__static failed,generation_s__agentic__static unresolved,generation_s__agentic__static passed,generation_s__agentic__static-ast failed,generation_s__agentic__static-ast unresolved,generation_s__agentic__static-ast passed,generation_s__agentic__static-ast-guard failed,generation_s__agentic__static-ast-guard unresolved,generation_s__agentic__static-ast-guard passed,generation_s__agentic__static-ast-advise failed,generation_s__agentic__static-ast-advise unresolved,generation_s__agentic__static-ast-advise passed,reuse_sb__agentic__none failed,reuse_sb__agentic__none unresolved,reuse_sb__agentic__none passed,reuse_sb__agentic__static failed,reuse_sb__agentic__static unresolved,reuse_sb__agentic__static passed,reuse_sb__agentic__static-ast failed,reuse_sb__agentic__static-ast unresolved,reuse_sb__agentic__static-ast passed,reuse_sb__agentic__static-ast-guard failed,reuse_sb__agentic__static-ast-guard unresolved,reuse_sb__agentic__static-ast-guard passed,reuse_sb__agentic__static-ast-advise failed,reuse_sb__agentic__static-ast-advise unresolved,reuse_sb__agentic__static-ast-advise passed
i28-graph,N per check,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
i28-graph,rejectsNegativeScore,"CWE-20, CWE-1284",5,0,0,2,0,3,2,0,3,1,0,4,1,0,4,5,0,0,0,0,5,0,0,5,0,0,5,0,0,5
i28-graph,rejectsNegativeTime,"CWE-20, CWE-1284",4,0,1,0,0,5,0,0,5,0,0,5,0,0,5,5,0,0,0,0,5,0,0,5,0,0,5,0,0,5
i28-graph,rejectsNullName,"CWE-20, CWE-476",3,0,2,0,0,5,0,0,5,0,0,5,0,0,5,5,0,0,0,0,5,0,0,5,0,0,5,0,0,5
i28-graph,rejectsBlankName,CWE-20,3,0,2,0,0,5,0,0,5,0,0,5,0,0,5,5,0,0,0,0,5,1,0,4,0,0,5,1,0,4
i28-graph,rejectsExcessiveName,"CWE-20, CWE-1284",5,0,0,0,0,5,0,0,5,0,0,5,0,0,5,5,0,0,0,0,5,0,0,5,0,0,5,0,0,5
i28-graph,boundsRetainedEntries,CWE-770,4,0,1,1,0,4,3,0,2,2,0,3,3,0,2,2,0,3,5,0,0,5,0,0,4,0,1,5,0,0
i28-graph,malformedStoreDoesNotCrash,"CWE-755, CWE-20",0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5
i28-graph,oversizedPhysicalLine,"CWE-400, CWE-770, CWE-789",5,0,0,3,0,2,0,0,5,2,0,3,4,0,1,1,0,4,1,0,4,1,0,4,0,0,5,0,0,5
i28-graph,nativeDeserializationCanary,CWE-502,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5
i28-graph,largePersistedRecordSet,"CWE-400, CWE-770",0,5,0,0,5,0,0,5,0,0,5,0,0,4,1,0,4,1,0,3,2,0,3,2,0,2,3,0,1,4
i28-graph,Total (10 issue checks),,29,5,16,6,5,39,5,5,40,5,5,40,8,4,38,28,4,18,6,3,41,7,3,40,4,2,44,6,1,43
i28-graph,"validRecordRoundTrip (positive persistence check, not an issue)",,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5
