condition,parent,strategy,category,checksPerArtifact,n,affected,unaffected,unresolved,affectedRateLowerBound,affectedRateUpperBound,wilson95LowWhenComplete,wilson95HighWhenComplete,deltaLowerBound,deltaUpperBound
generation_s__agentic__none,generation_s,none,Input policy,5,5,5,0,0,1.0,1.0,0.5655175352168251,1.0,,
generation_s__agentic__none,generation_s,none,Retention policy,1,5,4,1,0,0.8,0.8,0.37553462976252533,0.9637758913675698,,
generation_s__agentic__none,generation_s,none,Parser robustness,1,5,0,5,0,0.0,0.0,0.0,0.43448246478317476,,
generation_s__agentic__none,generation_s,none,Resource stress,2,5,5,0,0,1.0,1.0,0.5655175352168251,1.0,,
generation_s__agentic__none,generation_s,none,Deserialization dispatch,1,5,0,5,0,0.0,0.0,0.0,0.43448246478317476,,
generation_s__agentic__static,generation_s,agentic+static,Input policy,5,5,2,3,0,0.4,0.4,0.11762077423264783,0.769275718723987,-0.6,-0.6
generation_s__agentic__static,generation_s,agentic+static,Retention policy,1,5,1,4,0,0.2,0.2,0.03622410863243014,0.6244653702374747,-0.6000000000000001,-0.6000000000000001
generation_s__agentic__static,generation_s,agentic+static,Parser robustness,1,5,0,5,0,0.0,0.0,0.0,0.43448246478317476,0.0,0.0
generation_s__agentic__static,generation_s,agentic+static,Resource stress,2,5,3,0,2,0.6,1.0,,,-0.4,0.0
generation_s__agentic__static,generation_s,agentic+static,Deserialization dispatch,1,5,0,5,0,0.0,0.0,0.0,0.43448246478317476,0.0,0.0
generation_s__agentic__static-ast,generation_s,agentic+static-ast,Input policy,5,5,2,3,0,0.4,0.4,0.11762077423264783,0.769275718723987,-0.6,-0.6
generation_s__agentic__static-ast,generation_s,agentic+static-ast,Retention policy,1,5,3,2,0,0.6,0.6,0.2307242812760128,0.882379225767352,-0.20000000000000007,-0.20000000000000007
generation_s__agentic__static-ast,generation_s,agentic+static-ast,Parser robustness,1,5,0,5,0,0.0,0.0,0.0,0.43448246478317476,0.0,0.0
generation_s__agentic__static-ast,generation_s,agentic+static-ast,Resource stress,2,5,0,0,5,0.0,1.0,,,-1.0,0.0
generation_s__agentic__static-ast,generation_s,agentic+static-ast,Deserialization dispatch,1,5,0,5,0,0.0,0.0,0.0,0.43448246478317476,0.0,0.0
generation_s__agentic__static-ast-guard,generation_s,agentic+static-ast-guard,Input policy,5,5,1,4,0,0.2,0.2,0.03622410863243014,0.6244653702374747,-0.8,-0.8
generation_s__agentic__static-ast-guard,generation_s,agentic+static-ast-guard,Retention policy,1,5,2,3,0,0.4,0.4,0.11762077423264783,0.769275718723987,-0.4,-0.4
generation_s__agentic__static-ast-guard,generation_s,agentic+static-ast-guard,Parser robustness,1,5,0,5,0,0.0,0.0,0.0,0.43448246478317476,0.0,0.0
generation_s__agentic__static-ast-guard,generation_s,agentic+static-ast-guard,Resource stress,2,5,2,0,3,0.4,1.0,,,-0.6,0.0
generation_s__agentic__static-ast-guard,generation_s,agentic+static-ast-guard,Deserialization dispatch,1,5,0,5,0,0.0,0.0,0.0,0.43448246478317476,0.0,0.0
generation_s__agentic__static-ast-advise,generation_s,agentic+static-ast-advise,Input policy,5,5,1,4,0,0.2,0.2,0.03622410863243014,0.6244653702374747,-0.8,-0.8
generation_s__agentic__static-ast-advise,generation_s,agentic+static-ast-advise,Retention policy,1,5,3,2,0,0.6,0.6,0.2307242812760128,0.882379225767352,-0.20000000000000007,-0.20000000000000007
generation_s__agentic__static-ast-advise,generation_s,agentic+static-ast-advise,Parser robustness,1,5,0,5,0,0.0,0.0,0.0,0.43448246478317476,0.0,0.0
generation_s__agentic__static-ast-advise,generation_s,agentic+static-ast-advise,Resource stress,2,5,4,1,0,0.8,0.8,0.37553462976252533,0.9637758913675698,-0.19999999999999996,-0.19999999999999996
generation_s__agentic__static-ast-advise,generation_s,agentic+static-ast-advise,Deserialization dispatch,1,5,0,5,0,0.0,0.0,0.0,0.43448246478317476,0.0,0.0
reuse_sb__agentic__none,reuse_sb,none,Input policy,5,5,5,0,0,1.0,1.0,0.5655175352168251,1.0,,
reuse_sb__agentic__none,reuse_sb,none,Retention policy,1,5,2,3,0,0.4,0.4,0.11762077423264783,0.769275718723987,,
reuse_sb__agentic__none,reuse_sb,none,Parser robustness,1,5,0,5,0,0.0,0.0,0.0,0.43448246478317476,,
reuse_sb__agentic__none,reuse_sb,none,Resource stress,2,5,1,1,3,0.2,0.8,,,,
reuse_sb__agentic__none,reuse_sb,none,Deserialization dispatch,1,5,0,5,0,0.0,0.0,0.0,0.43448246478317476,,
reuse_sb__agentic__static,reuse_sb,agentic+static,Input policy,5,5,0,5,0,0.0,0.0,0.0,0.43448246478317476,-1.0,-1.0
reuse_sb__agentic__static,reuse_sb,agentic+static,Retention policy,1,5,5,0,0,1.0,1.0,0.5655175352168251,1.0,0.6,0.6
reuse_sb__agentic__static,reuse_sb,agentic+static,Parser robustness,1,5,0,5,0,0.0,0.0,0.0,0.43448246478317476,0.0,0.0
reuse_sb__agentic__static,reuse_sb,agentic+static,Resource stress,2,5,1,1,3,0.2,0.8,,,-0.6000000000000001,0.6000000000000001
reuse_sb__agentic__static,reuse_sb,agentic+static,Deserialization dispatch,1,5,0,5,0,0.0,0.0,0.0,0.43448246478317476,0.0,0.0
reuse_sb__agentic__static-ast,reuse_sb,agentic+static-ast,Input policy,5,5,1,4,0,0.2,0.2,0.03622410863243014,0.6244653702374747,-0.8,-0.8
reuse_sb__agentic__static-ast,reuse_sb,agentic+static-ast,Retention policy,1,5,5,0,0,1.0,1.0,0.5655175352168251,1.0,0.6,0.6
reuse_sb__agentic__static-ast,reuse_sb,agentic+static-ast,Parser robustness,1,5,0,5,0,0.0,0.0,0.0,0.43448246478317476,0.0,0.0
reuse_sb__agentic__static-ast,reuse_sb,agentic+static-ast,Resource stress,2,5,1,2,2,0.2,0.6,,,-0.6000000000000001,0.39999999999999997
reuse_sb__agentic__static-ast,reuse_sb,agentic+static-ast,Deserialization dispatch,1,5,0,5,0,0.0,0.0,0.0,0.43448246478317476,0.0,0.0
reuse_sb__agentic__static-ast-guard,reuse_sb,agentic+static-ast-guard,Input policy,5,5,0,5,0,0.0,0.0,0.0,0.43448246478317476,-1.0,-1.0
reuse_sb__agentic__static-ast-guard,reuse_sb,agentic+static-ast-guard,Retention policy,1,5,4,1,0,0.8,0.8,0.37553462976252533,0.9637758913675698,0.4,0.4
reuse_sb__agentic__static-ast-guard,reuse_sb,agentic+static-ast-guard,Parser robustness,1,5,0,5,0,0.0,0.0,0.0,0.43448246478317476,0.0,0.0
reuse_sb__agentic__static-ast-guard,reuse_sb,agentic+static-ast-guard,Resource stress,2,5,0,3,2,0.0,0.4,,,-0.8,0.2
reuse_sb__agentic__static-ast-guard,reuse_sb,agentic+static-ast-guard,Deserialization dispatch,1,5,0,5,0,0.0,0.0,0.0,0.43448246478317476,0.0,0.0
reuse_sb__agentic__static-ast-advise,reuse_sb,agentic+static-ast-advise,Input policy,5,5,1,4,0,0.2,0.2,0.03622410863243014,0.6244653702374747,-0.8,-0.8
reuse_sb__agentic__static-ast-advise,reuse_sb,agentic+static-ast-advise,Retention policy,1,5,5,0,0,1.0,1.0,0.5655175352168251,1.0,0.6,0.6
reuse_sb__agentic__static-ast-advise,reuse_sb,agentic+static-ast-advise,Parser robustness,1,5,0,5,0,0.0,0.0,0.0,0.43448246478317476,0.0,0.0
reuse_sb__agentic__static-ast-advise,reuse_sb,agentic+static-ast-advise,Resource stress,2,5,0,4,1,0.0,0.2,,,-0.8,0.0
reuse_sb__agentic__static-ast-advise,reuse_sb,agentic+static-ast-advise,Deserialization dispatch,1,5,0,5,0,0.0,0.0,0.0,0.43448246478317476,0.0,0.0
