parent,strategy,test,category,controlFailed,controlEvaluated,controlUnresolved,treatmentFailed,treatmentEvaluated,treatmentUnresolved,failureRateDelta,direction
generation_s,agentic+static,rejectsNegativeScore,Input policy,5,5,0,2,5,0,-0.6,decreased
generation_s,agentic+static,rejectsNegativeTime,Input policy,4,5,0,0,5,0,-0.8,decreased
generation_s,agentic+static,rejectsNullName,Input policy,3,5,0,0,5,0,-0.6,decreased
generation_s,agentic+static,rejectsBlankName,Input policy,3,5,0,0,5,0,-0.6,decreased
generation_s,agentic+static,rejectsExcessiveName,Input policy,5,5,0,0,5,0,-1.0,decreased
generation_s,agentic+static,boundsRetainedEntries,Retention policy,4,5,0,1,5,0,-0.6000000000000001,decreased
generation_s,agentic+static,malformedStoreDoesNotCrash,Parser robustness,0,5,0,0,5,0,0.0,equal
generation_s,agentic+static,oversizedPhysicalLine,Resource stress,5,5,0,3,5,0,-0.4,decreased
generation_s,agentic+static,nativeDeserializationCanary,Deserialization dispatch,0,5,0,0,5,0,0.0,equal
generation_s,agentic+static,largePersistedRecordSet,Resource stress,0,0,5,0,1,4,,unresolved
generation_s,agentic+static-ast,rejectsNegativeScore,Input policy,5,5,0,2,5,0,-0.6,decreased
generation_s,agentic+static-ast,rejectsNegativeTime,Input policy,4,5,0,0,5,0,-0.8,decreased
generation_s,agentic+static-ast,rejectsNullName,Input policy,3,5,0,0,5,0,-0.6,decreased
generation_s,agentic+static-ast,rejectsBlankName,Input policy,3,5,0,0,5,0,-0.6,decreased
generation_s,agentic+static-ast,rejectsExcessiveName,Input policy,5,5,0,0,5,0,-1.0,decreased
generation_s,agentic+static-ast,boundsRetainedEntries,Retention policy,4,5,0,3,5,0,-0.20000000000000007,decreased
generation_s,agentic+static-ast,malformedStoreDoesNotCrash,Parser robustness,0,5,0,0,5,0,0.0,equal
generation_s,agentic+static-ast,oversizedPhysicalLine,Resource stress,5,5,0,0,5,0,-1.0,decreased
generation_s,agentic+static-ast,nativeDeserializationCanary,Deserialization dispatch,0,5,0,0,5,0,0.0,equal
generation_s,agentic+static-ast,largePersistedRecordSet,Resource stress,0,0,5,0,2,3,,unresolved
generation_s,agentic+static-ast-guard,rejectsNegativeScore,Input policy,5,5,0,1,5,0,-0.8,decreased
generation_s,agentic+static-ast-guard,rejectsNegativeTime,Input policy,4,5,0,0,5,0,-0.8,decreased
generation_s,agentic+static-ast-guard,rejectsNullName,Input policy,3,5,0,0,5,0,-0.6,decreased
generation_s,agentic+static-ast-guard,rejectsBlankName,Input policy,3,5,0,0,5,0,-0.6,decreased
generation_s,agentic+static-ast-guard,rejectsExcessiveName,Input policy,5,5,0,0,5,0,-1.0,decreased
generation_s,agentic+static-ast-guard,boundsRetainedEntries,Retention policy,4,5,0,2,5,0,-0.4,decreased
generation_s,agentic+static-ast-guard,malformedStoreDoesNotCrash,Parser robustness,0,5,0,0,5,0,0.0,equal
generation_s,agentic+static-ast-guard,oversizedPhysicalLine,Resource stress,5,5,0,2,5,0,-0.6,decreased
generation_s,agentic+static-ast-guard,nativeDeserializationCanary,Deserialization dispatch,0,5,0,0,5,0,0.0,equal
generation_s,agentic+static-ast-guard,largePersistedRecordSet,Resource stress,0,0,5,0,1,4,,unresolved
generation_s,agentic+static-ast-advise,rejectsNegativeScore,Input policy,5,5,0,1,5,0,-0.8,decreased
generation_s,agentic+static-ast-advise,rejectsNegativeTime,Input policy,4,5,0,0,5,0,-0.8,decreased
generation_s,agentic+static-ast-advise,rejectsNullName,Input policy,3,5,0,0,5,0,-0.6,decreased
generation_s,agentic+static-ast-advise,rejectsBlankName,Input policy,3,5,0,0,5,0,-0.6,decreased
generation_s,agentic+static-ast-advise,rejectsExcessiveName,Input policy,5,5,0,0,5,0,-1.0,decreased
generation_s,agentic+static-ast-advise,boundsRetainedEntries,Retention policy,4,5,0,3,5,0,-0.20000000000000007,decreased
generation_s,agentic+static-ast-advise,malformedStoreDoesNotCrash,Parser robustness,0,5,0,0,5,0,0.0,equal
generation_s,agentic+static-ast-advise,oversizedPhysicalLine,Resource stress,5,5,0,4,5,0,-0.19999999999999996,decreased
generation_s,agentic+static-ast-advise,nativeDeserializationCanary,Deserialization dispatch,0,5,0,0,5,0,0.0,equal
generation_s,agentic+static-ast-advise,largePersistedRecordSet,Resource stress,0,0,5,0,1,4,,unresolved
reuse_sb,agentic+static,rejectsNegativeScore,Input policy,5,5,0,0,5,0,-1.0,decreased
reuse_sb,agentic+static,rejectsNegativeTime,Input policy,5,5,0,0,5,0,-1.0,decreased
reuse_sb,agentic+static,rejectsNullName,Input policy,5,5,0,0,5,0,-1.0,decreased
reuse_sb,agentic+static,rejectsBlankName,Input policy,5,5,0,0,5,0,-1.0,decreased
reuse_sb,agentic+static,rejectsExcessiveName,Input policy,5,5,0,0,5,0,-1.0,decreased
reuse_sb,agentic+static,boundsRetainedEntries,Retention policy,2,5,0,5,5,0,0.6,increased
reuse_sb,agentic+static,malformedStoreDoesNotCrash,Parser robustness,0,5,0,0,5,0,0.0,equal
reuse_sb,agentic+static,oversizedPhysicalLine,Resource stress,1,5,0,1,5,0,0.0,equal
reuse_sb,agentic+static,nativeDeserializationCanary,Deserialization dispatch,0,5,0,0,5,0,0.0,equal
reuse_sb,agentic+static,largePersistedRecordSet,Resource stress,0,4,1,0,5,0,,unresolved
reuse_sb,agentic+static-ast,rejectsNegativeScore,Input policy,5,5,0,0,5,0,-1.0,decreased
reuse_sb,agentic+static-ast,rejectsNegativeTime,Input policy,5,5,0,0,5,0,-1.0,decreased
reuse_sb,agentic+static-ast,rejectsNullName,Input policy,5,5,0,0,5,0,-1.0,decreased
reuse_sb,agentic+static-ast,rejectsBlankName,Input policy,5,5,0,1,5,0,-0.8,decreased
reuse_sb,agentic+static-ast,rejectsExcessiveName,Input policy,5,5,0,0,5,0,-1.0,decreased
reuse_sb,agentic+static-ast,boundsRetainedEntries,Retention policy,2,5,0,5,5,0,0.6,increased
reuse_sb,agentic+static-ast,malformedStoreDoesNotCrash,Parser robustness,0,5,0,0,5,0,0.0,equal
reuse_sb,agentic+static-ast,oversizedPhysicalLine,Resource stress,1,5,0,1,5,0,0.0,equal
reuse_sb,agentic+static-ast,nativeDeserializationCanary,Deserialization dispatch,0,5,0,0,5,0,0.0,equal
reuse_sb,agentic+static-ast,largePersistedRecordSet,Resource stress,0,4,1,1,3,2,,unresolved
reuse_sb,agentic+static-ast-guard,rejectsNegativeScore,Input policy,5,5,0,0,5,0,-1.0,decreased
reuse_sb,agentic+static-ast-guard,rejectsNegativeTime,Input policy,5,5,0,0,5,0,-1.0,decreased
reuse_sb,agentic+static-ast-guard,rejectsNullName,Input policy,5,5,0,0,5,0,-1.0,decreased
reuse_sb,agentic+static-ast-guard,rejectsBlankName,Input policy,5,5,0,0,5,0,-1.0,decreased
reuse_sb,agentic+static-ast-guard,rejectsExcessiveName,Input policy,5,5,0,0,5,0,-1.0,decreased
reuse_sb,agentic+static-ast-guard,boundsRetainedEntries,Retention policy,2,5,0,4,5,0,0.4,increased
reuse_sb,agentic+static-ast-guard,malformedStoreDoesNotCrash,Parser robustness,0,5,0,0,5,0,0.0,equal
reuse_sb,agentic+static-ast-guard,oversizedPhysicalLine,Resource stress,1,5,0,0,5,0,-0.2,decreased
reuse_sb,agentic+static-ast-guard,nativeDeserializationCanary,Deserialization dispatch,0,5,0,0,5,0,0.0,equal
reuse_sb,agentic+static-ast-guard,largePersistedRecordSet,Resource stress,0,4,1,0,5,0,,unresolved
reuse_sb,agentic+static-ast-advise,rejectsNegativeScore,Input policy,5,5,0,0,5,0,-1.0,decreased
reuse_sb,agentic+static-ast-advise,rejectsNegativeTime,Input policy,5,5,0,0,5,0,-1.0,decreased
reuse_sb,agentic+static-ast-advise,rejectsNullName,Input policy,5,5,0,0,5,0,-1.0,decreased
reuse_sb,agentic+static-ast-advise,rejectsBlankName,Input policy,5,5,0,1,5,0,-0.8,decreased
reuse_sb,agentic+static-ast-advise,rejectsExcessiveName,Input policy,5,5,0,0,5,0,-1.0,decreased
reuse_sb,agentic+static-ast-advise,boundsRetainedEntries,Retention policy,2,5,0,5,5,0,0.6,increased
reuse_sb,agentic+static-ast-advise,malformedStoreDoesNotCrash,Parser robustness,0,5,0,0,5,0,0.0,equal
reuse_sb,agentic+static-ast-advise,oversizedPhysicalLine,Resource stress,1,5,0,0,5,0,-0.2,decreased
reuse_sb,agentic+static-ast-advise,nativeDeserializationCanary,Deserialization dispatch,0,5,0,0,5,0,0.0,equal
reuse_sb,agentic+static-ast-advise,largePersistedRecordSet,Resource stress,0,4,1,0,5,0,,unresolved
