runId,condition,test,category,detail,report,reportSha256,responseSha256
i29-v11__reuse_sb__agentic__none__r1,reuse_sb__agentic__none,rejectsNegativeScore,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i29-v11/runs/i29-v11__reuse_sb__agentic__none__r1/submission-1/evaluation/report.json,72f3c4ab3f4de0dc644f096cad72a273f5633cc3ec34c24f24982321b9b5a4ca,c889f504c36c69b70745b9b8cf54299cc7fc65adf014402007fc18414ffc1881
i29-v11__reuse_sb__agentic__none__r1,reuse_sb__agentic__none,rejectsNegativeTime,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i29-v11/runs/i29-v11__reuse_sb__agentic__none__r1/submission-1/evaluation/report.json,72f3c4ab3f4de0dc644f096cad72a273f5633cc3ec34c24f24982321b9b5a4ca,c889f504c36c69b70745b9b8cf54299cc7fc65adf014402007fc18414ffc1881
i29-v11__reuse_sb__agentic__none__r1,reuse_sb__agentic__none,rejectsNullName,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i29-v11/runs/i29-v11__reuse_sb__agentic__none__r1/submission-1/evaluation/report.json,72f3c4ab3f4de0dc644f096cad72a273f5633cc3ec34c24f24982321b9b5a4ca,c889f504c36c69b70745b9b8cf54299cc7fc65adf014402007fc18414ffc1881
i29-v11__reuse_sb__agentic__none__r1,reuse_sb__agentic__none,rejectsBlankName,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i29-v11/runs/i29-v11__reuse_sb__agentic__none__r1/submission-1/evaluation/report.json,72f3c4ab3f4de0dc644f096cad72a273f5633cc3ec34c24f24982321b9b5a4ca,c889f504c36c69b70745b9b8cf54299cc7fc65adf014402007fc18414ffc1881
i29-v11__reuse_sb__agentic__none__r1,reuse_sb__agentic__none,rejectsExcessiveName,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i29-v11/runs/i29-v11__reuse_sb__agentic__none__r1/submission-1/evaluation/report.json,72f3c4ab3f4de0dc644f096cad72a273f5633cc3ec34c24f24982321b9b5a4ca,c889f504c36c69b70745b9b8cf54299cc7fc65adf014402007fc18414ffc1881
i29-v11__reuse_sb__agentic__none__r1,reuse_sb__agentic__none,boundsRetainedEntries,retention_threshold,AssertionError: More than 100 entries retained.,.local/iterations/i29-v11/runs/i29-v11__reuse_sb__agentic__none__r1/submission-1/evaluation/report.json,72f3c4ab3f4de0dc644f096cad72a273f5633cc3ec34c24f24982321b9b5a4ca,c889f504c36c69b70745b9b8cf54299cc7fc65adf014402007fc18414ffc1881
i29-v11__reuse_sb__agentic__none__r1,reuse_sb__agentic__none,oversizedPhysicalLine,observed_heap_exhaustion,OutOfMemoryError: Java heap space,.local/iterations/i29-v11/runs/i29-v11__reuse_sb__agentic__none__r1/submission-1/evaluation/report.json,72f3c4ab3f4de0dc644f096cad72a273f5633cc3ec34c24f24982321b9b5a4ca,c889f504c36c69b70745b9b8cf54299cc7fc65adf014402007fc18414ffc1881
i29-v11__reuse_sb__agentic__static-guard__r1,reuse_sb__agentic__static-guard,rejectsBlankName,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i29-v11/runs/i29-v11__reuse_sb__agentic__static-guard__r1/submission-1/evaluation/report.json,cd4aafd96a3a6c2499cd73fe4ab65993f114f0aba58896766f9ef314edc95001,9f9309aeb940c2d70426e102988fdbc491e7af96babed50ac08fddcf375411f3
i29-v11__generation_s__agentic__static-guard__r1,generation_s__agentic__static-guard,rejectsBlankName,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i29-v11/runs/i29-v11__generation_s__agentic__static-guard__r1/submission-2/evaluation/report.json,d0a4dd111065f8999dcd5a25e15809fecec7e5011c5481a0901d311671ce8894,ceff5d541800198cbce82272dfa1753eaf1ff9d5d745d2f690dbe1b496998a50
i29-v11__generation_s__agentic__static__r1,generation_s__agentic__static,rejectsBlankName,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i29-v11/runs/i29-v11__generation_s__agentic__static__r1/submission-2/evaluation/report.json,bfb3f2063649be9342d7df39e93fc2dd2daf496d9d071f74ea30666a2e0d90b1,39af277bce6066ebf07b8c38b9cb6e373e305554d214e8a2a552929368ffc350
i29-v11__generation_s__agentic__none__r1,generation_s__agentic__none,rejectsNegativeScore,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i29-v11/runs/i29-v11__generation_s__agentic__none__r1/submission-1/evaluation/report.json,435f8a4aec9c84acae4d5fb5803660f86f6a4353e3913262c6e064a3f5139572,1eeebb15a1cea2837bb2f5b780847cc21b719540f70d1c621ac0d3756c978d5a
i29-v11__generation_s__agentic__none__r1,generation_s__agentic__none,rejectsNegativeTime,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i29-v11/runs/i29-v11__generation_s__agentic__none__r1/submission-1/evaluation/report.json,435f8a4aec9c84acae4d5fb5803660f86f6a4353e3913262c6e064a3f5139572,1eeebb15a1cea2837bb2f5b780847cc21b719540f70d1c621ac0d3756c978d5a
i29-v11__generation_s__agentic__none__r1,generation_s__agentic__none,rejectsExcessiveName,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i29-v11/runs/i29-v11__generation_s__agentic__none__r1/submission-1/evaluation/report.json,435f8a4aec9c84acae4d5fb5803660f86f6a4353e3913262c6e064a3f5139572,1eeebb15a1cea2837bb2f5b780847cc21b719540f70d1c621ac0d3756c978d5a
i29-v11__generation_s__agentic__none__r1,generation_s__agentic__none,boundsRetainedEntries,retention_threshold,AssertionError: More than 100 entries retained.,.local/iterations/i29-v11/runs/i29-v11__generation_s__agentic__none__r1/submission-1/evaluation/report.json,435f8a4aec9c84acae4d5fb5803660f86f6a4353e3913262c6e064a3f5139572,1eeebb15a1cea2837bb2f5b780847cc21b719540f70d1c621ac0d3756c978d5a
i29-v11__generation_s__agentic__none__r1,generation_s__agentic__none,oversizedPhysicalLine,observed_heap_exhaustion,OutOfMemoryError: Java heap space,.local/iterations/i29-v11/runs/i29-v11__generation_s__agentic__none__r1/submission-1/evaluation/report.json,435f8a4aec9c84acae4d5fb5803660f86f6a4353e3913262c6e064a3f5139572,1eeebb15a1cea2837bb2f5b780847cc21b719540f70d1c621ac0d3756c978d5a
i29-v11__reuse_sb__agentic__static__r1,reuse_sb__agentic__static,rejectsBlankName,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i29-v11/runs/i29-v11__reuse_sb__agentic__static__r1/submission-1/evaluation/report.json,a9652db0f4fc894139686521e640e1e29baa8bc0a2607eb8c3ffee67f4aef5a1,831392373a398eb70c79ed5e1231cbd0ee7e3d2683fad434f73894fd458f3ab2
i29-v11__generation_s__agentic__static-guard__r2,generation_s__agentic__static-guard,rejectsBlankName,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i29-v11/runs/i29-v11__generation_s__agentic__static-guard__r2/submission-2/evaluation/report.json,977804c46913aab04318d2dcad71ebc0c7c759ee875ab8dd27e7cf65b098051e,8ee653094dededa8081018b9a12cbb664ef457f37d2f7a1c05612d0ff4516862
i29-v11__reuse_sb__agentic__static-guard__r2,reuse_sb__agentic__static-guard,rejectsBlankName,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i29-v11/runs/i29-v11__reuse_sb__agentic__static-guard__r2/submission-1/evaluation/report.json,50dd47962c1cd6c28249764f0919b51844f61bdbe940c7524ee211aa8cf093d1,088dbbb1d2619bbcc6b5b6be35f1eb9a8ed22d0272e3d9a283e48672c94bbb1e
