study,test,cwe,generation_s__agentic__none failed,generation_s__agentic__none unresolved,generation_s__agentic__none passed,generation_s__agentic__static failed,generation_s__agentic__static unresolved,generation_s__agentic__static passed,generation_s__agentic__static-guard failed,generation_s__agentic__static-guard unresolved,generation_s__agentic__static-guard passed,reuse_sb__agentic__none failed,reuse_sb__agentic__none unresolved,reuse_sb__agentic__none passed,reuse_sb__agentic__static failed,reuse_sb__agentic__static unresolved,reuse_sb__agentic__static passed,reuse_sb__agentic__static-guard failed,reuse_sb__agentic__static-guard unresolved,reuse_sb__agentic__static-guard passed
i29-v11,N per check,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
i29-v11,rejectsNegativeScore,"CWE-20, CWE-1284",5,0,0,0,0,5,0,0,5,4,1,0,0,0,5,0,0,5
i29-v11,rejectsNegativeTime,"CWE-20, CWE-1284",5,0,0,0,0,5,0,0,5,4,1,0,0,0,5,0,0,5
i29-v11,rejectsNullName,"CWE-20, CWE-476",1,0,4,0,0,5,0,0,5,4,1,0,0,0,5,0,0,5
i29-v11,rejectsBlankName,CWE-20,1,0,4,5,0,0,5,0,0,4,1,0,5,0,0,5,0,0
i29-v11,rejectsExcessiveName,"CWE-20, CWE-1284",5,0,0,0,0,5,0,0,5,4,1,0,0,0,5,0,0,5
i29-v11,boundsRetainedEntries,CWE-770,3,0,2,0,0,5,0,0,5,2,1,2,0,0,5,0,0,5
i29-v11,malformedStoreDoesNotCrash,"CWE-755, CWE-20",0,0,5,0,0,5,0,0,5,0,1,4,0,0,5,0,0,5
i29-v11,oversizedPhysicalLine,"CWE-400, CWE-770, CWE-789",5,0,0,0,0,5,0,0,5,2,1,2,0,0,5,0,0,5
i29-v11,nativeDeserializationCanary,CWE-502,0,0,5,0,0,5,0,0,5,0,1,4,0,0,5,0,0,5
i29-v11,largePersistedRecordSet,"CWE-400, CWE-770",0,5,0,0,5,0,0,4,1,0,4,1,0,0,5,0,0,5
i29-v11,Total (10 issue checks),,25,5,20,5,5,40,5,4,41,24,13,13,5,0,45,5,0,45
i29-v11,"validRecordRoundTrip (positive persistence check, not an issue)",,0,0,5,0,0,5,0,0,5,0,1,4,0,0,5,0,0,5
