runId,condition,repetition,status,functionalSuccess,finalSubmission,compilation,class,rejectsNullName,mechanism,nullNameTestsFailed,failingChecks,citedLines
i30-v12__generation_s__agentic__none__r1,generation_s__agentic__none,1,completed,True,1,pass,passthrough,pass,rejected_at_store,0,,ApoMarioHighscore.java:117: String name = selected.getTeamName();
i30-v12__generation_s__agentic__none__r2,generation_s__agentic__none,2,completed,True,4,pass,passthrough,pass,rejected_at_store,0,,ApoMarioLevel.java:1189: String playerName = player.getTeamName(); | ApoMarioHighscore.java:118: String playerName = player.getTeamName();
i30-v12__generation_s__agentic__none__r3,generation_s__agentic__none,3,completed,True,2,pass,passthrough,pass,rejected_at_store,0,,ApoMarioHighscore.java:121: String name = best.getTeamName();
i30-v12__generation_s__agentic__none__r4,generation_s__agentic__none,4,completed,True,3,pass,passthrough,pass,rejected_at_store,0,,ApoMarioHighscore.java:91: String name = selected.getTeamName();
i30-v12__generation_s__agentic__none__r5,generation_s__agentic__none,5,completed,True,1,pass,passthrough,pass,rejected_at_store,0,,ApoMarioHighscore.java:79: String name = best.getTeamName();
i30-v12__generation_s__agentic__static-guard__r1,generation_s__agentic__static-guard,1,completed,True,3,pass,passthrough,pass,rejected_at_store,0,,ApoMarioHighscore.java:73: String name = normalizeName(player.getTeamName());
i30-v12__generation_s__agentic__static-guard__r2,generation_s__agentic__static-guard,2,completed,True,1,pass,passthrough,pass,rejected_at_store,0,,ApoMarioLevel.java:1239: String runName = runPlayer.getTeamName(); | ApoMarioHighscore.java:78: String name = validName(player.getTeamName());
i30-v12__generation_s__agentic__static-guard__r3,generation_s__agentic__static-guard,3,completed,True,3,pass,passthrough,pass,rejected_at_store,0,,ApoMarioHighscore.java:76: String name = player.getTeamName();
i30-v12__generation_s__agentic__static-guard__r4,generation_s__agentic__static-guard,4,completed,True,2,pass,passthrough,pass,rejected_at_store,0,,ApoMarioHighscore.java:70: String name = selected == null ? null : selected.getTeamName();
i30-v12__generation_s__agentic__static-guard__r5,generation_s__agentic__static-guard,5,completed,True,3,pass,passthrough,pass,rejected_at_store,0,,ApoMarioHighscore.java:100: String name = validName(player.getTeamName());
i30-v12__generation_s__agentic__static__r1,generation_s__agentic__static,1,completed,True,2,pass,passthrough,pass,rejected_at_store,0,,ApoMarioHighscore.java:69: String name = validName(level.getPlayers().get(0).getTeamName());
i30-v12__generation_s__agentic__static__r2,generation_s__agentic__static,2,completed,True,3,pass,passthrough,pass,rejected_at_store,0,,ApoMarioHighscore.java:76: String name = normalizeName(selected.getTeamName());
i30-v12__generation_s__agentic__static__r3,generation_s__agentic__static,3,completed,True,2,pass,passthrough,pass,rejected_at_store,0,,ApoMarioHighscore.java:130: String name = normalizeName(player.getTeamName());
