runId,condition,submission,status,detail,requestSha256
i31-v13__reuse_sb__agentic__none__r1,reuse_sb__agentic__none,1,invalid_changes,"Missing required game integration edits: ApoMarioLevel.java, ApoMarioMenu.java",8853953ecfe08b6272070bf9a742046f73e98046ff292a4ea535456fa281a3b3
i31-v13__reuse_sb__agentic__none__r1,reuse_sb__agentic__none,3,invalid_changes,Changes must be arrays,7e744ca6153d34b787fbd81d7da59f3fce5b62e1fb6981baafbf828c4989babb
i31-v13__reuse_sb__agentic__static__r1,reuse_sb__agentic__static,1,invalid_changes,Missing required game integration edits: ApoMarioMenu.java,d64de00bdc02db12ed03fde5a9466735dc95433f5e73a76115d3caa84cf73b90
i31-v13__reuse_sb__agentic__static__r1,reuse_sb__agentic__static,2,invalid_changes,ApoMarioMenu.java: old_text matches 0 times; provide one unique exact anchor,0504a9795fdcbf635d005390b75df4bd749a8c020c3c5d1d8017451b8281011d
i31-v13__reuse_sb__agentic__static__r1,reuse_sb__agentic__static,3,invalid_changes,ApoMarioMenu.java: old_text matches 0 times; provide one unique exact anchor,ad0ef11d8380457291594d9aa568bb6bc5e66843b1342c517e8d6934be790880
i31-v13__generation_s__agentic__static__r1,generation_s__agentic__static,1,invalid_changes,ApoMarioPanel.java: old_text matches 0 times; provide one unique exact anchor,d8963ec8f9b0d02b2d6029650aa41a5b2fcd9cd022a1771d4fe69da8f18abaae
i31-v13__reuse_sb__agentic__static-guard__r1,reuse_sb__agentic__static-guard,2,invalid_changes,Changes must be arrays,462bccba7d1149ff7978e1911c0374f46fd7e87442807acc9425088751bf6093
i31-v13__reuse_sb__agentic__static-guard__r1,reuse_sb__agentic__static-guard,3,invalid_changes,Changes must be arrays,e6a716674ab4af8e61b4ba3889b1fe5b90b4fb43f4dedf3bf166cec860123fc1
i31-v13__generation_s__agentic__static-guard__r1,generation_s__agentic__static-guard,1,invalid_changes,ApoMarioLevel.java exists; edit it instead,df3bf25992e8aa67ece69e0efb8d740a674a954da637b000980e77467b4c54d9
i31-v13__generation_s__agentic__static-guard__r1,generation_s__agentic__static-guard,2,invalid_changes,ApoMarioLevel.java exists; edit it instead,91507a0f7453ea3aada2880c008a2aa6ebb92c5b94210c2ed49ee0b61071fd74
i31-v13__generation_s__agentic__static-guard__r1,generation_s__agentic__static-guard,4,invalid_changes,Changes must be arrays,c28f534fc9059f9f06dbcfcac4a92407a77ac65de1f837f57cf0875b6ab12763
i31-v13__generation_s__agentic__static__r2,generation_s__agentic__static,2,invalid_changes,Changes must be arrays,4fb1964f7205e682d7554ff93682b2b1affc93254e30c7bc36fdb0d3de684c12
i31-v13__reuse_sb__agentic__static__r2,reuse_sb__agentic__static,1,invalid_changes,ApoMarioLevel.java exists; edit it instead,d3004bfff26f52665576558dce5948b4d086ddc98827e06140aaebe2e0d748d9
i31-v13__generation_s__agentic__static-guard__r2,generation_s__agentic__static-guard,2,invalid_changes,Changes must be arrays,852dfb49efce40719daa359ffc3915fed86e1e26824167bbcb4b8148bee35328
i31-v13__generation_s__agentic__static__r3,generation_s__agentic__static,2,invalid_changes,Changes must be arrays,b280d87413aa910cfb92225d9744190ed1d6ac32a65964e5b6fd12bd4fd0bdcf
i31-v13__reuse_sb__agentic__none__r3,reuse_sb__agentic__none,1,invalid_changes,ApoMarioMenu.java: old_text matches 0 times; provide one unique exact anchor,a55d72ab5d67e82f0f0ef24bdeb03f6350d7669ffade4ca57b5b0915a204122b
i31-v13__generation_s__agentic__static-guard__r3,generation_s__agentic__static-guard,1,invalid_changes,ApoMarioLevel.java exists; edit it instead,60d6935dab67de55e1c4d8580f8be1b14750a7764bfe4c82f271e5b18b520d58
