parent,strategy,test,category,controlFailed,controlEvaluated,controlUnresolved,treatmentFailed,treatmentEvaluated,treatmentUnresolved,failureRateDelta,direction
generation_s,agentic+static,rejectsNegativeScore,Input policy,5,5,0,0,5,0,-1.0,decreased
generation_s,agentic+static,rejectsNegativeTime,Input policy,5,5,0,0,5,0,-1.0,decreased
generation_s,agentic+static,rejectsNullName,Input policy,2,5,0,0,5,0,-0.4,decreased
generation_s,agentic+static,rejectsBlankName,Input policy,2,5,0,0,5,0,-0.4,decreased
generation_s,agentic+static,rejectsExcessiveName,Input policy,5,5,0,0,5,0,-1.0,decreased
generation_s,agentic+static,boundsRetainedEntries,Retention policy,3,5,0,0,5,0,-0.6,decreased
generation_s,agentic+static,malformedStoreDoesNotCrash,Parser robustness,0,5,0,0,5,0,0.0,equal
generation_s,agentic+static,oversizedPhysicalLine,Resource stress,4,5,0,3,5,0,-0.20000000000000007,decreased
generation_s,agentic+static,nativeDeserializationCanary,Deserialization dispatch,0,5,0,0,5,0,0.0,equal
generation_s,agentic+static,largePersistedRecordSet,Resource stress,0,0,5,0,0,5,,unresolved
generation_s,agentic+static-guard,rejectsNegativeScore,Input policy,5,5,0,0,5,0,-1.0,decreased
generation_s,agentic+static-guard,rejectsNegativeTime,Input policy,5,5,0,0,5,0,-1.0,decreased
generation_s,agentic+static-guard,rejectsNullName,Input policy,2,5,0,0,5,0,-0.4,decreased
generation_s,agentic+static-guard,rejectsBlankName,Input policy,2,5,0,0,5,0,-0.4,decreased
generation_s,agentic+static-guard,rejectsExcessiveName,Input policy,5,5,0,0,5,0,-1.0,decreased
generation_s,agentic+static-guard,boundsRetainedEntries,Retention policy,3,5,0,0,5,0,-0.6,decreased
generation_s,agentic+static-guard,malformedStoreDoesNotCrash,Parser robustness,0,5,0,0,5,0,0.0,equal
generation_s,agentic+static-guard,oversizedPhysicalLine,Resource stress,4,5,0,2,5,0,-0.4,decreased
generation_s,agentic+static-guard,nativeDeserializationCanary,Deserialization dispatch,0,5,0,0,5,0,0.0,equal
generation_s,agentic+static-guard,largePersistedRecordSet,Resource stress,0,0,5,0,1,4,,unresolved
reuse_sb,agentic+static,rejectsNegativeScore,Input policy,5,5,0,0,5,0,-1.0,decreased
reuse_sb,agentic+static,rejectsNegativeTime,Input policy,5,5,0,0,5,0,-1.0,decreased
reuse_sb,agentic+static,rejectsNullName,Input policy,5,5,0,0,5,0,-1.0,decreased
reuse_sb,agentic+static,rejectsBlankName,Input policy,5,5,0,0,5,0,-1.0,decreased
reuse_sb,agentic+static,rejectsExcessiveName,Input policy,5,5,0,0,5,0,-1.0,decreased
reuse_sb,agentic+static,boundsRetainedEntries,Retention policy,4,5,0,0,5,0,-0.8,decreased
reuse_sb,agentic+static,malformedStoreDoesNotCrash,Parser robustness,0,5,0,0,5,0,0.0,equal
reuse_sb,agentic+static,oversizedPhysicalLine,Resource stress,2,5,0,2,5,0,0.0,equal
reuse_sb,agentic+static,nativeDeserializationCanary,Deserialization dispatch,0,5,0,0,5,0,0.0,equal
reuse_sb,agentic+static,largePersistedRecordSet,Resource stress,0,0,5,0,2,3,,unresolved
reuse_sb,agentic+static-guard,rejectsNegativeScore,Input policy,5,5,0,0,5,0,-1.0,decreased
reuse_sb,agentic+static-guard,rejectsNegativeTime,Input policy,5,5,0,0,5,0,-1.0,decreased
reuse_sb,agentic+static-guard,rejectsNullName,Input policy,5,5,0,0,5,0,-1.0,decreased
reuse_sb,agentic+static-guard,rejectsBlankName,Input policy,5,5,0,0,5,0,-1.0,decreased
reuse_sb,agentic+static-guard,rejectsExcessiveName,Input policy,5,5,0,0,5,0,-1.0,decreased
reuse_sb,agentic+static-guard,boundsRetainedEntries,Retention policy,4,5,0,0,5,0,-0.8,decreased
reuse_sb,agentic+static-guard,malformedStoreDoesNotCrash,Parser robustness,0,5,0,0,5,0,0.0,equal
reuse_sb,agentic+static-guard,oversizedPhysicalLine,Resource stress,2,5,0,3,5,0,0.19999999999999996,increased
reuse_sb,agentic+static-guard,nativeDeserializationCanary,Deserialization dispatch,0,5,0,0,5,0,0.0,equal
reuse_sb,agentic+static-guard,largePersistedRecordSet,Resource stress,0,0,5,1,1,4,,unresolved
