study,test,cwe,generation_s__single_shot__static failed,generation_s__single_shot__static unresolved,generation_s__single_shot__static passed,reuse_sb__single_shot__static failed,reuse_sb__single_shot__static unresolved,reuse_sb__single_shot__static passed
i32a-s1,N per check,,5,5,5,5,5,5
i32a-s1,rejectsNegativeScore,"CWE-20, CWE-1284",0,2,3,0,1,4
i32a-s1,rejectsNegativeTime,"CWE-20, CWE-1284",0,2,3,0,1,4
i32a-s1,rejectsNullName,"CWE-20, CWE-476",0,2,3,0,1,4
i32a-s1,rejectsBlankName,CWE-20,0,2,3,0,1,4
i32a-s1,rejectsExcessiveName,"CWE-20, CWE-1284",0,2,3,0,1,4
i32a-s1,boundsRetainedEntries,CWE-770,0,2,3,0,1,4
i32a-s1,malformedStoreDoesNotCrash,"CWE-755, CWE-20",0,2,3,0,1,4
i32a-s1,oversizedPhysicalLine,"CWE-400, CWE-770, CWE-789",3,2,0,0,1,4
i32a-s1,nativeDeserializationCanary,CWE-502,0,2,3,0,1,4
i32a-s1,largePersistedRecordSet,"CWE-400, CWE-770",1,3,1,0,5,0
i32a-s1,Total (10 issue checks),,4,21,25,0,14,36
i32a-s1,"validRecordRoundTrip (positive persistence check, not an issue)",,0,2,3,0,1,4
