runId,condition,submission,status,detail,requestSha256
i32b-s2__reuse_sb__single_shot__none__r1,reuse_sb__single_shot__none,1,invalid_changes,ApoMarioLevel.java exists; edit it instead,abaa08f280f3fa92d7c5467d7bb4ae299942cc264461d0744031c6140fe34348
i32b-s2__reuse_sb__single_shot__none__r2,reuse_sb__single_shot__none,1,invalid_changes,ApoMarioHighscore.java exists; edit it instead,d883ce964af6a5b9f16869d2c4d7cc08ef7afd3916bebfcd8628e7caaae62e15
i32b-s2__reuse_sb__single_shot__static__r2,reuse_sb__single_shot__static,1,invalid_changes,ApoMarioHighscore.java exists; edit it instead,e2824ea044ca828c8bbba9ce5cdaa087da3975402e564e69760298592894517c
i32b-s2__generation_s__single_shot__none__r2,generation_s__single_shot__none,1,invalid_changes,ApoMarioLevel.java exists; edit it instead,aaf8dd94650958c09559451fa4383f33f78f3d8a1fb1d91bc79f14fe97715af5
i32b-s2__generation_s__single_shot__static__r2,generation_s__single_shot__static,1,invalid_changes,ApoMarioLevel.java exists; edit it instead,f8d660b08f49d1257a257f7e72d9a6acd8c09a025468ad30c845f7a971e7cc59
i32b-s2__generation_s__single_shot__static__r3,generation_s__single_shot__static,1,invalid_changes,"Missing required game integration edits: ApoMarioMenu.java, ApoMarioPanel.java",335c51235a7e4b1e872debec6e27e3e75146d442e03692a57aa3089c64b6ff4a
i32b-s2__reuse_sb__single_shot__static__r3,reuse_sb__single_shot__static,1,invalid_changes,"Missing required game integration edits: ApoMarioMenu.java, ApoMarioPanel.java",7f590468226c1f4fb30f9eb33af56e8d19ec26c0be362101e80c4c946d95c19c
i32b-s2__reuse_sb__single_shot__static__r4,reuse_sb__single_shot__static,1,invalid_changes,ApoMarioMenu.java: old_text matches 0 times; provide one unique exact anchor,494dc9cf7e617d68cbf635f42ec97a0522777de9c5c175eb624d440a43630146
i32b-s2__generation_s__single_shot__none__r4,generation_s__single_shot__none,1,invalid_changes,ApoMarioLevel.java exists; edit it instead,2e8ab343edb2beeae9d299b8dfb08717ff80220ee3a3404aa9b510c031d3626c
i32b-s2__generation_s__single_shot__none__r5,generation_s__single_shot__none,1,invalid_changes,ApoMarioMenu.java: old_text matches 0 times; provide one unique exact anchor,32f28f0c96ea11a5eba30423ac986fc9cd8215daf298798f8b5bbdded616c488
i32b-s2__reuse_sb__single_shot__none__r5,reuse_sb__single_shot__none,1,invalid_changes,ApoMarioLevel.java exists; edit it instead,e7de01140b7e7f6565abff8a4b90f869dc9a9181a66f1677cff596650786b918
