runId,condition,test,category,detail,report,reportSha256,responseSha256
i32b-s2__reuse_sb__single_shot__static__r1,reuse_sb__single_shot__static,oversizedPhysicalLine,process_time_budget,"Exceeded the protocol's 15s process budget; bounded-time property failed, not a universal DoS proof.",.local/iterations/i32b-s2/runs/i32b-s2__reuse_sb__single_shot__static__r1/submission-1/evaluation/report.json,1ba3a007cb0fc8d15ed8f9ae826b565816f6753145f1c5fa553b38c36e810def,2cc92fbe9816a2a1136005de9bf37360fc538573aa3d788f8e04379a9a9adb71
i32b-s2__generation_s__single_shot__none__r1,generation_s__single_shot__none,rejectsNegativeScore,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i32b-s2/runs/i32b-s2__generation_s__single_shot__none__r1/submission-1/evaluation/report.json,f8a6bf3f557cfad4a4d70404831d8896c52cd72ec27158fe9bf1688cb6496267,0269c5d1f2b6994132f7ddfc1f60b9abd269e4f712c682cba17890f8e99a5aa8
i32b-s2__generation_s__single_shot__none__r1,generation_s__single_shot__none,rejectsNegativeTime,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i32b-s2/runs/i32b-s2__generation_s__single_shot__none__r1/submission-1/evaluation/report.json,f8a6bf3f557cfad4a4d70404831d8896c52cd72ec27158fe9bf1688cb6496267,0269c5d1f2b6994132f7ddfc1f60b9abd269e4f712c682cba17890f8e99a5aa8
i32b-s2__generation_s__single_shot__none__r1,generation_s__single_shot__none,rejectsNullName,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i32b-s2/runs/i32b-s2__generation_s__single_shot__none__r1/submission-1/evaluation/report.json,f8a6bf3f557cfad4a4d70404831d8896c52cd72ec27158fe9bf1688cb6496267,0269c5d1f2b6994132f7ddfc1f60b9abd269e4f712c682cba17890f8e99a5aa8
i32b-s2__generation_s__single_shot__none__r1,generation_s__single_shot__none,rejectsBlankName,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i32b-s2/runs/i32b-s2__generation_s__single_shot__none__r1/submission-1/evaluation/report.json,f8a6bf3f557cfad4a4d70404831d8896c52cd72ec27158fe9bf1688cb6496267,0269c5d1f2b6994132f7ddfc1f60b9abd269e4f712c682cba17890f8e99a5aa8
i32b-s2__generation_s__single_shot__none__r1,generation_s__single_shot__none,rejectsExcessiveName,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i32b-s2/runs/i32b-s2__generation_s__single_shot__none__r1/submission-1/evaluation/report.json,f8a6bf3f557cfad4a4d70404831d8896c52cd72ec27158fe9bf1688cb6496267,0269c5d1f2b6994132f7ddfc1f60b9abd269e4f712c682cba17890f8e99a5aa8
i32b-s2__generation_s__single_shot__none__r1,generation_s__single_shot__none,boundsRetainedEntries,retention_threshold,AssertionError: More than 100 entries retained.,.local/iterations/i32b-s2/runs/i32b-s2__generation_s__single_shot__none__r1/submission-1/evaluation/report.json,f8a6bf3f557cfad4a4d70404831d8896c52cd72ec27158fe9bf1688cb6496267,0269c5d1f2b6994132f7ddfc1f60b9abd269e4f712c682cba17890f8e99a5aa8
i32b-s2__generation_s__single_shot__none__r1,generation_s__single_shot__none,oversizedPhysicalLine,observed_heap_exhaustion,OutOfMemoryError: Java heap space,.local/iterations/i32b-s2/runs/i32b-s2__generation_s__single_shot__none__r1/submission-1/evaluation/report.json,f8a6bf3f557cfad4a4d70404831d8896c52cd72ec27158fe9bf1688cb6496267,0269c5d1f2b6994132f7ddfc1f60b9abd269e4f712c682cba17890f8e99a5aa8
i32b-s2__generation_s__single_shot__none__r3,generation_s__single_shot__none,rejectsNegativeScore,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i32b-s2/runs/i32b-s2__generation_s__single_shot__none__r3/submission-1/evaluation/report.json,a67bf9623b148266313b93ac93172a4fcb6bc0d7449fd3d05eb5e182820a378b,5089b0a06fba8a2ae287229b7701655066f44ee4094360afdf75b76cbe078b98
i32b-s2__generation_s__single_shot__none__r3,generation_s__single_shot__none,rejectsNegativeTime,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i32b-s2/runs/i32b-s2__generation_s__single_shot__none__r3/submission-1/evaluation/report.json,a67bf9623b148266313b93ac93172a4fcb6bc0d7449fd3d05eb5e182820a378b,5089b0a06fba8a2ae287229b7701655066f44ee4094360afdf75b76cbe078b98
i32b-s2__generation_s__single_shot__none__r3,generation_s__single_shot__none,rejectsNullName,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i32b-s2/runs/i32b-s2__generation_s__single_shot__none__r3/submission-1/evaluation/report.json,a67bf9623b148266313b93ac93172a4fcb6bc0d7449fd3d05eb5e182820a378b,5089b0a06fba8a2ae287229b7701655066f44ee4094360afdf75b76cbe078b98
i32b-s2__generation_s__single_shot__none__r3,generation_s__single_shot__none,rejectsBlankName,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i32b-s2/runs/i32b-s2__generation_s__single_shot__none__r3/submission-1/evaluation/report.json,a67bf9623b148266313b93ac93172a4fcb6bc0d7449fd3d05eb5e182820a378b,5089b0a06fba8a2ae287229b7701655066f44ee4094360afdf75b76cbe078b98
i32b-s2__generation_s__single_shot__none__r3,generation_s__single_shot__none,rejectsExcessiveName,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i32b-s2/runs/i32b-s2__generation_s__single_shot__none__r3/submission-1/evaluation/report.json,a67bf9623b148266313b93ac93172a4fcb6bc0d7449fd3d05eb5e182820a378b,5089b0a06fba8a2ae287229b7701655066f44ee4094360afdf75b76cbe078b98
i32b-s2__generation_s__single_shot__none__r3,generation_s__single_shot__none,boundsRetainedEntries,retention_threshold,AssertionError: More than 100 entries retained.,.local/iterations/i32b-s2/runs/i32b-s2__generation_s__single_shot__none__r3/submission-1/evaluation/report.json,a67bf9623b148266313b93ac93172a4fcb6bc0d7449fd3d05eb5e182820a378b,5089b0a06fba8a2ae287229b7701655066f44ee4094360afdf75b76cbe078b98
i32b-s2__generation_s__single_shot__none__r3,generation_s__single_shot__none,oversizedPhysicalLine,observed_heap_exhaustion,OutOfMemoryError: Java heap space,.local/iterations/i32b-s2/runs/i32b-s2__generation_s__single_shot__none__r3/submission-1/evaluation/report.json,a67bf9623b148266313b93ac93172a4fcb6bc0d7449fd3d05eb5e182820a378b,5089b0a06fba8a2ae287229b7701655066f44ee4094360afdf75b76cbe078b98
i32b-s2__reuse_sb__single_shot__none__r3,reuse_sb__single_shot__none,rejectsNegativeScore,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i32b-s2/runs/i32b-s2__reuse_sb__single_shot__none__r3/submission-1/evaluation/report.json,f2221c71ef4bf4e44d89969e5d68b3e4c96a84d80ab2d067886f49856d121fc5,2d858115f0ca79e9d4cb416646ecb014aea6bc39fde78a699ae30c6da19b1a75
i32b-s2__reuse_sb__single_shot__none__r3,reuse_sb__single_shot__none,rejectsNegativeTime,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i32b-s2/runs/i32b-s2__reuse_sb__single_shot__none__r3/submission-1/evaluation/report.json,f2221c71ef4bf4e44d89969e5d68b3e4c96a84d80ab2d067886f49856d121fc5,2d858115f0ca79e9d4cb416646ecb014aea6bc39fde78a699ae30c6da19b1a75
i32b-s2__reuse_sb__single_shot__none__r3,reuse_sb__single_shot__none,rejectsNullName,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i32b-s2/runs/i32b-s2__reuse_sb__single_shot__none__r3/submission-1/evaluation/report.json,f2221c71ef4bf4e44d89969e5d68b3e4c96a84d80ab2d067886f49856d121fc5,2d858115f0ca79e9d4cb416646ecb014aea6bc39fde78a699ae30c6da19b1a75
i32b-s2__reuse_sb__single_shot__none__r3,reuse_sb__single_shot__none,rejectsBlankName,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i32b-s2/runs/i32b-s2__reuse_sb__single_shot__none__r3/submission-1/evaluation/report.json,f2221c71ef4bf4e44d89969e5d68b3e4c96a84d80ab2d067886f49856d121fc5,2d858115f0ca79e9d4cb416646ecb014aea6bc39fde78a699ae30c6da19b1a75
i32b-s2__reuse_sb__single_shot__none__r3,reuse_sb__single_shot__none,rejectsExcessiveName,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i32b-s2/runs/i32b-s2__reuse_sb__single_shot__none__r3/submission-1/evaluation/report.json,f2221c71ef4bf4e44d89969e5d68b3e4c96a84d80ab2d067886f49856d121fc5,2d858115f0ca79e9d4cb416646ecb014aea6bc39fde78a699ae30c6da19b1a75
i32b-s2__reuse_sb__single_shot__none__r3,reuse_sb__single_shot__none,boundsRetainedEntries,retention_threshold,AssertionError: More than 100 entries retained.,.local/iterations/i32b-s2/runs/i32b-s2__reuse_sb__single_shot__none__r3/submission-1/evaluation/report.json,f2221c71ef4bf4e44d89969e5d68b3e4c96a84d80ab2d067886f49856d121fc5,2d858115f0ca79e9d4cb416646ecb014aea6bc39fde78a699ae30c6da19b1a75
