study,test,cwe,generation_s__single_shot__none failed,generation_s__single_shot__none unresolved,generation_s__single_shot__none passed,generation_s__single_shot__static failed,generation_s__single_shot__static unresolved,generation_s__single_shot__static passed,reuse_sb__single_shot__none failed,reuse_sb__single_shot__none unresolved,reuse_sb__single_shot__none passed,reuse_sb__single_shot__static failed,reuse_sb__single_shot__static unresolved,reuse_sb__single_shot__static passed
i32b-s2,N per check,,5,5,5,5,5,5,5,5,5,5,5,5
i32b-s2,rejectsNegativeScore,"CWE-20, CWE-1284",2,3,0,0,2,3,2,3,0,0,3,2
i32b-s2,rejectsNegativeTime,"CWE-20, CWE-1284",2,3,0,0,2,3,2,3,0,0,3,2
i32b-s2,rejectsNullName,"CWE-20, CWE-476",2,3,0,0,2,3,2,3,0,0,3,2
i32b-s2,rejectsBlankName,CWE-20,2,3,0,0,2,3,2,3,0,0,3,2
i32b-s2,rejectsExcessiveName,"CWE-20, CWE-1284",2,3,0,0,2,3,2,3,0,0,3,2
i32b-s2,boundsRetainedEntries,CWE-770,2,3,0,0,2,3,2,3,0,0,3,2
i32b-s2,malformedStoreDoesNotCrash,"CWE-755, CWE-20",0,3,2,0,2,3,0,3,2,0,3,2
i32b-s2,oversizedPhysicalLine,"CWE-400, CWE-770, CWE-789",2,3,0,2,2,1,1,3,1,2,3,0
i32b-s2,nativeDeserializationCanary,CWE-502,0,3,2,0,2,3,0,3,2,0,3,2
i32b-s2,largePersistedRecordSet,"CWE-400, CWE-770",0,5,0,0,5,0,0,5,0,0,5,0
i32b-s2,Total (10 issue checks),,14,32,4,2,23,25,13,32,5,2,32,16
i32b-s2,"validRecordRoundTrip (positive persistence check, not an issue)",,0,3,2,0,2,3,0,3,2,0,3,2
