condition,parent,strategy,category,checksPerArtifact,n,affected,unaffected,unresolved,affectedRateLowerBound,affectedRateUpperBound,wilson95LowWhenComplete,wilson95HighWhenComplete,deltaLowerBound,deltaUpperBound
generation_s__single_shot__none,generation_s,none,Input policy,5,5,2,0,3,0.4,1.0,,,,
generation_s__single_shot__none,generation_s,none,Retention policy,1,5,2,0,3,0.4,1.0,,,,
generation_s__single_shot__none,generation_s,none,Parser robustness,1,5,0,2,3,0.0,0.6,,,,
generation_s__single_shot__none,generation_s,none,Resource stress,2,5,2,0,3,0.4,1.0,,,,
generation_s__single_shot__none,generation_s,none,Deserialization dispatch,1,5,0,2,3,0.0,0.6,,,,
generation_s__single_shot__static,generation_s,single_shot+static,Input policy,5,5,0,3,2,0.0,0.4,,,-1.0,0.0
generation_s__single_shot__static,generation_s,single_shot+static,Retention policy,1,5,0,3,2,0.0,0.4,,,-1.0,0.0
generation_s__single_shot__static,generation_s,single_shot+static,Parser robustness,1,5,0,3,2,0.0,0.4,,,-0.6,0.4
generation_s__single_shot__static,generation_s,single_shot+static,Resource stress,2,5,2,0,3,0.4,1.0,,,-0.6,0.6
generation_s__single_shot__static,generation_s,single_shot+static,Deserialization dispatch,1,5,0,3,2,0.0,0.4,,,-0.6,0.4
reuse_sb__single_shot__none,reuse_sb,none,Input policy,5,5,2,0,3,0.4,1.0,,,,
reuse_sb__single_shot__none,reuse_sb,none,Retention policy,1,5,2,0,3,0.4,1.0,,,,
reuse_sb__single_shot__none,reuse_sb,none,Parser robustness,1,5,0,2,3,0.0,0.6,,,,
reuse_sb__single_shot__none,reuse_sb,none,Resource stress,2,5,1,0,4,0.2,1.0,,,,
reuse_sb__single_shot__none,reuse_sb,none,Deserialization dispatch,1,5,0,2,3,0.0,0.6,,,,
reuse_sb__single_shot__static,reuse_sb,single_shot+static,Input policy,5,5,0,2,3,0.0,0.6,,,-1.0,0.19999999999999996
reuse_sb__single_shot__static,reuse_sb,single_shot+static,Retention policy,1,5,0,2,3,0.0,0.6,,,-1.0,0.19999999999999996
reuse_sb__single_shot__static,reuse_sb,single_shot+static,Parser robustness,1,5,0,2,3,0.0,0.6,,,-0.6,0.6
reuse_sb__single_shot__static,reuse_sb,single_shot+static,Resource stress,2,5,2,0,3,0.4,1.0,,,-0.6,0.8
reuse_sb__single_shot__static,reuse_sb,single_shot+static,Deserialization dispatch,1,5,0,2,3,0.0,0.6,,,-0.6,0.6
