runId,condition,repetition,status,functionalSuccess,finalSubmission,compilation,class,rejectsNullName,mechanism,nullNameTestsFailed,failingChecks,citedLines
i32c-s3__generation_s__single_shot__static__r1,generation_s__single_shot__static,1,budget_exhausted,False,,,none,,none,0,,
i32c-s3__generation_s__single_shot__static__r2,generation_s__single_shot__static,2,budget_exhausted,False,,,none,,none,0,,
i32c-s3__generation_s__single_shot__static__r3,generation_s__single_shot__static,3,completed,True,1,pass,passthrough,pass,rejected_at_store,0,,ApoMarioHighscore.java:152: playerName = selected.getTeamName();
i32c-s3__generation_s__single_shot__static__r4,generation_s__single_shot__static,4,completed,True,1,pass,passthrough,pass,rejected_at_store,0,,ApoMarioHighscore.java:140: playerName = selected.getTeamName();
i32c-s3__generation_s__single_shot__static__r5,generation_s__single_shot__static,5,budget_exhausted,False,,,none,,none,0,,
i32c-s3__reuse_sb__single_shot__static__r1,reuse_sb__single_shot__static,1,completed,True,1,pass,passthrough,pass,rejected_at_store,0,,ApoMarioHighscore.java:148: name = best.getTeamName();
i32c-s3__reuse_sb__single_shot__static__r2,reuse_sb__single_shot__static,2,budget_exhausted,False,,,none,,none,0,,
i32c-s3__reuse_sb__single_shot__static__r3,reuse_sb__single_shot__static,3,completed,True,1,pass,passthrough,pass,rejected_at_store,0,,ApoMarioHighscore.java:106: String name = selected.getTeamName();
i32c-s3__reuse_sb__single_shot__static__r4,reuse_sb__single_shot__static,4,completed,True,1,pass,fallback,pass,recorded,0,,"ApoMarioHighscore.java:102: return reject(""player name must not be null""); | ApoMarioHighscore.java:146: name = best.getTeamName(); | ApoMarioHighscore.java:339: report(""ignored invalid highscore name"", null);"
i32c-s3__reuse_sb__single_shot__static__r5,reuse_sb__single_shot__static,5,completed,True,1,pass,passthrough,pass,rejected_at_store,0,,ApoMarioHighscore.java:180: name = selected.getTeamName();
