study,test,cwe,generation_s__single_shot__static failed,generation_s__single_shot__static unresolved,generation_s__single_shot__static passed,reuse_sb__single_shot__static failed,reuse_sb__single_shot__static unresolved,reuse_sb__single_shot__static passed
i32c-s3,N per check,,5,5,5,5,5,5
i32c-s3,rejectsNegativeScore,"CWE-20, CWE-1284",0,3,2,0,1,4
i32c-s3,rejectsNegativeTime,"CWE-20, CWE-1284",0,3,2,0,1,4
i32c-s3,rejectsNullName,"CWE-20, CWE-476",0,3,2,0,1,4
i32c-s3,rejectsBlankName,CWE-20,0,3,2,0,1,4
i32c-s3,rejectsExcessiveName,"CWE-20, CWE-1284",0,3,2,0,1,4
i32c-s3,boundsRetainedEntries,CWE-770,0,3,2,0,1,4
i32c-s3,malformedStoreDoesNotCrash,"CWE-755, CWE-20",0,3,2,0,1,4
i32c-s3,oversizedPhysicalLine,"CWE-400, CWE-770, CWE-789",1,3,1,2,1,2
i32c-s3,nativeDeserializationCanary,CWE-502,0,3,2,0,1,4
i32c-s3,largePersistedRecordSet,"CWE-400, CWE-770",0,5,0,0,5,0
i32c-s3,Total (10 issue checks),,1,32,17,2,14,34
i32c-s3,"validRecordRoundTrip (positive persistence check, not an issue)",,0,3,2,0,1,4
