runId,condition,submission,status,detail,requestSha256
i33a-s1__generation_s__agentic__static__r1,generation_s__agentic__static,1,invalid_changes,ApoMarioLevel.java: old_text matches 0 times; provide one unique exact anchor,a3cbaaedea401e64b0998e1067ff691268031c0b8fb3c993770567307d56ad1c
i33a-s1__reuse_sb__agentic__static__r1,reuse_sb__agentic__static,1,invalid_changes,ApoMarioPanel.java exists; edit it instead,1d795cf9eab9fc23d7f2203e234185836e195ed46d4d9c2ffe968d8404f06bad
i33a-s1__generation_s__agentic__static__r2,generation_s__agentic__static,2,invalid_changes,Changes must be arrays,a541d70e32a67a159468d0bf8a878e305c6cc76d3b3e2440589cda6f40a0a626
i33a-s1__reuse_sb__agentic__static__r3,reuse_sb__agentic__static,1,invalid_changes,ApoMarioHighscore.java exists; edit it instead,d5bd09419a6d5744879fb18e0fee23b4021e4a7c340752416daa813380a89502
i33a-s1__reuse_sb__agentic__static__r3,reuse_sb__agentic__static,3,invalid_changes,Changes must be arrays,37b03c98c3bb9ebb80736e2b605fb07b42dae3a32df61affb730cce683e7cbdf
i33a-s1__reuse_sb__agentic__static__r3,reuse_sb__agentic__static,4,invalid_changes,Changes must be arrays,08416d5fc8c060ea35f8a0cf84b09683f7b57269fd8fe52787b045d540821f8e
i33a-s1__generation_s__agentic__static__r4,generation_s__agentic__static,1,invalid_changes,ApoMarioLevel.java exists; edit it instead,62453eb7697c2c9b010b65bb19695bf9e1e487799e3e404d9ce49fb42059b39a
i33a-s1__generation_s__agentic__static__r4,generation_s__agentic__static,3,invalid_changes,Changes must be arrays,08b9d1870d701b1ce584564de64da5dd61804d5a4bc8aa1591eacb2d6adc96f2
i33a-s1__generation_s__agentic__static__r4,generation_s__agentic__static,4,invalid_changes,Changes must be arrays,861e6a71405ac3c291306a8095c3e409df3d573b2c1f64917e19718713abcf3b
i33a-s1__reuse_sb__agentic__static__r4,reuse_sb__agentic__static,1,invalid_changes,ApoMarioLevel.java exists; edit it instead,f2e7771726d1babbb8080c6a4306e2dba6a050c731fb1c66c8909fbdaf44ae52
i33a-s1__reuse_sb__agentic__static__r5,reuse_sb__agentic__static,1,invalid_changes,ApoMarioPanel.java exists; edit it instead,0835d14608d1c143f3dea57049bc4845bb79fdea7370b1e5c2ceab8dd5a5108c
